accession	perturbation	line	genotype	endpoint	empty	treated	delta_treated_minus_empty
GSE274352	STING_V154M	KP2	KP	Cldn4	10.674229183537742	11.076681675339705	0.40245249180196296
GSE274352	STING_V154M	KP2	KP	Sting1	2.8384419121209534	3.576294201912724	0.7378522897917708
GSE274352	STING_V154M	KP2	KP	NHEJ	6.546491945519568	6.578939816084962	0.03244787056539433
GSE274352	STING_V154M	KP2	KP	STING_core	5.894245441334389	5.930737378029745	0.036491936695355776
GSE274352	STING_V154M	KP3	KP	Cldn4	9.337221952454842	9.437847009559173	0.100625057104331
GSE274352	STING_V154M	KP3	KP	Sting1	3.7119060645995443	4.153397812006724	0.4414917474071798
GSE274352	STING_V154M	KP3	KP	NHEJ	6.293294692720223	6.405572825423191	0.11227813270296849
GSE274352	STING_V154M	KP3	KP	STING_core	6.225790318563543	6.539560093067959	0.3137697745044168
GSE274352	STING_V154M	KL2	KL	Cldn4	8.852817349611513	9.68998225905747	0.8371649094459563
GSE274352	STING_V154M	KL2	KL	Sting1	5.763602625158374	6.374217882659417	0.6106152575010437
GSE274352	STING_V154M	KL2	KL	NHEJ	6.517964653118846	6.384161080632519	-0.13380357248632713
GSE274352	STING_V154M	KL2	KL	STING_core	7.21675704203778	7.412823193742064	0.19606615170428388
GSE274352	STING_V154M	KL1	KL	Cldn4	9.553791928217652	9.56784798803752	0.014056059819868238
GSE274352	STING_V154M	KL1	KL	Sting1	6.642732919211413	6.592908900062739	-0.04982401914867385
GSE274352	STING_V154M	KL1	KL	NHEJ	6.685088368168731	6.498054241704687	-0.18703412646404427
GSE274352	STING_V154M	KL1	KL	STING_core	7.4247111880543315	7.348547693075898	-0.07616349497843355
GSE274352	IFNB	KP2	KP	Cldn4	10.819481261055888	10.14264144874263	-0.6768398123132577
GSE274352	IFNB	KP2	KP	Sting1	2.9643181384801136	3.416564967445343	0.4522468289652295
GSE274352	IFNB	KP2	KP	NHEJ	6.689786644662353	6.405443376152427	-0.2843432685099252
GSE274352	IFNB	KP2	KP	STING_core	6.034331420356146	6.349753903383972	0.3154224830278256
GSE274352	IFNB	KP3	KP	Cldn4	9.472028010975052	9.758462059773558	0.2864340487985064
GSE274352	IFNB	KP3	KP	Sting1	3.8370422669337327	5.1223589179900895	1.2853166510563567
GSE274352	IFNB	KP3	KP	NHEJ	6.426295319125369	6.378363226989885	-0.04793209213548444
GSE274352	IFNB	KP3	KP	STING_core	6.357604467669369	6.824111981267842	0.4665075135984731
GSE274352	IFNB	KP1	KP	Cldn4	8.998651099225615	8.184449916181276	-0.8142011830443394
GSE274352	IFNB	KP1	KP	Sting1	6.179772781330181	6.2268880050267645	0.04711522369658372
GSE274352	IFNB	KP1	KP	NHEJ	6.5056126136409045	6.390191794855337	-0.11542081878556765
GSE274352	IFNB	KP1	KP	STING_core	6.7558836812589345	6.710778303275751	-0.045105377983183814
GSE274352	IFNB	KL2	KL	Cldn4	8.996011635460038	11.13551195104052	2.1395003155804826
GSE274352	IFNB	KL2	KL	Sting1	5.904576051967436	8.287496406017564	2.3829203540501274
GSE274352	IFNB	KL2	KL	NHEJ	6.65941567231093	6.723080244780194	0.06366457246926416
GSE274352	IFNB	KL2	KL	STING_core	7.359164633665917	8.243765410805937	0.8846007771400197
GSE274352	IFNB	KL1	KL	Cldn4	9.708965960580574	10.671679138669067	0.9627131780884923
GSE274352	IFNB	KL1	KL	Sting1	6.796628082406035	7.827874924157247	1.0312468417512122
GSE274352	IFNB	KL1	KL	NHEJ	6.838651429022706	6.540023232598306	-0.2986281964244002
GSE274352	IFNB	KL1	KL	STING_core	7.579161207178648	8.118965424061837	0.5398042168831898
GSE274352	IFNB	KL3	KL	Cldn4	9.997526095481485	10.155641637643477	0.1581155421619922
GSE274352	IFNB	KL3	KL	Sting1	7.528032092101119	7.61503909358829	0.08700700148717111
GSE274352	IFNB	KL3	KL	NHEJ	6.639841446005513	6.578784042672385	-0.0610574033331277
GSE274352	IFNB	KL3	KL	STING_core	7.755509407403286	7.949204949026546	0.19369554162325997
