ensembl_id	symbol
ENSMUSG00000000386	Mx1
ENSMUSG00000002963	Pnkp
ENSMUSG00000003068	Stk11
ENSMUSG00000003184	Irf3
ENSMUSG00000020115	Tbk1
ENSMUSG00000020474	Polm
ENSMUSG00000020641	Rsad2
ENSMUSG00000021615	Xrcc4
ENSMUSG00000022471	Xrcc6
ENSMUSG00000022672	Prkdc
ENSMUSG00000024349	Sting1
ENSMUSG00000025218	Poll
ENSMUSG00000025498	Irf7
ENSMUSG00000026104	Stat1
ENSMUSG00000026162	Nhej1
ENSMUSG00000026187	Xrcc5
ENSMUSG00000026648	Dclre1c
ENSMUSG00000028411	Aptx
ENSMUSG00000029580	Actb
ENSMUSG00000030051	Aplf
ENSMUSG00000032344	Cgas
ENSMUSG00000034459	Ifit1
ENSMUSG00000034855	Cxcl10
ENSMUSG00000035692	Isg15
ENSMUSG00000042349	Ikbke
ENSMUSG00000047501	Cldn4
ENSMUSG00000047617	Paxx
ENSMUSG00000048806	Ifnb1
ENSMUSG00000049717	Lig4
ENSMUSG00000057666	Gapdh
