accession	design	family	contrast	endpoint	scale	unit	n_kl	n_ref	mean_kl	mean_ref	delta_kl_minus_ref	hedges_g	mannwhitney_p	n_genes_in_module	n_genes_requested	underpowered_mw_floor	note	fdr_family	fdr_bh
GSE137396	autochthonous_nodule	kl_vs_kp	KL_minus_KP	Cldn4	depositor_log2_median_centered	nodule	5	5	0.6268342	0.19188120000000003	0.434953	0.3403350583864676	1.0	1	1	no	Same study family as GSE137244 but in vivo GEMM nodules, not the locked cell lines. Matrix is depositor log2, median-centered.	in_vivo_kl_vs_kp	1.0
GSE137396	autochthonous_nodule	kl_vs_kp	KL_minus_KP	Sting1	depositor_log2_median_centered	nodule	5	5	-0.01863520000000002	0.03917920000000001	-0.05781440000000003	-0.13625026498380574	0.6904761904761905	1	1	no	Same study family as GSE137244 but in vivo GEMM nodules, not the locked cell lines. Matrix is depositor log2, median-centered.	in_vivo_kl_vs_kp	0.8721804511278194
GSE137396	autochthonous_nodule	kl_vs_kp	KL_minus_KP	Cgas	depositor_log2_median_centered	nodule	5	5	0.3103808	-0.07598	0.3863608	0.6717833031000431	0.5476190476190477	1	1	no	Same study family as GSE137244 but in vivo GEMM nodules, not the locked cell lines. Matrix is depositor log2, median-centered.		
GSE137396	autochthonous_nodule	kl_vs_kp	KL_minus_KP	Stk11	depositor_log2_median_centered	nodule	5	5	-0.8778986000000002	0.8091236	-1.6870222000000004	-5.111155778777996	0.007936507936507936	1	1	no	Same study family as GSE137244 but in vivo GEMM nodules, not the locked cell lines. Matrix is depositor log2, median-centered.		
GSE137396	autochthonous_nodule	kl_vs_kp	KL_minus_KP	NHEJ	depositor_log2_median_centered	nodule	5	5	-0.12177197932782066	0.12177197932782069	-0.24354395865564135	-0.830981079164315	0.2222222222222222	12	13	no	Same study family as GSE137244 but in vivo GEMM nodules, not the locked cell lines. Matrix is depositor log2, median-centered.	in_vivo_kl_vs_kp	0.4444444444444444
GSE137396	autochthonous_nodule	kl_vs_kp	KL_minus_KP	STING_core	depositor_log2_median_centered	nodule	5	5	0.09294658438510162	-0.09294658438510166	0.1858931687702033	0.33946440859643073	0.6904761904761905	5	5	no	Same study family as GSE137244 but in vivo GEMM nodules, not the locked cell lines. Matrix is depositor log2, median-centered.	in_vivo_kl_vs_kp	0.8721804511278194
GSE137396	autochthonous_nodule	kl_vs_kp	KL_minus_KP	STING_ISG	depositor_log2_median_centered	nodule	5	5	-0.10750464178100656	0.10750464178100654	-0.2150092835620131	-0.2287462761965754	1.0	8	8	no	Same study family as GSE137244 but in vivo GEMM nodules, not the locked cell lines. Matrix is depositor log2, median-centered.		
GSE137396	autochthonous_nodule	kl_vs_kp	KL_minus_KP	Actb	depositor_log2_median_centered	nodule	5	5	-0.20827739999999997	0.2146842	-0.42296159999999994	-1.2555913253417539	0.09523809523809523	1	1	no	Same study family as GSE137244 but in vivo GEMM nodules, not the locked cell lines. Matrix is depositor log2, median-centered.		
GSE137396	autochthonous_nodule	kl_vs_kp	KL_minus_KP	Aplf	depositor_log2_median_centered	nodule	5	5	-0.0916122	0.0257498	-0.11736200000000001	-0.5002974783747479	0.42063492063492064	1	1	no	Same study family as GSE137244 but in vivo GEMM nodules, not the locked cell lines. Matrix is depositor log2, median-centered.		
GSE137396	autochthonous_nodule	kl_vs_kp	KL_minus_KP	Aptx	depositor_log2_median_centered	nodule	5	5	0.1087818	-0.30427160000000003	0.4130534	2.207594837223015	0.015873015873015872	1	1	no	Same study family as GSE137244 but in vivo GEMM nodules, not the locked cell lines. Matrix is depositor log2, median-centered.		
GSE137396	autochthonous_nodule	kl_vs_kp	KL_minus_KP	Cxcl10	depositor_log2_median_centered	nodule	5	5	-0.30498420000000004	0.1830891999999999	-0.48807339999999994	-0.506443463711521	0.6904761904761905	1	1	no	Same study family as GSE137244 but in vivo GEMM nodules, not the locked cell lines. Matrix is depositor log2, median-centered.		
GSE137396	autochthonous_nodule	kl_vs_kp	KL_minus_KP	Dclre1c	depositor_log2_median_centered	nodule	5	5	-0.007469800000000001	0.005255599999999994	-0.012725399999999994	-0.0420717091860853	1.0	1	1	no	Same study family as GSE137244 but in vivo GEMM nodules, not the locked cell lines. Matrix is depositor log2, median-centered.		
GSE137396	autochthonous_nodule	kl_vs_kp	KL_minus_KP	Gapdh	depositor_log2_median_centered	nodule	5	5	-0.133242	0.15051520000000002	-0.28375720000000004	-0.9867945833480791	0.30952380952380953	1	1	no	Same study family as GSE137244 but in vivo GEMM nodules, not the locked cell lines. Matrix is depositor log2, median-centered.		
