feature	method	role	n_unadjusted	spearman_rho	spearman_p	n_partial	partial_rho_algebraic	partial_p_algebraic	partial_rho_residual	partial_p_residual	partial_ci_low	partial_ci_high	feature_vs_purity_rho	feature_vs_purity_p	spearman_fdr_all	partial_fdr_all	partial_fdr_primary15
Danaher_Mast_cells	Danaher	all_populations	515	0.12704285106399255	0.0038798983590765846	502	0.1480779642865478	0.000885773910762785	0.1480779642865478	0.000885773910762785	0.06126980809823896	0.23266279914047464	-0.3314778242997476	2.440480268540617e-14	0.031815166544427995	0.010376208668935483	
Danaher_CD8_T_cells	Danaher	primary	515	-0.10977252705061137	0.012680494807756893	502	-0.11498531347468031	0.009999705481820017	-0.11498531347468033	0.009999705481820009	-0.200567934291483	-0.02766099187601583	-0.4295165551048932	5.937079798870497e-24	0.06565149757405557	0.050959959922084616	0.03601963433256972
Danaher_Cytotoxic_cells	Danaher	primary	515	-0.10339810672135762	0.018921766693949005	502	-0.10908770919089372	0.01456942573556874	-0.10908770919089371	0.014569425735568752	-0.19482879844746998	-0.021692055028458224	-0.5126973920607332	5.341730649685436e-35	0.07757924344519093	0.05973464551583183	0.03642356433892185
Danaher_NK_CD56dim	Danaher	all_populations	515	-0.10549544601433818	0.01662301045350736	502	-0.10648983901838398	0.017107240024046018	-0.10648983901838398	0.017107240024046018	-0.19229886889480627	-0.0190647383789231	-0.4704425948979755	5.212171984263594e-29	0.07356194034455514	0.06670588493361211	
Danaher_Total_TILs_empirical	Danaher	all_populations	515	-0.09268686718536517	0.035481764836981684	502	-0.10450900408321039	0.019294305462197438	-0.10450900408321039	0.019294305462197438	-0.19036907087774899	-0.017062261929905228	-0.6093129901606479	2.4172219445178178e-52	0.1077594339493518	0.06670588493361211	
Danaher_B_cells	Danaher	all_populations	515	-0.09400186487546561	0.03294255572648358	502	-0.10431278237852233	0.019523673639105982	-0.10431278237852233	0.019523673639105982	-0.19017786876684073	-0.01686393459520611	-0.4999252943848802	4.2354851793132187e-33	0.1077594339493518	0.06670588493361211	
Danaher_Exhausted_CD8	Danaher	all_populations	515	-0.09881959893009731	0.024921595254244974	502	-0.10277786058789072	0.021401272057295584	-0.10277786058789071	0.0214012720572956	-0.18868198737588449	-0.015312779166578078	-0.5555100406886864	5.486838507093261e-42	0.09288958231127671	0.07019617234792952	
Danaher_Total_TILs	Danaher	primary	515	-0.0932268613931553	0.03441958854865698	502	-0.09984857961471726	0.025422683746638485	-0.09984857961471727	0.025422683746638447	-0.1858261052657836	-0.012353685442464886	-0.5907690870449978	1.4897553729151767e-48	0.1077594339493518	0.07720963211942058	0.04766753202494716
Danaher_Th1_cells	Danaher	all_populations	515	-0.07612319555427456	0.08438027633597162	502	-0.08122887765414333	0.06927690050714787	-0.08122887765414334	0.06927690050714776	-0.16763892978944364	0.006419756859978762	-0.5008342308963578	3.12160324282127e-33	0.19219951832082424	0.1535325903131385	
Danaher_NK_cells	Danaher	all_populations	515	-0.08332480235005767	0.05880705602733528	502	-0.07239514373177723	0.10555504413807246	-0.07239514373177723	0.10555504413807246	-0.15898977828930697	0.015304872436381463	-0.34030036183592427	4.478146964607319e-15	0.16628202049108598	0.21638784048304854	
Danaher_T_cells	Danaher	primary	515	-0.0646213128637181	0.14306870960239493	502	-0.07006291846186144	0.11729518164974136	-0.07006291846186145	0.1172951816497413	-0.156704065255376	0.017648354403201914	-0.5332213804126131	3.1778601876896883e-38	0.2896288049276024	0.2236791836111347	0.15994797497692004
Danaher_DC	Danaher	all_populations	515	-0.06420391882138331	0.14567484379047482	502	-0.06098856549816092	0.17289260040912866	-0.06098856549816091	0.17289260040912874	-0.14780184522721734	0.026757345301854706	-0.5164289616191422	1.4370384700083901e-35	0.2896288049276024	0.3081998529032294	
Danaher_CD45	Danaher	all_populations	515	-0.06208528135718525	0.15946500819207912	502	-0.057310150448225315	0.20032601861131785	-0.057310150448225336	0.20032601861131755	-0.14418919529415006	0.030445655366569437	-0.5660721642387313	7.159298562006529e-44	0.29718478799432924	0.3352394597168993	
Danaher_Macrophages	Danaher	all_populations	515	-0.03819401562267017	0.38705544940824016	502	-0.021920450813129773	0.6245023810762461	-0.02192045081312978	0.624502381076246	-0.10931348876919293	0.06580887395156863	-0.485500203978536	4.761762325622046e-31	0.5681009329329151	0.7206675766582413	
Danaher_Neutrophils	Danaher	all_populations	515	-0.038120437950994075	0.3879713688322347	502	-0.016496382450431446	0.7126184161973703	-0.016496382450431443	0.7126184161973703	-0.1039491145128278	0.07120947686307719	-0.4110743810933347	6.8667391723860905e-22	0.5681009329329151	0.7896582449754643	
Danaher_Treg	Danaher	all_populations	515	0.0004791993167599073	0.9913444474699076	502	-0.00013239777323979004	0.9976414081021578	-0.0001323977732398091	0.9976414081021575	-0.0877343324259766	0.08747156899389728	-0.5341570503146811	2.2375104175084137e-38	0.9913444474699076	0.9976414081021578	
ESTIMATE_ImmuneScore	ESTIMATE	primary	515	0.036355759060409235	0.41033121855225385	502	0.07168608504228305	0.10902164411357831	0.07168608504228306	0.10902164411357823	-0.016017455412885618	0.15829495875676666	-0.6163121438986883	7.706521485873724e-54	0.5903010512506108	0.21804328822715663	0.15994797497692004
ESTIMATE_Score	ESTIMATE	secondary	515	0.005611713986772454	0.8989074659838221	502	0.04065068916845261	0.3638844913928357	0.0406506891684526	0.36388449139283585	-0.047120063283041226	0.12779853543295666	-0.658904445723204	8.065896203307869e-64	0.9751506689728513	0.5234829525300443	
