set	symbol	present	log2FC	lfcSE	pvalue	padj	stat	baseMean
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	MB21D1	True	-0.0467221092682953	0.160546279937931	0.768396378506736		-0.294473148722939	0.177052213487718
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	DDX41	True	-0.452282735539322	0.36590222921864	0.222120682451801	0.585602253006758	-1.22090845606613	12.2801076662648
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	DTX4	True	-0.0991499850514807	0.416177155822962	0.874432259448358	0.961885015027826	-0.158031141781911	10.0035611449414
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	IFI16	True	-0.707581345371145	0.300931643805574	0.0261364426390498	0.212585632123901	-2.2241784160363	166.066930844538
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	IRF3	True	0.392361500588001	0.378227440927997	0.274387618480465	0.642551244062756	1.09301407847354	13.7266536536333
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	MRE11	True	0.301615145366436	0.202112484359635	0.130413191208013	0.466995758119263	1.51247451474592	117.064300012048
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	NLRC3	True	0.0	0.160546279937931	1.0		0.0	0.0639135009466506
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	NLRP4	True	-0.470231505252235	0.341294246318637	0.131003331968302		-1.51015714077114	1.05875173970636
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	PRKDC	True	-0.489889712200177	0.155330482770766	0.0015466686583726	0.0393727329381908	-3.16578161372591	324.167654340396
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	STAT6	True	0.383848501654535	0.149721717780181	0.0105056320687424	0.124962825897045	2.55872662189888	437.347195402156
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	TMEM173	True	0.0764056735405723	0.422024253060538	0.81636275568806		0.2322256509554	5.19077432733552
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	TBK1	True	-0.440312866322475	0.23210697893495	0.0623056474558477	0.335677785453582	-1.86411435223257	71.830003622749
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	TRIM21	True	0.35593888135887	0.287804237830209	0.215480936330002	0.577215466174424	1.23863436291471	32.0638309496193
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	XRCC5	True	-0.0333875161546503	0.120046564511342	0.784226486327238	0.929607312813385	-0.273815402525587	767.357476030964
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	XRCC6	True	-0.0099909151303575	0.15763659360679	0.942445437672108	0.980141309438003	-0.0721966166492404	268.139730326401
Non-homologous end-joining	DCLRE1C	True	0.630787722378989	0.298028931105831	0.034150207952893	0.24770779997289	2.11829362798377	24.7771662995356
Non-homologous end-joining	FEN1	True	0.489570669115159	0.214215443527542	0.0209272510245661	0.187672206271165	2.30929438515962	91.8866190545955
Non-homologous end-joining	LIG4	True	-0.204552125060428	0.383010321817441	0.622724787264998	0.86170494221611	-0.491992299503736	11.6719727640932
Non-homologous end-joining	MRE11	True	0.301615145366436	0.202112484359635	0.130413191208013	0.466995758119263	1.51247451474592	117.064300012048
