term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	rank	fdr_within_rank	fdr_sweep	axis	short	below_usual_min8
Interferon Alpha Response	0.6356025114193806	2.2111672867793732	0.000999000999000999	95	0.9031462595474683	IFI44L,ISG15,IFI44,IFITM3,STAT2,MOV10,UBE2L6,IFIT3,OAS1,MX1,CMPK2,BST2,IFI35,HLA-C,IL4R,ISG20,DDX60,TDRD7,PARP12,OASL,HERC6,B2M,PLSCR1,IFI27,RSAD2	50	author_wald	0.006327006327006327	0.01581751581751582	IFN	IFN-α Hallmark	False
Interferon Gamma Response	0.48872180090843814	1.844271346420898	0.000999000999000999	186	0.4643582482393701	IFI44L,ISG15,IFI44,IFITM3,STAT2,MYD88,UBE2L6,DDX58,IFIT3,OAS3,OAS2,MT2A,MX1,MX2,CMPK2,STAT1,BST2,IFIT1,IFI35,IL4R,ISG20,DDX60,TDRD7,PARP12,XAF1	74	author_wald	0.006327006327006327	0.01581751581751582	IFN	IFN-γ Hallmark	False
Interferon Alpha/Beta Signaling R-HSA-909733	0.6157862705617283	1.9901442541637864	0.000999000999000999	58	0.9793219231549272	ISG15,IFITM3,STAT2,HLA-F,IFIT3,OAS1,OAS3,OAS2,MX1,MX2,STAT1,BST2,IFI6,IFIT1,IFI35,HLA-C,ISG20,XAF1,OASL,IFIT5,IFI27,RSAD2,HLA-B,HLA-A,IFIT2	35	author_wald	0.006327006327006327	0.01581751581751582	IFN	IFN-α/β Reactome	False
Interferon Gamma Signaling R-HSA-877300	0.3965342961747372	1.3365110123417414	0.023976023976023976	78	0.27014091108638727	TRIM45,HLA-F,OAS1,OAS3,OAS2,MT2A,STAT1,HLA-C,OASL,PML,SP100,B2M,TRIM22,HLA-B,HLA-A,IRF6,TRIM5,IFNGR1,TRIM46,IRF9,TRIM3,TRIM17,TRIM21,IRF3,TRIM26	26	author_wald	0.09110889110889112	0.1294160385069476	IFN	IFN-γ Reactome	False
Response To Type I Interferon (GO:0034340)	0.6543315064222226	1.3333708898133123	0.08591408591408592	8	1.0105131160675194	ISG15,MX1,IFIT1,SP100,SMPD1	5	author_wald	0.15357369902824447	0.19824619824619824	IFN	IFN-I response GO	False
Type I Interferon-Mediated Signaling Pathway (GO:0060337)	0.5924892623493013	1.5436898446201464	0.017982017982017984	22	0.6964630058590441	IFITM3,STAT2,MYD88,OAS2,STAT1,SP100,IFI27,TYK2,IFITM2,IFNAR1,IFNAR2	11	author_wald	0.08541458541458542	0.1220208363065506	IFN	IFN-I signaling GO	False
Antigen processing and presentation	-0.3704854113638079	-1.197871036867963	0.07792207792207792	56	-0.196603890983063	NFYA,LGMN,HLA-DQA1,CD8A,CTSB,TAP2,HLA-DPB1,CREB1,HSPA4,HLA-DQB1,HLA-DRA,HLA-DMB,HSPA8,PSME3,RFX5,PSME1,HLA-DRB1,HLA-DPA1,CANX,HLA-DMA	20	author_wald	0.15357369902824447	0.19824619824619824	APM	APM KEGG (I+II)	False
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474)	-0.43142120767235603	-1.0798191635337626	0.16683316683316685	17	-0.28576055583854215	TAP2,ACE,HFE,ERAP2,MFSD6,ERAP1	6	author_wald	0.195392842451666	0.2434521999739391	APM	APM MHC-I GO	False
STING Mediated Induction Of Host Immune Responses R-HSA-1834941	-0.4645442019855833	-1.113235047889319	0.14385614385614387	15	-0.2765720706348852	DDX41,NLRP4,TBK1,IFI16,PRKDC	5	author_wald	0.195392842451666	0.22935397935397936	STING	STING Reactome	False
Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949	-0.37628266429374685	-1.2231110870075608	0.06793206793206794	61	-0.18514506219008323	UBC,CHUK,DDX41,CREBBP,UBA52,RIPK1,DHX9,NLRP4,CTNNB1,NFKB1,POLR3B,TBK1,NFKBIA,NKIRAS2,IFI16,NKIRAS1,DHX36,PRKDC,POLR3D	19	author_wald	0.15357369902824447	0.19824619824619824	STING	DNA sensors Reactome	False
