set	dropped	kind	n_genes	effect	exact_p_two	exact_p_KO_gt_WT	nes	nom_p
Interferon Alpha Response	(none)	full_author_norm_score	95	0.29237909093223013	0.4	0.17142857142857143		
Interferon Alpha Response	MX1	loo_gene_author_norm_score	94	0.2847376263992274	0.4	0.17142857142857143		
Interferon Alpha Response	ISG15	loo_gene_author_norm_score	94	0.27957196499035497	0.4	0.17142857142857143		
Interferon Alpha Response	OAS1	loo_gene_author_norm_score	94	0.2862221051463125	0.4	0.17142857142857143		
Interferon Alpha Response	IFIT3	loo_gene_author_norm_score	94	0.283522076715113	0.4	0.17142857142857143		
Interferon Alpha Response	IFI44	loo_gene_author_norm_score	94	0.2791722032624815	0.4	0.17142857142857143		
Interferon Alpha Response	IFI35	loo_gene_author_norm_score	94	0.2873831606097026	0.4	0.17142857142857143		
Interferon Alpha Response	IRF7	loo_gene_author_norm_score	94	0.29168881153716963	0.4	0.17142857142857143		
Interferon Alpha Response	RSAD2	loo_gene_author_norm_score	94	0.28714027012050725	0.4	0.17142857142857143		
Interferon Alpha Response	IFI44L	loo_gene_author_norm_score	94	0.2739013092935787	0.42857142857142855	0.2		
Interferon Alpha Response	IFITM1	loo_gene_author_norm_score	94	0.29548950679321084	0.4	0.17142857142857143		
Interferon Alpha Response	IFI27	loo_gene_author_norm_score	94	0.2880687175746015	0.4	0.17142857142857143		
Interferon Alpha Response	IRF9	loo_gene_author_norm_score	94	0.28444226209651013	0.4	0.17142857142857143		
Interferon Alpha Response	OASL	loo_gene_author_norm_score	94	0.2875990770875454	0.4	0.17142857142857143		
Interferon Alpha Response	EIF2AK2	loo_gene_author_norm_score	94	0.2928916686416114	0.4	0.17142857142857143		
Interferon Alpha Response	IFIT2	loo_gene_author_norm_score	94	0.2885920636858179	0.4	0.17142857142857143		
Interferon Alpha Response	CXCL10	loo_gene_author_norm_score	94	0.300094042758257	0.4	0.17142857142857143		
Interferon Alpha Response	TAP1	loo_gene_author_norm_score	94	0.2924604936955131	0.4	0.17142857142857143		
Interferon Alpha Response	SP110	loo_gene_author_norm_score	94	0.2903451025283079	0.4	0.17142857142857143		
Interferon Alpha Response	DDX60	loo_gene_author_norm_score	94	0.2887505541214237	0.4	0.17142857142857143		
Interferon Alpha Response	UBE2L6	loo_gene_author_norm_score	94	0.2866446497086388	0.4	0.17142857142857143		
Interferon Alpha Response	USP18	loo_gene_author_norm_score	94	0.2922115249767572	0.4	0.17142857142857143		
Interferon Alpha Response	PSMB8	loo_gene_author_norm_score	94	0.2926580530447529	0.4	0.17142857142857143		
Interferon Alpha Response	IFIH1	loo_gene_author_norm_score	94	0.2918964290680144	0.4	0.17142857142857143		
Interferon Alpha Response	BST2	loo_gene_author_norm_score	94	0.2880142315873888	0.4	0.17142857142857143		
Interferon Alpha Response	LGALS3BP	loo_gene_author_norm_score	94	0.2912672319247953	0.4	0.17142857142857143		
Interferon Alpha Response	ADAR	loo_gene_author_norm_score	94	0.29508216935044995	0.4	0.17142857142857143		
Interferon Alpha Response	ISG20	loo_gene_author_norm_score	94	0.2853920558939187	0.4	0.17142857142857143		
Interferon Alpha Response	GBP2	loo_gene_author_norm_score	94	0.3027159546925775	0.4	0.17142857142857143		
Interferon Alpha Response	IRF1	loo_gene_author_norm_score	94	0.2991299690119922	0.4	0.17142857142857143		
Interferon Alpha Response	PLSCR1	loo_gene_author_norm_score	94	0.28876526788821977	0.4	0.17142857142857143		
Interferon Alpha Response	PSMB9	loo_gene_author_norm_score	94	0.29516505714356356	0.4	0.17142857142857143		
Interferon Alpha Response	HERC6	loo_gene_author_norm_score	94	0.28608818408564307	0.4	0.17142857142857143		
Interferon Alpha Response	SAMD9	loo_gene_author_norm_score	94	0.29420165254178166	0.4	0.17142857142857143		
Interferon Alpha Response	CMPK2	loo_gene_author_norm_score	94	0.28553673550134295	0.4	0.17142857142857143		
Interferon Alpha Response	IFITM3	loo_gene_author_norm_score	94	0.27572683827358	0.4	0.17142857142857143		
Interferon Alpha Response	RTP4	loo_gene_author_norm_score	94	0.2959671019840098	0.37142857142857144	0.17142857142857143		
Interferon Alpha Response	STAT2	loo_gene_author_norm_score	94	0.287009263838776	0.4	0.17142857142857143		
Interferon Alpha Response	SAMD9L	loo_gene_author_norm_score	94	0.29840490581962875	0.4	0.17142857142857143		
Interferon Alpha Response	LY6E	loo_gene_author_norm_score	94	0.29106057324813683	0.4	0.17142857142857143		
Interferon Alpha Response	IFITM2	loo_gene_author_norm_score	94	0.2913764351574484	0.4	0.17142857142857143		
Interferon Alpha Response	HELZ2	loo_gene_author_norm_score	94	0.29364197782151713	0.4	0.17142857142857143		
Interferon Alpha Response	CXCL11	loo_gene_author_norm_score	94	0.29537363131022065	0.4	0.17142857142857143		
Interferon Alpha Response	TRIM21	loo_gene_author_norm_score	94	0.29138453300113376	0.4	0.17142857142857143		
Interferon Alpha Response	PARP14	loo_gene_author_norm_score	94	0.29245088351084725	0.4	0.17142857142857143		
Interferon Alpha Response	TRIM26	loo_gene_author_norm_score	94	0.29292997428560597	0.4	0.17142857142857143		
Interferon Alpha Response	PARP12	loo_gene_author_norm_score	94	0.2884035818219228	0.4	0.17142857142857143		
