animal	gsm	genotype	context	norm_col	raw_libsize
2807	GSM8788425	Trop2_KO	xenograft	OV.2807.RNA_normCounts	1658980
2815	GSM8788422	Trop2_KO	xenograft	OV.2815.RNA_normCounts	1682637
2817	GSM8788423	Trop2_KO	xenograft	OV.2817.RNA_normCounts	1696029
2818	GSM8788424	Trop2_KO	xenograft	OV.2818.RNA_normCounts	2091885
2808	GSM8788420	WT	xenograft	OV.2808.RNA_normCounts	1754610
2810	GSM8788421	WT	xenograft	OV.2810.RNA_normCounts	1601542
2812	GSM8788419	WT	xenograft	OV.2812.RNA_normCounts	1247108
