set	short	axis	rule	n_genes_in_table	n_with_stat	n_up	n_down	up_genes
Interferon Alpha Response	IFN-α Hallmark	IFN	padj<0.05	95	82	5	0	IFI44L,ISG15,IFI44,IFITM3,STAT2
Interferon Alpha Response	IFN-α Hallmark	IFN	padj<0.1	95	82	9	1	IFI44L,ISG15,IFI44,IFITM3,IFIT3,OAS1,UBE2L6,MOV10,STAT2
Interferon Alpha Response	IFN-α Hallmark	IFN	padj<0.2	95	82	14	2	IFI44L,ISG15,IFI44,IFITM3,IFIT3,MX1,OAS1,CMPK2,UBE2L6,MOV10,STAT2,BST2
Interferon Alpha Response	IFN-α Hallmark	IFN	pvalue<0.05	95	95	24	2	IFI44L,ISG15,IFI44,IFITM3,IFIT3,MX1,TDRD7,OAS1,CMPK2,UBE2L6,ISG20,MOV10
Interferon Alpha Response	IFN-α Hallmark	IFN	pvalue<0.1	95	95	30	4	IFI44L,ISG15,IFI44,IFITM3,IFIT3,MX1,TDRD7,OAS1,CMPK2,UBE2L6,ISG20,MOV10
Interferon Alpha Response	IFN-α Hallmark	IFN	pvalue<0.05 and |log2FC|>0.5	95	95	24	2	IFI44L,ISG15,IFI44,IFITM3,IFIT3,MX1,TDRD7,OAS1,CMPK2,UBE2L6,ISG20,MOV10
Interferon Gamma Response	IFN-γ Hallmark	IFN	padj<0.05	186	141	5	0	IFI44L,ISG15,IFI44,IFITM3,STAT2
Interferon Gamma Response	IFN-γ Hallmark	IFN	padj<0.1	186	141	11	2	IFI44L,ISG15,IFI44,IFITM3,IFIT3,DDX58,OAS3,UBE2L6,OAS2,STAT2,MYD88
Interferon Gamma Response	IFN-γ Hallmark	IFN	padj<0.2	186	141	19	6	IFI44L,ISG15,IFI44,IFITM3,IFIT3,MX1,MX2,IFIT1,DDX58,CMPK2,OAS3,UBE2L6
Interferon Gamma Response	IFN-γ Hallmark	IFN	pvalue<0.05	186	186	33	10	IFI44L,ISG15,IFI44,IFITM3,IFIT3,MX1,MX2,IFIT1,DDX58,TDRD7,CMPK2,OAS3
Interferon Gamma Response	IFN-γ Hallmark	IFN	pvalue<0.1	186	186	45	16	IFI44L,ISG15,IFI44,IFITM3,IFIT3,MX1,MX2,IFIT1,DDX58,TDRD7,CMPK2,OAS3
Interferon Gamma Response	IFN-γ Hallmark	IFN	pvalue<0.05 and |log2FC|>0.5	186	186	33	8	IFI44L,ISG15,IFI44,IFITM3,IFIT3,MX1,MX2,IFIT1,DDX58,TDRD7,CMPK2,OAS3
Interferon Alpha/Beta Signaling R-HSA-909733	IFN-α/β Reactome	IFN	padj<0.05	58	52	3	1	ISG15,IFITM3,STAT2
Interferon Alpha/Beta Signaling R-HSA-909733	IFN-α/β Reactome	IFN	padj<0.1	58	52	8	1	ISG15,IFITM3,IFIT3,HLA-F,OAS1,OAS3,OAS2,STAT2
