set	short	axis	normalization	n_genes	score_KO_minus_WT	exact_p_two	exact_p_KO_gt_WT	n_permutations	fdr_two_sweep	fdr_up_sweep
Interferon Alpha Response	IFN-α Hallmark	IFN	author_norm	95	0.29237909093223013	0.4	0.17142857142857143	35	0.5816326530612245	0.36190476190476195
Interferon Alpha Response	IFN-α Hallmark	IFN	cpm	95	0.3816164804045812	0.2571428571428571	0.11428571428571428	35	0.4885714285714285	0.35403726708074534
Interferon Alpha Response	IFN-α Hallmark	IFN	median_ratio	95	0.30144790907994956	0.4	0.17142857142857143	35	0.5816326530612245	0.36190476190476195
Interferon Gamma Response	IFN-γ Hallmark	IFN	author_norm	186	0.10767746322394078	0.6571428571428571	0.37142857142857144	35	0.7969604863221884	0.6048979591836735
Interferon Gamma Response	IFN-γ Hallmark	IFN	cpm	186	0.20022088638954472	0.37142857142857144	0.17142857142857143	35	0.5816326530612245	0.36190476190476195
Interferon Gamma Response	IFN-γ Hallmark	IFN	median_ratio	186	0.116154271079842	0.6571428571428571	0.37142857142857144	35	0.7969604863221884	0.6048979591836735
Interferon Alpha/Beta Signaling R-HSA-909733	IFN-α/β Reactome	IFN	author_norm	58	0.37434152703390655	0.2571428571428571	0.14285714285714285	35	0.4885714285714285	0.35403726708074534
Interferon Alpha/Beta Signaling R-HSA-909733	IFN-α/β Reactome	IFN	cpm	58	0.4687012926612182	0.2	0.11428571428571428	35	0.4885714285714285	0.35403726708074534
Interferon Alpha/Beta Signaling R-HSA-909733	IFN-α/β Reactome	IFN	median_ratio	58	0.38384319491313335	0.2571428571428571	0.14285714285714285	35	0.4885714285714285	0.35403726708074534
Interferon Gamma Signaling R-HSA-877300	IFN-γ Reactome	IFN	author_norm	78	0.05548549360099386	0.7428571428571429	0.4	35	0.8296495956873317	0.6162162162162163
Interferon Gamma Signaling R-HSA-877300	IFN-γ Reactome	IFN	cpm	78	0.1395838204503952	0.42857142857142855	0.22857142857142856	35	0.5816326530612245	0.4202764976958525
Interferon Gamma Signaling R-HSA-877300	IFN-γ Reactome	IFN	median_ratio	78	0.06418188301081695	0.6857142857142857	0.34285714285714286	35	0.797667638483965	0.5922077922077923
Response To Type I Interferon (GO:0034340)	IFN-I response GO	IFN	author_norm	8	0.4582936396499795	0.2571428571428571	0.14285714285714285	35	0.4885714285714285	0.35403726708074534
