cohort,definition,n_pairwise,n_minus_118,is_n_118,is_n_approx_118,spearman_rho,spearman_p,spearman_rounded_2dp,pearson_r,pearson_p,rho_vs_0.69,rho_match_2dp,rho_nearby,ci95_lo,ci95_hi,user_0.69_in_ci,n_lines_in_table,n_TACSTD2,n_CLDN4
all_unique_lines,All unique CCLE codes in protein_quant_current_normalized.csv.gz (375 lines; 3 plex-duplicates averaged),197,79,False,False,0.6185563288536458,3.4747719907650856e-22,0.62,0.613640128734119,9.072943101158203e-22,-0.07144367114635419,False,False,0.5108121571937291,0.7077466665219331,True,375,375,197
S1_Lung,"Table S1 Tissue of Origin == Lung (CCLE 2012 lineage, includes NCI-H226)",45,-73,False,False,0.6931488801054019,1.3117431950020398e-07,0.69,0.6871878120527253,1.853557014326504e-07,0.00314888010540193,True,True,0.49042087637846654,0.8242027045494396,True,77,77,45
S1_Lung_excluding_NCIH226,S1 Lung minus NCI-H226 (DepMap 24Q4 calls this pleural mesothelioma),44,-74,False,False,0.703875968992248,9.813589251845172e-08,0.7,0.6884777243654309,2.3996687047534226e-07,0.013875968992248078,False,True,0.4998569159215048,0.8357347022029235,True,76,76,44
Oncotree_Lung,DepMap 24Q4 OncotreeLineage == Lung,44,-74,False,False,0.703875968992248,9.813589251845172e-08,0.7,0.6884777243654309,2.3996687047534226e-07,0.013875968992248078,False,True,0.4998569159215048,0.8357347022029235,True,76,76,44
Oncotree_NSCLC,DepMap 24Q4 OncotreePrimaryDisease == Non-Small Cell Lung Cancer,35,-83,False,False,0.7266106442577032,7.730366817532931e-07,0.73,0.7437063817000542,3.0686191982928465e-07,0.03661064425770322,False,True,0.5097177522393592,0.8426404673844141,True,63,63,35
Oncotree_LUAD,DepMap 24Q4 OncotreeSubtype == Lung Adenocarcinoma,22,-96,False,False,0.7820440429136083,1.713299661861345e-05,0.78,0.7932845666934565,1.0611960424713108e-05,0.09204404291360835,False,False,0.5258427913294389,0.9001235341875267,True,37,37,22
Oncotree_LUSC,DepMap 24Q4 OncotreeSubtype == Lung Squamous Cell Carcinoma,7,-111,False,False,0.7500000000000002,0.0521814004570578,0.75,0.7919681641099042,0.03377371015550889,0.060000000000000275,False,False,-0.06666666666666665,1.0,True,11,11,7
Oncotree_NET_SCLC,DepMap 24Q4 OncotreePrimaryDisease == Lung Neuroendocrine Tumor (SCLC),7,-111,False,False,0.642857142857143,0.11939237342741109,0.64,0.31002086641065385,0.4986157894316887,-0.04714285714285693,False,True,-0.1851851851851852,1.0,True,10,10,7
S1_solid_organ,Table S1 solid-organ lineages (exclude haematopoietic / lymphoma / leukemia),186,68,False,False,0.6061634862393874,4.83221704693017e-20,0.61,0.60862724707977,3.11128494276771e-20,-0.08383651376061252,False,False,0.49295535598169526,0.7031663009285062,True,335,335,186
