tissues,k_tissues,n_lines,n_both,matches_118_lines,matches_118_both,natural_NSCLC_or_lung
Haematopoietic and Lymphoid Tissue + Lung,2,117,56,False,False,False
Autonomic Ganglia + Haematopoietic and Lymphoid Tissue + Lung,3,118,56,True,False,False
Biliary Tract + Haematopoietic and Lymphoid Tissue + Lung,3,118,56,True,False,False
Bone + Breast + Lung,3,114,69,False,False,False
Bone + Large Intestine + Lung,3,114,71,False,False,False
Bone + Lung + Skin,3,117,73,False,False,False
Breast + Central Nervous System + Lung,3,121,66,False,False,False
Breast + Endometrium + Lung,3,121,68,False,False,False
Breast + Kidney + Lung,3,118,71,True,False,False
Breast + Liver + Lung,3,121,75,False,False,False
Breast + Lung + Oesophagus,3,121,71,False,False,False
Breast + Lung + Soft Tissue,3,115,67,False,False,False
Breast + Lung + Stomach,3,121,69,False,False,False
Breast + Lung + Upper Aerodigestive Tract,3,117,68,False,False,False
Breast + Lung + Urinary Tract,3,118,71,True,False,False
Central Nervous System + Large Intestine + Lung,3,121,68,False,False,False
Endometrium + Large Intestine + Lung,3,121,70,False,False,False
Haematopoietic and Lymphoid Tissue + Lung + Pleura,3,119,57,False,False,False
Haematopoietic and Lymphoid Tissue + Lung + Prostate,3,122,58,False,False,False
Haematopoietic and Lymphoid Tissue + Lung + Thyroid,3,119,57,False,False,False
Kidney + Large Intestine + Lung,3,118,73,True,False,False
Kidney + Lung + Skin,3,121,75,False,False,False
Large Intestine + Liver + Lung,3,121,77,False,False,False
Large Intestine + Lung + Oesophagus,3,121,73,False,False,False
Large Intestine + Lung + Soft Tissue,3,115,69,False,False,False
Large Intestine + Lung + Stomach,3,121,71,False,False,False
Large Intestine + Lung + Upper Aerodigestive Tract,3,117,70,False,False,False
Large Intestine + Lung + Urinary Tract,3,118,73,True,False,False
Lung + Ovary + Pancreas,3,114,64,False,False,False
Lung + Prostate + Skin,3,115,70,False,False,False
Lung + Skin + Soft Tissue,3,118,71,True,False,False
Lung + Skin + Upper Aerodigestive Tract,3,120,72,False,False,False
Lung + Skin + Urinary Tract,3,121,75,False,False,False
