CCLE_Code,TACSTD2,CLDN4,S1_Tissue,S1_CellLine,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,ModelID,CellLineName,has_TACSTD2,has_CLDN4,has_both
A549_LUNG,-2.79992187142195,-5.30030757200522,Lung,A549,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000681,A549,True,True,True
ABC1_LUNG,2.42004783204824,1.35907839420605,Lung,ABC-1,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000528,ABC-1,True,True,True
CALU1_LUNG,-0.630267655691389,,Lung,Calu-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,ACH-000511,Calu-1,True,False,False
CALU6_LUNG,-1.58088192975724,,Lung,Calu-6,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000264,Calu-6,True,False,False
CHAGOK1_LUNG,0.614141385155557,,Lung,ChaGo-K-1,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,ACH-000867,ChaGo-K-1,True,False,False
CORL105_LUNG,-2.92509722976601,-2.08255300509259,Lung,CORL105,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000161,COR-L105,True,True,True
CORL23_LUNG,3.13909136531352,,Lung,COR-L23,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,ACH-000662,COR-L23,True,False,False
DV90_LUNG,1.92830661848231,2.5333035825933,Lung,DV90,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000925,DV-90,True,True,True
EBC1_LUNG,2.35288341451137,3.70914297576777,Lung,EBC-1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,ACH-000563,EBC-1,True,True,True
HCC15_LUNG,-0.0542793420375973,,Lung,HCC-15,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,ACH-000878,HCC-15,True,False,False
HCC1833_LUNG,-2.04417774770678,0.301393242144924,Lung,HCC-1833,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000712,HCC-1833,True,True,True
HCC44_LUNG,-0.78931032834856,-0.55894243942282,Lung,HCC44,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000667,HCC-44,True,True,True
HCC827_LUNG,2.5252116126129,1.80847161075187,Lung,HCC827,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000012,HCC-827,True,True,True
HCC95_LUNG,1.65996246468271,0.159743518456201,Lung,HCC-95,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,ACH-000454,HCC-95,True,True,True
IALM_LUNG,-1.25170740133634,1.44201520116742,Lung,IA-LM,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,ACH-000672,IA-LM,True,True,True
