CCLE_Code,TACSTD2,CLDN4,S1_Tissue,S1_CellLine,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,ModelID,CellLineName,has_TACSTD2,has_CLDN4,has_both
22RV1_PROSTATE,-1.07890730976738,,Prostate,22Rv1,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,ACH-000956,22Rv1,True,False,False
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-0.945343750222853,,Haematopoietic and Lymphoid Tissue,697,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1,ACH-000070,697,True,False,False
769P_KIDNEY,-0.980535660087727,3.98045814443047,Kidney,769-P,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,ACH-000411,769-P,True,True,True
786O_KIDNEY,-2.09221500232355,-0.426174177004036,Kidney,786-O,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,ACH-000649,786-O,True,True,True
8305C_THYROID,-2.1703249221168,,Thyroid,8305C,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,ACH-001306,8305C,True,False,False
8505C_THYROID,-0.0243587098542895,-0.157059589646958,Thyroid,8505C,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,ACH-001307,8505C,True,True,True
A101D_SKIN,-2.1877069934467,,Skin,A101D,Skin,Melanoma,Melanoma,ACH-000008,A101D,True,False,False
A172_CENTRAL_NERVOUS_SYSTEM,-1.49466174243769,,Central Nervous System,A172,CNS/Brain,Diffuse Glioma,Glioblastoma,ACH-000558,A-172,True,False,False
A204_SOFT_TISSUE,-1.19739918877658,,Soft Tissue,A-204,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,ACH-000201,A-204,True,False,False
A2058_SKIN,-0.756302185930209,-1.66946530158521,Skin,A2058,Skin,Melanoma,Melanoma,ACH-000788,A2058,True,True,True
A2780_OVARY,-1.76122241523083,,Ovary,A2780,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,ACH-000657,A2780,True,False,False
A375_SKIN,-0.926785275190976,-1.39159234424401,Skin,A-375,Skin,Melanoma,Melanoma,ACH-000219,A-375,True,True,True
A498_KIDNEY,-0.550896049260344,-0.113772834840529,Kidney,A-498,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,ACH-000555,A-498,True,True,True
A549_LUNG,-2.79992187142195,-5.30030757200522,Lung,A549,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000681,A549,True,True,True
A673_BONE,-0.303248405314129,,Bone,A-673,Bone,Ewing Sarcoma,Ewing Sarcoma,ACH-000052,A-673,True,False,False
A704_KIDNEY,-0.942201944871681,-0.177657129013266,Kidney,A-704,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,ACH-000429,A-704,True,True,True
ABC1_LUNG,2.42004783204824,1.35907839420605,Lung,ABC-1,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,ACH-000528,ABC-1,True,True,True
AGS_STOMACH,0.217039386055999,1.55025995262901,Stomach,AGS,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,ACH-000880,AGS,True,True,True
ASPC1_PANCREAS,-1.77895936370396,,Pancreas,AsPC-1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,ACH-000222,AsPC-1,True,False,False
AU565_BREAST,1.16379529640108,,Breast,AU565,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,ACH-000248,AU565,True,False,False
BICR22_UPPER_AERODIGESTIVE_TRACT,3.61729472454362,,Upper Aerodigestive Tract,BICR22,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,ACH-000794,BICR 22,True,False,False
BICR6_UPPER_AERODIGESTIVE_TRACT,3.03856771270068,2.53712195569973,Upper Aerodigestive Tract,BICR 6,Head and Neck,Head and Neck Squamous Cell Carcinoma,Hypopharynx Squamous Cell Carcinoma,ACH-000415,BICR 6,True,True,True
BT20_BREAST,3.75653904387649,,Breast,BT-20,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,ACH-000536,BT-20,True,False,False
BT549_BREAST,-0.720005531543568,-0.731797740187684,Breast,BT-549,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",ACH-000288,BT-549,True,True,True
BXPC3_PANCREAS,2.47350471326744,,Pancreas,BxPC-3,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,ACH-000535,BxPC-3,True,False,False
C32_SKIN,-1.09991296735147,-4.99350800143765,Skin,C32,Skin,Melanoma,Melanoma,ACH-000580,C32,True,True,True
CAKI1_KIDNEY,-1.35423337651447,,Kidney,Caki-1,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,ACH-000433,Caki-1,True,False,False
