gene	log2fc	welch_p	welch_q
B2M	-0.271748	0.414402	0.831883
BST2	0.0885572	0.704293	0.875135
CCL5	-0.0270443	0.880031	0.955802
CD274	-0.636919	0.277693	0.831883
CGAS	-0.360304	0.565922	0.831883
CLDN4	0.149679	0.764275	0.905933
CXCL10	-0.644686	0.257796	0.831883
CXCL11	-0.257618	0.618182	0.837518
CXCL9	0		
DCLRE1C	-0.225203	0.66569	0.857399
DDX58	-0.444675	0.390375	0.831883
HLA-A	0.359047	0.464208	0.831883
HLA-B	0.25162	0.470035	0.831883
HLA-C	0.24656	0.493144	0.831883
IFI27	0.213525	0.573005	0.831883
IFI44	-0.545963	0.333407	0.831883
IFI44L	-0.493696	0.457751	0.831883
IFIH1	-0.242715	0.406989	0.831883
IFIT1	-0.517408	0.343691	0.831883
IFIT2	-0.625685	0.301863	0.831883
IFIT3	-0.473738	0.271601	0.831883
IFITM1	0.597186	0.429334	0.831883
IFNB1	-0.038754	0.987092	0.996677
IRF3	0.0148843	0.891605	0.960168
IRF7	0.15422	0.617044	0.837505
IRF9	0.0288118	0.805111	0.920878
ISG15	0.391797	0.512221	0.831883
ISG20	0.0600982	0.773742	0.909581
LIG4	-0.577419	0.43053	0.831883
MX1	-0.121477	0.0174962	0.831883
MX2	-0.185806	0.0962707	0.831883
NHEJ1	0.0212835	0.641521	0.845761
NLRC5	-0.0369385	0.830054	0.932825
OAS1	-0.291733	0.0431121	0.831883
OAS2	-0.420264	0.320301	0.831883
OAS3	0.179065	0.320773	0.831883
OASL	-0.175088	0.336924	0.831883
PAXX	0.177607	0.321418	0.831883
POLL	0.133509	0.41183	0.831883
POLM	0.0112659	0.968706	0.991038
PRKDC	-0.00903462	0.928477	0.974908
PSMB10	0.302176	0.505805	0.831883
PSMB8	0.0814639	0.74399	0.896008
PSMB9	0.276864	0.279376	0.831883
RSAD2	-0.594612	0.0854979	0.831883
STAT1	-0.259031	0.459484	0.831883
STAT2	-0.211457	0.0849815	0.831883
STING1	-0.0993371	0.202065	0.831883
TAP1	-0.0459988	0.774376	0.909581
TAP2	-0.00343799	0.956156	0.984678
TBK1	-0.485675	0.498151	0.831883
TP53BP1	-0.0970023	0.112697	0.831883
TREX1	0.491593	0.623913	0.839488
USP18	-0.0581346	0.740283	0.893775
XAF1	-0.486245	0.301422	0.831883
XRCC1	0.0487742	0.846451	0.939674
XRCC4	-0.630956	0.440605	0.831883
XRCC5	-0.155604	0.634179	0.842276
XRCC6	-0.00490804	0.935121	0.977411
