gene_short_name	log2fc	log2fc_MCF7	log2fc_T47D	mean_treat	mean_ctrl
BST2	-3.03144	-1.37875	-4.68414	0.201945	4.42634
CD274	-0.516643	-2.29545	1.26217	0.454049	0.60161
CLDN4	-0.899558	-0.726033	-1.07308	36.4513	65.0099
DCLRE1C	-0.138602	-0.371093	0.0938882	19.9901	22.5487
DDX58	0.0475619	0.369823	-0.274699	6.91286	7.16507
HLA-C	0.434283	1.38944	-0.520872	7.90831	6.97629
IFI44	-2.63085	-1.87424	-3.38746	0.378228	3.78396
IFI44L	-0.702775	-1.70762	0.302065	0.863634	0.990447
IFIH1	0.721285	1.89231	-0.449737	1.91004	2.02058
IFIT1	-0.819635	-1.59873	-0.040541	0.702906	1.22884
IFITM1	-0.198655	-0.586068	0.188757	5.77786	5.3292
IRF3	0.00636208	0.11692	-0.104196	31.3374	31.0577
ISG15	-0.915553	0.106046	-1.93715	28.1311	45.3415
ISG20	0.214353	1.06085	-0.632143	8.67006	10.2358
LIG4	0.538971	-0.049261	1.1272	5.83133	4.01001
MB21D1	0.17403	0.205212	0.142849	10.673	9.46517
NHEJ1	-0.237476	-0.543317	0.068365	7.8956	9.27281
OAS1	-1.37869	-1.98859	-0.768788	0.623042	1.39998
OAS3	-0.542826	-0.439787	-0.645864	5.71819	8.51235
POLL	-0.114292	0.208579	-0.437163	6.61381	7.16966
POLM	-0.0267368	0.336466	-0.38994	5.10658	5.16533
PRKDC	0.0174666	-0.275602	0.310535	49.5448	47.8435
PSMB10	0.161872	0.367216	-0.043471	19.3285	17.8031
STAT1	0.0259934	-0.0537824	0.105769	29.8455	29.5649
STAT2	-0.139329	-0.295052	0.0163934	6.99326	7.78053
TBK1	0.0762982	0.0975734	0.055023	53.2914	50.5291
TP53BP1	0.185561	0.161398	0.209725	10.0213	8.81525
USP18	-0.386564	-0.415235	-0.357893	9.03721	11.7674
XRCC1	-0.034376	-0.182032	0.11328	14.0117	14.0844
XRCC4	0.102223	0.242813	-0.0383658	19.8349	18.334
XRCC5	0.167227	0.169262	0.165193	89.2192	79.4461
XRCC6	-0.0368989	0.107729	-0.181527	437.573	446.213
