gene	log2fc	welch_p	welch_q	mean_treat	mean_ctrl
B2M	1.5366	0.000965708	0.224702	45341.7	15628.4
BST2	1.40582	0.00892092	0.31206	9973.59	3763.43
CCL5	2.16287	0.00297969	0.224702	4445.42	991.937
CD274	3.38843	0.0277476	0.413239	434.682	40.6054
CGAS	0.296557	0.095052	0.520992	896.672	729.878
CLDN4	0.660962	0.0341596	0.413239	2218.87	1402.97
CXCL10	6.07301	0.00512418	0.247507	66.3221	0
CXCL11	4.00365	0.116263	0.545165	39.9972	1.55585
CXCL9	0			0	0
DCLRE1C	-0.0818454	0.634499	0.799786	430.927	456.139
DDX58	3.15949	0.00287356	0.224702	17515.8	1959.45
HLA-A	0.847412	0.00249724	0.224702	19501.3	10838
HLA-B	1.99728	0.0004131	0.224702	8552.59	2141.43
HLA-C	1.23848	0.00411792	0.224702	44721.7	18953.3
IFI27	2.32903	0.00313847	0.224702	27071.9	5387.01
IFI44	2.7618	0.00669794	0.274027	9257.04	1364.01
IFI44L	3.27445	0.00451883	0.23229	17129.2	1769.33
IFIH1	3.05957	0.00105809	0.224702	6759.03	809.826
IFIT1	4.00859	0.000669287	0.224702	26767.9	1662.12
IFIT2	3.40106	0.0035137	0.224702	25496.2	2412.64
IFIT3	3.73096	5.01161e-05	0.219024	20317	1529.21
IFITM1	3.57721	0.000611046	0.224702	4649.44	388.624
IFNB1	4.58857	0.0142819	0.36098	23.0602	0
IRF3	0.0867312	0.485678	0.706022	2635.37	2481.55
IRF7	2.31993	0.0168064	0.37878	4863.24	973.2
IRF9	0.990478	0.000469327	0.224702	3736.72	1880.23
ISG15	2.88565	0.000551082	0.224702	60268.3	8154.11
ISG20	2.10472	0.00865736	0.307965	2448.09	568.404
LIG4	0.0164308	0.758487	0.883141	722.864	714.667
MX1	4.0491	0.00283744	0.224702	37451.3	2261.45
MX2	6.94284	0.000201728	0.219024	4416.33	34.9051
NHEJ1	-0.117884	0.449253	0.706022	470.819	510.99
NLRC5	2.29505	0.00167347	0.224702	3147.48	640.536
OAS1	2.28238	0.00296543	0.224702	28119.1	5779.31
OAS2	3.93649	0.00503069	0.245844	25912.1	1691.45
OAS3	2.73527	0.00161551	0.224702	44550.3	6689.57
OASL	2.86985	0.00371646	0.224702	15098.2	2064.59
PAXX	-0.174547	0.299725	0.706022	997.639	1126.07
POLL	-0.192037	0.243834	0.68002	1000.91	1143.55
POLM	-0.180173	0.398841	0.706022	234.395	265.708
PRKDC	-0.0567297	0.393645	0.706022	18547	19290.8
PSMB10	0.780783	0.0874091	0.508568	995.278	578.884
PSMB8	1.45445	0.000285526	0.224702	4593.55	1675.53
PSMB9	2.96648	0.00412328	0.224702	1558.38	198.504
RSAD2	4.82639	0.0138346	0.359086	3368.24	117.753
STAT1	2.02777	0.00420165	0.224702	37175.1	9115.81
STAT2	1.86907	0.0133053	0.357892	12088	3308.37
STING1	1.02969	0.00306733	0.224702	1223.78	598.916
TAP1	2.22543	0.00020025	0.219024	12844.4	2745.8
TAP2	1.43334	0.013219	0.357892	6272.95	2322.07
TBK1	0.12668	0.117879	0.547102	3150.73	2885.79
TP53BP1	0.156437	0.00394562	0.224702	1660.95	1490.17
TREX1	2.56177	0.0145333	0.361205	555.306	93.2202
USP18	3.73083	0.0114046	0.340633	6013.49	452.008
XAF1	4.0222	0.00115762	0.224702	3316.39	203.171
XRCC1	-0.205055	0.0468791	0.443341	1130.95	1303.83
XRCC4	-0.159965	0.127565	0.556338	363.05	405.738
XRCC5	-0.0966656	0.0616803	0.47713	13345.2	14270.1
XRCC6	0.0688366	0.0424093	0.434923	16968.2	16177.5
