gene	log2fc	onesample_t	onesample_p	onesample_q
B2M	-1.1704	-0.684589	0.564288	0.99945
BST2	-0.231767	-0.38298	0.738607	0.99945
CCL5	-0.8625			
CLDN4	-1.22505	-2.39291	0.252001	0.99945
CXCL10	3.0254	0.869518	0.544361	0.99945
CXCL11	0.3254	0.161403	0.886607	0.99945
CXCL9	-0.1361			
DCLRE1C	-2.31342	-2.31092	0.147044	0.99945
DDX58	-1.4477	-1.80107	0.322668	0.99945
HLA-A	-0.588944	-0.702485	0.55513	0.99945
HLA-B	-0.449667	-0.321606	0.778252	0.99945
HLA-C	-1.04083	-0.967536	0.435349	0.99945
IFI27	-0.707933	-0.398297	0.728908	0.99945
IFI44	-1.67925	-5.23539	0.120152	0.99945
IFIH1	-0.929133	-3.87304	0.0606621	0.99945
IFIT1	-2.0257	-4.07031	0.0553919	0.99945
IFIT2	-0.387633	-0.375571	0.743328	0.99945
IFIT3	-0.0135333	-0.0198641	0.985955	0.99945
IFNB1	0.7165	0.189781	0.880601	0.99945
IRF3	1.06455	0.93506	0.448468	0.99945
IRF7	0.272867	1.29656	0.32422	0.99945
ISG20	-0.550067	-0.265223	0.815672	0.99945
LIG4	0.6043	0.639663	0.587886	0.99945
MX1	0.3584	0.828862	0.559399	0.99945
OAS1	0.227467	0.494889	0.669701	0.99945
OAS2	0.878733	0.902964	0.461848	0.99945
OAS3	0.4811	1.04594	0.405368	0.99945
OASL	-0.70575	-0.456574	0.727331	0.99945
POLL	0.597167	1.12406	0.377776	0.99945
POLM	-0.483967	-0.597392	0.610873	0.99945
PRKDC	0.359417	1.36679	0.305051	0.99945
PSMB10	-0.0841	-0.492722	0.67099	0.99945
PSMB8	0.417283	1.204	0.351751	0.99945
PSMB9	1.89987	3.07566	0.0914433	0.99945
STAT1	0.22275	0.775489	0.51919	0.99945
STAT2	-0.474217	-2.22854	0.155661	0.99945
TAP1	-0.340317	-0.251574	0.82486	0.99945
TAP2	-1.1603	-1.8441	0.206478	0.99945
TP53BP1	-0.3335	-0.780883	0.516625	0.99945
TREX1	0.59735	0.537209	0.686165	0.99945
USP18	0.632067	0.293577	0.796743	0.99945
XRCC1	0.6868	33.1811	0.000907043	0.649881
XRCC4	-0.0624333	-0.03957	0.972031	0.99945
XRCC5	-0.5329	-1.09202	0.388827	0.99945
