nhood	n_samples_present	n_samples_A	n_samples_B	n_cells	mean_prop_A	mean_prop_B	logFC_B_minus_A	t	p	testable	BH_FDR	SpatialFDR
0	4	1	3	31	0.00027046520014424813	0.0005408239889683158				False		
1	3	1	2	31	0.00027046520014424813	0.0005761567133339022				False		
2	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
3	2	1	1	31	0.00027046520014424813	0.0005846585594013096				False		
4	2	0	2	31	0.0	0.0007164747675902165				False		
5	2	1	1	31	0.00013523260007212407	0.0006548175865294668				False		
6	2	0	2	31	0.0	0.0007164747675902165				False		
7	2	1	1	31	9.015506671474937e-05	0.0006782039289055192				False		
8	1	0	1	31	0.0	0.000724976613657624				False		
9	1	0	1	31	0.0	0.000724976613657624				False		
10	3	1	2	31	9.015506671474937e-05	0.0006612002367707042				False		
11	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
12	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
13	3	1	2	31	9.015506671474937e-05	0.0006697020828381118				False		
14	1	0	1	31	0.0	0.000724976613657624				False		
15	2	1	1	31	9.015506671474937e-05	0.0006782039289055192				False		
16	1	0	1	31	0.0	0.000724976613657624				False		
17	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
18	3	1	2	31	9.015506671474937e-05	0.0006441965446358893				False		
19	3	1	2	31	0.00013523260007212407	0.0006463157404620594				False		
20	1	0	1	31	0.0	0.000724976613657624				False		
21	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
22	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
23	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
24	1	0	1	31	0.0	0.000724976613657624				False		
25	2	1	1	31	9.015506671474937e-05	0.0006782039289055192				False		
26	2	1	1	31	9.015506671474937e-05	0.0006782039289055192				False		
27	1	0	1	31	0.0	0.000724976613657624				False		
28	2	1	1	31	9.015506671474937e-05	0.0006782039289055192				False		
29	2	1	1	31	9.015506671474937e-05	0.0006782039289055192				False		
30	1	0	1	31	0.0	0.000724976613657624				False		
31	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
32	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
33	2	0	2	31	0.0	0.0007164747675902165				False		
34	1	0	1	31	0.0	0.000724976613657624				False		
35	1	0	1	31	0.0	0.000724976613657624				False		
36	1	0	1	31	0.0	0.000724976613657624				False		
37	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
38	1	0	1	31	0.0	0.000724976613657624				False		
39	1	0	1	31	0.0	0.000724976613657624				False		
40	1	0	1	31	0.0	0.000724976613657624				False		
41	1	0	1	31	0.0	0.000724976613657624				False		
42	1	0	1	31	0.0	0.000724976613657624				False		
43	1	0	1	31	0.0	0.000724976613657624				False		
44	1	0	1	31	0.0	0.000724976613657624				False		
45	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
46	2	1	1	31	0.00013523260007212407	0.0006548175865294668				False		
47	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
48	1	0	1	31	0.0	0.000724976613657624				False		
49	1	0	1	31	0.0	0.000724976613657624				False		
50	1	0	1	31	0.0	0.000724976613657624				False		
51	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
52	2	1	1	31	9.015506671474937e-05	0.0006782039289055192				False		
53	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
54	1	0	1	31	0.0	0.000724976613657624				False		
55	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
56	3	1	2	31	9.015506671474937e-05	0.0006697020828381118				False		
57	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
58	2	1	1	31	0.00027046520014424813	0.0005846585594013096				False		
59	1	0	1	31	0.0	0.000724976613657624				False		
60	2	1	1	31	0.00018031013342949875	0.0006314312441534144				False		
61	2	1	1	31	4.5077533357374686e-05	0.0007015902712815715				False		
62	1	0	1	31	0.0	0.000724976613657624				False		
63	1	0	1	31	0.0	0.000724976613657624				False		
