dataset,sample,group,TACSTD2,CLDN4
GSE207422_pre,R20027161LR01,NMPR,8.38277855849438,6.64451855211802
GSE207422_pre,R20028573LR01,NMPR,0.315086218173547,0.158989711938759
GSE207422_pre,R20052328LR01,NMPR,7.10680089156827,6.49288548811204
GSE207422_pre,R20030544LR01,MPR,7.92125247116428,6.02787813736218
GSE207422_pre,R20031593LR01,MPR,1.50410169161238,1.21022301356404
GSE207422_pre,R20035974LR01,NMPR,6.15032828661551,4.5913772881197
GSE207422_pre,R20041445LR01,MPR,2.82464709746739,2.81095880341949
GSE207422_pre,R20052336LR01,MPR,4.95137634505117,5.87414829572585
GSE207422_pre,R20059498LR01,NMPR,6.22219707106702,6.77912651711466
GSE207422_pre,R20059499LR01,NMPR,6.05187623902491,6.04956159336923
GSE207422_pre,R20059506LR01,NMPR,6.6741813198676,6.27200773153137
GSE207422_pre,R20059511LR01,NMPR,3.75725254423446,0.879806908204406
GSE207422_pre,R20073124LR01,MPR,5.60039872548956,5.14672803923879
GSE207422_pre,R20073125LR01,MPR,4.9991896090022,4.74126904045576
GSE207422_pre,R20073128LR02,MPR,7.7721603284611,6.90845169649995
GSE207422_pre,R20073704LR03,NMPR,8.82916519536962,6.66932828788523
GSE207422_pre,R20073708LR01,NMPR,6.78473179402388,7.60951796249724
GSE207422_pre,R20073752LR01,NMPR,3.47476153771991,3.21401473347193
GSE207422_pre,R21008693LR01,NMPR,3.44210323787044,1.79854329090446
GSE207422_pre,R21008694LR01,NMPR,5.75479794542503,6.1300500588338
GSE207422_pre,R21008707LR01,MPR,7.16549872244666,5.89270180335448
GSE207422_pre,R21017092LR01,NMPR,8.12932958432833,6.45391485826456
GSE207422_pre,R21017102LR01,NMPR,8.86565689413185,7.79659487301582
GSE207422_pre,R21025078LR01,MPR,4.8311254559415,5.8539397241997
GSE126044,Dis_01,NR,5.894870122133453,4.579189039776108
GSE126044,Dis_02,R,6.5039387875614265,2.542294564145926
GSE126044,Dis_11,NR,6.701533704863754,3.76527859609096
GSE126044,Dis_12,NR,7.73481306351147,4.685879548620477
GSE126044,Dis_15,R,6.168039700600696,3.1046438766253734
GSE126044,Dis_04,R,2.7367646274263007,1.1877588997990343
GSE126044,Dis_16,NR,7.34496228361644,3.7711716113053324
GSE126044,Dis_17,R,7.057927469699105,4.197060802381897
GSE126044,Dis_03,NR,4.804849444980113,1.02615763032641
GSE126044,Dis_07,NR,5.046655718802534,1.2843560745688536
GSE126044,Dis_10,R,2.4671526047401064,0.12631917148644894
GSE126044,Dis_18,NR,6.351986126558794,4.088655510227215
GSE126044,Dis_09,NR,7.324444274964089,3.021683271066215
GSE126044,Dis_05,NR,5.547769285093614,3.751410380730088
GSE126044,Dis_06,NR,6.288184233072098,4.216045269153498
GSE126044,Dis_08,NR,4.399547878062959,4.278800262927154
GSE135222,NSCLC 378,DCB,6.861086905995394,7.875657212551882
GSE135222,NSCLC 1104,NDB,8.429532278767628,8.204473331100186
GSE135222,NSCLC 947,DCB,4.3348542693316325,1.1505596765753812
GSE135222,NSCLC 990,NDB,0.6040713236688608,0.16349873228287956
GSE135222,NSCLC 1203,NDB,6.403438163008279,7.651123465266199
GSE135222,NSCLC 1327,DCB,7.576673292516575,7.689369056858228
GSE135222,NSCLC 1401,NDB,3.2078928516413328,2.1667154449664223
GSE135222,NSCLC 1155,NDB,8.804486003132515,6.915998851738901
GSE135222,NSCLC 573,NDB,5.578938713093386,3.554588851677637
GSE135222,NSCLC 825,NDB,8.069046911268172,8.89666541154852
GSE135222,NSCLC 1528,DCB,7.341274183692174,7.20633064787105
GSE135222,NSCLC 1508,NDB,8.684713560577862,7.8203066288938246
GSE135222,NSCLC 1708,NDB,8.50834941622587,6.7311832415722
GSE135222,NSCLC 1352,DCB,8.227519680316778,6.428443926153613
GSE135222,NSCLC 1066,NDB,8.356363931224907,7.018589667805939
GSE135222,NSCLC 1017,NDB,6.22573765346606,5.360715425392931
GSE135222,NSCLC 1358,DCB,7.603181229013857,8.27206985934139
GSE135222,NSCLC 1510,DCB,6.5049381316496095,8.890841847500003
GSE135222,NSCLC 1164,NDB,6.750472518762509,8.776992235700709
GSE135222,NSCLC 1412,NDB,8.225496670112252,8.836902461486945
GSE135222,NSCLC 1145,NDB,5.97338167497138,7.913308315438674
GSE135222,NSCLC 1425,NDB,8.942309229246362,7.6824328412270475
GSE135222,NSCLC 1554,NDB,8.191059214531656,6.993900755637419
GSE135222,NSCLC 1619,NDB,5.439290681042018,5.9071310247467945
GSE135222,NSCLC 1809,NDB,7.825340439545006,9.047369340298761
GSE135222,NSCLC 1873,NDB,4.560714954474479,7.23429054170594
GSE135222,NSCLC 1079,NDB,7.904183003245026,4.857483428286672
GSE260770_exosome,E-lncA411-69h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-42h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-43h,NR,0.035139645933551886,0.0
GSE260770_exosome,E-lncA411-44h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-45h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-46h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-11h,R,0.0,0.2565904249077709
GSE260770_exosome,E-lncA411-12h,R,0.0,0.0
GSE260770_exosome,E-lncA411-13h,R,0.0,0.0
GSE260770_exosome,E-lncA411-14h,R,0.0,0.0
GSE260770_exosome,E-lncA411-47h,NR,0.0434830977435555,0.0
GSE260770_exosome,E-lncA411-76h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-77h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-78h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-21h,R,0.0,0.014159587406043747
GSE260770_exosome,E-lncA411-23h,R,0.0,0.0
GSE260770_exosome,E-lncA411-22h,R,1.5098680937443358,0.0
GSE260770_exosome,E-lncA411-24h,R,0.0,0.0
GSE260770_exosome,E-lncA411-60h,R,0.0,0.0
GSE260770_exosome,E-lncA411-26h,R,0.0,0.0
GSE260770_exosome,E-lncA411-01h,R,0.0,0.013859549218994245
GSE260770_exosome,E-lncA411-02h,R,0.0,0.0
GSE260770_exosome,E-lncA411-03h,R,0.0,0.0
GSE260770_exosome,E-lncA411-04h,R,0.0,0.5700402614786322
GSE260770_exosome,E-lncA411-05h,R,0.0,0.0
GSE260770_exosome,E-lncA411-06h,R,0.0,0.0
GSE260770_exosome,E-lncA411-27h,NR,0.206570712358416,0.0
GSE260770_exosome,E-lncA411-28h,NR,0.3263417542142657,0.0
GSE260770_exosome,E-lncA411-29h,NR,0.07784183238502533,0.0
GSE260770_exosome,E-lncA411-30h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-54h,R,0.0,0.3664783316328413
GSE260770_exosome,E-lncA411-08h,R,0.0,0.0
GSE260770_exosome,E-lncA411-56h,R,0.0,0.0
GSE260770_exosome,E-lncA411-10h,R,0.0,0.0
GSE260770_exosome,E-lncA411-15h,R,0.0,0.0
GSE260770_exosome,E-lncA411-16h,R,0.0,0.0
GSE260770_exosome,E-lncA411-17h,R,0.0,0.01518067834341449
GSE260770_exosome,E-lncA411-18h,R,0.0,0.0
GSE260770_exosome,E-lncA411-19h,R,0.0,0.0
GSE260770_exosome,E-lncA411-20h,R,0.0,0.0
GSE260770_exosome,E-lncA411-35h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-36h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-37h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-38h,NR,1.5375306568230118,0.7162332531753783
GSE260770_exosome,E-lncA411-68h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-40h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-31h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-32h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-65h,NR,0.0,0.0
GSE260770_exosome,E-lncA411-34h,NR,0.0,0.0
