gene	or_per_sd	p	fdr
UBALD2	0.40524383278059484	0.001139964758680374	0.9252635317756058
ACSM1	0.48191400139892815	0.0011496705408866764	0.9252635317756058
C15orf59	0.49116833358317985	0.001158474887457994	0.9252635317756058
TBC1D1	0.457960570551702	0.0011769436055437139	0.9252635317756058
AC133965.1	0.4998315694573272	0.001185571621200767	0.9252635317756058
PPIAP26	0.3053877679976236	0.0011974778677351292	0.9252635317756058
CPA2	0.29142453800408213	0.0012089714980216615	0.9252635317756058
TBC1D3P1-DHX40P1	0.4762643143855941	0.001619615291099514	0.9252635317756058
ATP1A4	0.4461682183782364	0.0016918470364060399	0.9252635317756058
GP2	0.34823709900916894	0.0016953128888254892	0.9252635317756058
RFX4	0.44749452336012957	0.0018250264453651191	0.9252635317756058
ACTR8	0.46604478871593147	0.0018622475922072696	0.9252635317756058
RP11-484D2.5	0.4467014110657655	0.0019667620488811365	0.9252635317756058
ATP1B3-AS1	2.047377526475433	0.0021948786657422083	0.9252635317756058
GGTLC4P	0.5037431135273733	0.0021997605699698767	0.9252635317756058
