label	n	n_resp	n_non	or_per_sd	or_lo	or_hi	p	beta	se	converged	gene
CLDN4	108	39	69	0.841315526964575	0.5718060505600373	1.237852966435799	0.38049947302915577	-0.17278850867677223	0.197027553525039	True	CLDN4
TACSTD2	108	39	69	0.8626774120006476	0.5813940100393806	1.28004813315109	0.46314999922250966	-0.14771445615573858	0.20133642276959682	True	TACSTD2
CLDN3	108	39	69	0.8105910081936882	0.5492905360851955	1.1961935249191142	0.29020767922453805	-0.20999165762802774	0.1985424799991811	True	CLDN3
CLDN7	108	39	69	0.9737755466359261	0.6581725550834112	1.4407146088094251	0.894219551545626	-0.026574446828429337	0.19985759765456818	True	CLDN7
EPCAM	108	39	69	0.8147800471671299	0.550417339305092	1.20611484750791	0.30605436153172805	-0.2048370829421724	0.20012684412217724	True	EPCAM
CDH1	108	39	69	1.0118474957024632	0.6826813131393844	1.4997266438290628	0.953220519875105	0.011777863563316325	0.20077154151515667	True	CDH1
CD8A	108	39	69	1.0367852269835987	0.6999399382981564	1.535736922663702	0.8569849144279842	0.03612479784884943	0.20045549356980907	True	CD8A
GZMB	108	39	69	0.9407031873044838	0.6377287167449887	1.3876158676396444	0.7579183058024752	-0.061127611783667796	0.19832746224440276	True	GZMB
PDCD1	108	39	69	1.1279592842708457	0.7528565622526273	1.6899529216640738	0.5593972957835763	0.12041005691983929	0.20627451208931163	True	PDCD1
CD274	108	39	69	1.3001843449671502	0.8351051884317995	2.024271138911399	0.2451613510677204	0.2625060582351644	0.225873357685496	True	CD274
PBRM1	108	39	69	0.840899098372456	0.5636500859734693	1.2545217524847372	0.39588499828875645	-0.17328360436117904	0.20410478649403457	True	PBRM1
ACTB	108	39	69	0.9575497216288306	0.6469703605028075	1.4172233001197463	0.8283318825418575	-0.043377630681499836	0.20004304599574185	True	ACTB
CA9	108	39	69	1.785485735090109	1.0287033139875954	3.0990075241934223	0.039345482980634935	0.5796904987121955	0.28132731641098985	True	CA9
PAX8	108	39	69	0.6089640160304853	0.39796996891179764	0.9318220011273416	0.022294200949616573	-0.49599609999580085	0.21703594295589976	True	PAX8
