sample	n_epithelial	n_TNK	n_T	n_NK	n_total	eligible	mean_CLDN4_epithelial	frac_CLDN4_pos_epithelial
P1	3347	147	127	20	5317	True	1.2112348079681396	0.7520167314012548
P2	268	1	1	0	306	False	2.051734447479248	0.9552238805970149
P3	7107	17	13	4	7835	False	0.9819597601890564	0.5173772337132405
P4	112	304	269	35	4558	True	0.48664361238479614	0.25892857142857145
P5	1456	36	30	6	2454	True	1.0497490167617798	0.7177197802197802
P6	2273	88	68	20	3119	True	2.016552448272705	0.7936647602287725
P7	240	1060	970	90	3059	True	0.9905403256416321	0.5875
P8	422	66	65	1	1342	True	1.9458234310150146	0.9028436018957346
P9	2126	62	52	10	3520	True	1.4679841995239258	0.7836312323612418
P10	2533	70	53	17	3740	True	1.1124194860458374	0.7141729174891434
P11	106	46	39	7	574	True	0.034721460193395615	0.02830188679245283
P12	288	46	29	17	891	True	1.7519652843475342	0.8194444444444444
P13	165	90	83	7	938	True	1.691848635673523	0.8363636363636363
P14	690	31	27	4	1808	True	0.5735201835632324	0.3492753623188406
P15	2053	17	15	2	3606	False	1.295992136001587	0.5606429615197273
P16	940	0	0	0	1148	False	1.729628562927246	0.825531914893617
P17	7322	0	0	0	8700	False	0.6989845037460327	0.48784485113357007
P18	1892	88	71	17	3314	True	1.310255765914917	0.6723044397463002
P19	173	48	28	20	453	True	1.6047793626785278	0.7745664739884393
P20	398	0	0	0	429	False	2.137148141860962	0.914572864321608
P21	1788	12	10	2	1968	False	1.3813295364379883	0.8008948545861297
P22	153	231	178	53	644	True	2.254498243331909	0.8627450980392157
P23	1466	32	25	7	2387	True	0.7032957077026367	0.40791268758526605
P24	88	64	59	5	386	True	1.0395163297653198	0.4772727272727273
P25	3212	2	1	1	4029	False	1.154911756515503	0.5902864259028643
P26	69	82	66	16	570	True	1.7525181770324707	0.6376811594202898
P27	34	87	66	21	707	True	1.5466817617416382	0.5
P28	693	64	57	7	2373	True	1.7190701961517334	0.8181818181818182
P29	337	1	0	1	969	False	0.8943350315093994	0.5875370919881305
P30	563	4	4	0	742	False	0.9693586230278015	0.7175843694493783
P31	339	4	4	0	387	False	1.4660685062408447	0.7433628318584071
P32	381	79	76	3	595	True	2.588397741317749	0.9002624671916011
P33	311	0	0	0	350	False	2.138610363006592	0.9067524115755627
P34	428	14	13	1	972	False	0.989711582660675	0.6448598130841121
P35	673	15	15	0	1079	False	0.9373621344566345	0.5542347696879644
P36	155	3	3	0	500	False	0.8049286603927612	0.432258064516129
P37	16	43	30	13	2486	False	0.06416956335306168	0.0625
P38	179	150	98	52	1358	True	1.4660454988479614	0.8044692737430168
P39	511	227	214	13	1896	True	1.3962640762329102	0.7984344422700587
P40	284	373	289	84	1155	True	1.7053195238113403	0.8028169014084507
P41	5471	3	3	0	6222	False	1.3851574659347534	0.7843173094498264
P42	151	454	419	35	1001	True	0.09973248839378357	0.09271523178807947
