accession	contrast	class_label	organ	method	family	panel	n_in_set	n_observed	n_up	estimand	estimate	median_log2FC	mean_log2FC	aux_mean_log2FC	sign_p_greater	wilcoxon_p_greater	wilcoxon_p_less	ranksum_p_greater	nes	perm_p	stouffer_p	call	cldn4_log2FC	cldn4_down	concordant_hit	note
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5	primary	IFN_ISG	39	17	6	median_log2FC	-0.28109098	-0.28109098	-0.19634809	-0.19634809	0.92826843	0.904953	0.10344696	0.96767774				weak_down	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5+prerank_gsea	pathway	IFN_ISG	39	17		NES	-1.3084833								-1.3084833			not_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Prerank GSEA, 300 gene-set permutations.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5	primary	MHC_APM	18	8	2	median_log2FC	-0.10140571	-0.10140571	0.038018891	0.038018891	0.96484375	0.76953125	0.2734375	0.79607707				weak_down	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5+prerank_gsea	pathway	MHC_APM	18	8		NES	0.89865026								0.89865026	0.31561462		weak_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Prerank GSEA, 300 gene-set permutations.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5	primary	NHEJ_CORE	8	7	3	median_log2FC	-0.045555537	-0.045555537	-0.098268224	-0.098268224	0.7734375	0.8125	0.234375	0.79640932				weak_down	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5+prerank_gsea	pathway	NHEJ_CORE	8	7		NES												not_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Prerank GSEA, 300 gene-set permutations.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5	primary	NHEJ_EXT	16	14	9	median_log2FC	0.10531683	0.10531683	0.011939628	0.011939628	0.2119751	0.35742188	0.6651001	0.43202991				weak_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5+prerank_gsea	pathway	NHEJ_EXT	16	14		NES	-0.54137487								-0.54137487			not_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Prerank GSEA, 300 gene-set permutations.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5	primary	HALLMARK_IFNA	97	55	32	median_log2FC	0.082482823	0.082482823	0.061651313	0.061651313	0.14030486	0.18949804	0.81050196	0.30456678				weak_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE.
GSE207704	MCF-7 KO vs WT	cancer	breast	fpkm_sum_pc0.5_min0.5+prerank_gsea	pathway	HALLMARK_IFNA	97	55		NES	1.0799267								1.0799267	0.16611296		weak_up	-0.72170678	yes	no	Cufflinks condition-mean FPKM. Not a replicate-level DE. Prerank GSEA, 300 gene-set permutations.
