accession	contrast	class_label	organ	method	family	panel	n_in_set	n_observed	n_up	estimand	estimate	median_log2FC	mean_log2FC	aux_mean_log2FC	sign_p_greater	wilcoxon_p_greater	wilcoxon_p_less	ranksum_p_greater	nes	perm_p	stouffer_p	call	cldn4_log2FC	cldn4_down	concordant_hit	note
GSE207704	T47D KO vs WT	cancer	breast	fpkm_max_logfc_pc0.5_min0.5	optimistic	REACTOME_NHEJ	68	28	21	median_log2FC	0.087302922	0.087302922	0.10182083	0.10182083	0.0062704757	0.022559155	0.97869581	0.23795997				up	-1.0385143	yes	yes	Cufflinks condition-mean FPKM. Not a replicate-level DE. Max-locus log2FC is an optimistic isoform/locus rule.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_max_probe	optimistic	NHEJ_EXT	16	12	9	median_log2FC	0.60073333	0.60073333	0.35348611	0.35348611	0.072998047	0.038574219	0.96801758	0.14280003				up	-1.22505	yes	yes	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_max_probe	optimistic	HALLMARK_IFNA	97	70	42	median_log2FC	0.089566667	0.089566667	0.3273519	0.3273519	0.059804668	0.032419713	0.96758029	0.48320844				up	-1.22505	yes	yes	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_max_probe	optimistic	HALLMARK_IFNG	200	154	84	median_log2FC	0.072333333	0.072333333	0.1588355	0.1588355	0.14740676	0.033489969	0.96651003	0.65560732				up	-1.22505	yes	yes	Deposited GEO VALUE, log2(KD/control). Probes collapsed, then mean across arrays kept.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_max_probe+stouffer_t	optimistic	MHC_APM	18	14		stouffer_on_gene_t	0.4533	0.4533	0.75240714	0.75240714							0.0014299371	up	-1.22505	yes	yes	Stouffer combination of one-sided gene t-tests across the three arrays.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_GSM558701	single_array	NHEJ_EXT	16	12	9	median_log2FC	0.3426	0.3426	0.366825	0.366825	0.072998047	0.026123047	0.97875977	0.19060788				up	-1.737	yes	yes	One array only (GSM558701). Median of probes on that array. Not the three-array contrast.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_GSM558701	single_array	HALLMARK_IFNA	97	68	39	median_log2FC	0.34465	0.34465	0.40963824	0.40963824	0.1374952	0.017777675	0.98222232	0.050190451				up	-1.737	yes	yes	One array only (GSM558701). Median of probes on that array. Not the three-array contrast.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_GSM558701	single_array	HALLMARK_IFNG	200	145	92	median_log2FC	0.50835	0.50835	0.51361517	0.51361517	0.00075595551	0.00010414496	0.99989586	0.0010326742				up	-1.737	yes	yes	One array only (GSM558701). Median of probes on that array. Not the three-array contrast.
GSE22493	SKOV-3 KD	cancer	ovary	deposited_median_probe_GSM558701	single_array	REACTOME_NHEJ	68	20	13	median_log2FC	0.27495	0.27495	0.2870775	0.2870775	0.13158798	0.048653603	0.95515251	0.20318022				up	-1.737	yes	yes	One array only (GSM558701). Median of probes on that array. Not the three-array contrast.
GSE50927	baseline KO vs WT	non-cancer	lung	lung_edger_locked_or_scored	locked_baseline	IFN_ISG	39	37	34	median_log2FC	0.44228322	0.44228322	0.7161583	0.7161583	6.165646482259035e-08	5.5442797020077705e-09	0.9999999953433871	7.5221468733804e-12				up	-6.0612962	yes	yes	Locked Claim C4 baseline. Not refit in this sweep.
GSE50927	baseline KO vs WT	non-cancer	lung	lung_edger_locked_or_scored	locked_baseline	MHC_APM	18	16	14	median_log2FC	0.27823705	0.27823705	0.33394172	0.33394172	0.0020904541015625	7.62939453125e-05	0.9999542236328125	7.021945845318241e-05				up	-6.0612962	yes	yes	Locked Claim C4 baseline. Not refit in this sweep.
