source,doi,marker,method,histology,n,n_overexpressed,pct_overexpressed,ici_annotated,patient_level_ipd
Pak 2012 World J Surg Oncol 10:53,10.1186/1477-7819-10-53,TROP2,IHC membrane; total score = proportion(0-4) x intensity(0-3); overexpression >4,adenocarcinoma,100,23,23.0,no,no
Pak 2012 World J Surg Oncol 10:53,10.1186/1477-7819-10-53,TROP2,IHC membrane; total score = proportion(0-4) x intensity(0-3); overexpression >4,squamous cell carcinoma,64,41,64.1,no,no
