accession	contrast	source_file	module	gene	entrez_id	logFC_KO_minus_WT	logCPM	PValue	FDR	direction	fdr_lt_0.05
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifnb1	15977	0	-2.071298111	1	1	zero	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifna1	15962	0	-2.071298111	1	1	zero	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifna2	15965	0	-2.071298111	1	1	zero	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifna4	15967	0	-2.071298111	1	1	zero	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifna5	15968	0	-2.071298111	1	1	zero	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifng	15978	2.444784843	-0.611866493	0.100971434	0.590157829	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifnar1	15975	-0.261075757	7.03067756	0.082709975	0.53602588	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifnar2	15976	0.020300128	6.254007344	0.897457086	1	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Stat1	20846	0.390851313	6.948292617	0.026232231	0.29079192	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Stat2	20847	0.445880011	5.910982493	0.002832605	0.071324478	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Stat3	20848	0.215626884	7.872132449	0.130727097	0.674587456	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Irf1	16362	0.381826817	7.037226346	0.014730324	0.20707363	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Irf3	54131	0.045368535	5.511784656	0.762608164	1	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Irf7	54123	0.227316665	3.975825801	0.329109646	0.983132036	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Irf9	16391	0.388118792	5.738470017	0.009614213	0.160767716	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Isg15	100038882	1.075372735	2.786682884	3.92718E-05	0.003095569	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Isg20	57444	0.24024622	4.576160315	0.221918904	0.849964675	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Mx1	17857	0.626672753	1.371645385	0.11907033	0.648233013	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Mx2	17858	0.236067358	1.951069702	0.543320868	1	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Oas1a	246730	0.762345187	2.608181988	0.014921827	0.208748722	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Oas1b	23961	-0.101283336	2.622188846	0.74727051	1	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Oas1g	23960	1.191986764	1.835592484	0.00071458	0.028169313	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Oas2	246728	1.488747185	2.670168875	0.000017297	0.001526145	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Oas3	246727	1.81579999	1.420554985	1.89353E-05	0.001643963	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Oasl1	231655	1.10744629	1.321019312	0.033653348	0.335645718	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Oasl2	23962	0.542098814	5.242718593	0.000371281	0.017868407	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifit1	15957	0.57577684	4.616952198	0.000719541	0.02824166	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifit2	15958	-0.369023039	5.378882136	0.012872714	0.19255841	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifit3	15959	-0.206965942	6.490944313	0.315638468	0.967196558	down	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifitm1	68713	0.528215404	5.62480006	0.000281624	0.014365759	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifitm2	80876	0.293262885	7.368532773	0.039618678	0.369611412	up	no
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Ifitm3	66141	0.471150083	8.090463632	0.000856338	0.031556571	up	yes
GSE50927	naive_Cldn4_KO_vs_WT	GSE50927_Cldn4lungWTvsKOgenes.csv	IFN	Rsad2	58185	1.198246334	2.615202416	0.016139179	0.218459763	up	no
