program	n_genes	n	coef	se	p	mean_q1	mean_q4
IFN_hallmark	221	34	-0.5843268615202205	0.1759750072508701	0.0024344294684935297	4.533942935617031	3.9125799378150115
MHC_I_APM	21	34	-0.7791349664224808	0.28216697151884335	0.0098832037247188	6.870737949903771	6.100546303903539
TJ_no_CLDN4	191	34	0.058814424806507004	0.0676845454264725	0.39200997024744677	4.15545222056784	4.196905539197703
OXPHOS	184	34	0.03653702515504878	0.07751217882460693	0.6409025258243868	6.124422810216576	6.179268383477831
APICAL_JUNCTION	188	34	-0.11864935564241323	0.10785697751475994	0.2803532771836588	3.6098068271539128	3.462910833905008
gene:NLRC5	1	34	-0.48467263869935073	0.3805202275645469	0.21288036636793914	3.226945729130599	2.7852721304590076
gene:CIITA	1	34	-0.311840528280671	0.38252353920369203	0.42159192352926855	2.492888554235217	2.1346224715075497
gene:STAT1	1	34	-0.991325452635575	0.2733250427950436	0.0010902020152924303	6.468095886766275	5.555738721494867
gene:IRF1	1	34	-0.5772973102762711	0.3124740272991927	0.07489867891149359	6.9338460248464076	6.369414737306574
gene:RFX5	1	34	0.12949593623446518	0.2745313203257339	0.6406719895257019	3.675241215279896	3.8216424319809863
gene:CLDN4	1	34	1.6262687206974302	0.624750644046386	0.014410067217638127	7.628804649648397	9.304213321798485
gene:HLA-A	1	34	-0.7888887971678137	0.4843564793039115	0.11418570595710915	10.332847826744437	9.557503578564898
gene:B2M	1	34	-0.8513860433329157	0.30582868876090086	0.009357395527550987	12.091615004816274	11.195333600799247
gene:TAP1	1	34	-1.5896127571860246	0.4091033587454232	0.0005453159959473607	6.352478785199926	4.878974292118076
gene:TAP2	1	34	-1.5549866492111017	0.39081690379290474	0.0004237453692395107	5.237899627432114	3.769242913976264
