network	n_specs	both_signs	both_nominal_p05	both_fdr05	stacked_nominal
collectri	60	60	47	42	24
dorothea_A	48	43	6	3	3
dorothea_AB	48	36	6	1	2
dorothea_ABC	60	60	6	0	1
dorothea_ABCD	36	8	0	0	0
geneset_unsigned	24	23	3	1	0
