cohort	tf	n_q1	n_q4	coef	se	p	note
GSE123902	STAT1	4	3	-2.1948860125433387	1.8578479136122794	0.2905641702056778	within-cohort TMM+ULM
GSE123902	IRF1	4	3	-1.715665799607967	1.1640482141710993	0.200515182468209	within-cohort TMM+ULM
GSE123902	RFX5	4	3	-0.681164911185672	1.2430784571731799	0.6072802303558392	within-cohort TMM+ULM
GSE123902	GRHL2	4	3	2.241502380621495	1.0406984360795095	0.08383660464218753	within-cohort TMM+ULM
GSE123902	ELF3	4	3	1.6518691634097238	0.7176668950746027	0.06962271556062026	within-cohort TMM+ULM
GSE131907	STAT1	6	5	-0.23838832289217904	1.143412395496525	0.8394895706679696	within-cohort TMM+ULM
GSE131907	IRF1	6	5	-0.2264146697571623	0.9245860728651302	0.8120397511791463	within-cohort TMM+ULM
GSE131907	RFX5	6	5	-0.8663107333953484	1.4338620959696116	0.5606433701929849	within-cohort TMM+ULM
GSE131907	GRHL2	6	5	1.5571156064047946	1.3440873665296496	0.276478512608807	within-cohort TMM+ULM
GSE131907	ELF3	6	5	1.1396527810928334	0.8678519353310945	0.22161180826406637	within-cohort TMM+ULM
GSE205335	STAT1	5	6	-4.618972303794616	1.278706608549743	0.005639729549001669	within-cohort TMM+ULM
GSE205335	IRF1	5	6	-3.188752101267168	0.820352721079394	0.0036915130357362967	within-cohort TMM+ULM
GSE205335	RFX5	5	6	-3.3504763537785287	1.6257474680876522	0.06938082046729106	within-cohort TMM+ULM
GSE205335	GRHL2	5	6	-1.4567597679315711	1.0359518383813118	0.19323791179185418	within-cohort TMM+ULM
GSE205335	ELF3	5	6	-0.8561838670987725	0.9748496477040969	0.4026335851925703	within-cohort TMM+ULM
GSE189357	STAT1	3	2				skipped
GSE189357	IRF1	3	2				skipped
GSE189357	RFX5	3	2				skipped
GSE189357	GRHL2	3	2				skipped
GSE189357	ELF3	3	2				skipped
