method	tf	n_targets	n	n_q1	n_q4	mean_q1	mean_q4	delta	coef	se	t	p	df	n_continuous	coef_continuous	se_continuous	p_continuous	fdr	fdr_continuous	program	expected	note
ulm	ELF3	52	34.0	18.0	16.0	1.425230321647627	1.8096833416163456	0.3844530199687186	0.466607056003532	0.46731994107007124	0.998474524616033	0.3263082350534947	29.0	64.0	0.3464573259268689	0.17006315915027895	0.04612091887822748	0.6133768722208096	0.2229446797700652	junction	none	
ulm	GRHL2	74	34.0	18.0	16.0	3.0446702372595467	3.437551162816058	0.39288092555651133	0.48108421668641826	0.6187779817658744	0.777474685368564	0.44317538688913133	29.0	64.0	0.5122476439838429	0.2049203780287982	0.015229223457040458	0.7035444914849218	0.135934774935161	junction	none	
ulm	IRF1	74	34.0	18.0	16.0	3.1521684117665782	1.6477076672360633	-1.504460744530515	-1.4074081489568142	0.4845084726910131	-2.9048163825493396	0.006963238274203372	29.0	64.0	-0.4220793769360601	0.19774427996653482	0.036969433957602306	0.061061427181166354	0.2097300018614429	IFN	down	
ulm	IRF2	73	34.0	18.0	16.0	4.726435783206962	4.128114626191827	-0.5983211570151346	-0.5472925099876306	0.30747240879777715	-1.7799727530920726	0.08556221266499073	29.0	64.0	-0.15018538927023772	0.12305831367406307	0.2271532672837985	0.2954881065290959	0.4856298715319599	IFN	down	
ulm	IRF3	69	34.0	18.0	16.0	2.748581522517798	2.6369559017956643	-0.11162562072213378	-0.18868859046121228	0.22029781979886276	-0.8565159230059087	0.3987349423185353	29.0	64.0	-0.044519583943483876	0.07724096097353267	0.566555686998968	0.6845333980844218	0.8166036599081412	IFN	down	
ulm	IRF8	8	34.0	18.0	16.0	-0.3879395407819672	-0.4843426313523924	-0.09640309057042523	-0.07638953419222921	0.12056657393184571	-0.6335879979090304	0.531315456645134	29.0	64.0	-0.01778226729067682	0.0507895989567965	0.7274982354069366	0.7713804621278082	0.915229607349141	IFN	down	
ulm	IRF9	45	34.0	18.0	16.0	2.8917132997303714	2.3581227011897488	-0.5335905985406226	-0.5387443651316515	0.3309075805421566	-1.6280810619357122	0.11432513627149452	29.0	64.0	-0.1305153188988159	0.14608823454254755	0.3752724558347052	0.33545666798119805	0.6558693588776794	IFN	down	
ulm	KLF4	48	34.0	18.0	16.0	2.0239672622761633	1.8973621502639633	-0.12660511201220004	-0.09463010216894883	0.2883071435700719	-0.3282266994745809	0.7450984682677428	29.0	64.0	-0.016359374348149575	0.10223452991775533	0.8734134115685274	0.9065852163842446	0.9545292151695152	junction	none	
ulm	RFX5	87	34.0	18.0	16.0	6.385983657456251	4.734759372597074	-1.6512242848591772	-1.388270502275515	0.7468001891781015	-1.8589584234082615	0.0732082071426822	29.0	64.0	-0.1561686066291178	0.2972286536593322	0.6012633568629816	0.26196189784791096	0.8333524719558117	MHC	down	
ulm	STAT1	1062	34.0	18.0	16.0	6.6841184699134235	4.28217749993337	-2.4019409699800534	-2.132404842695616	0.7165422942244289	-2.9759650754512523	0.005838549815132905	29.0	64.0	-0.5370665491162132	0.2946424137830712	0.07340571089298616	0.05798504181516234	0.2831363134443752	IFN	down	
ulm	STAT2	102	34.0	18.0	16.0	5.223908407345505	3.1039657062492902	-2.1199427010962144	-2.168630951275553	0.7026772779142543	-3.086240326018034	0.004429360635524318	29.0	64.0	-0.6916555370392752	0.3014949433596413	0.025362538659233602	0.05798504181516234	0.18372375565347268	IFN	down	
ulm	STAT3	168	34.0	18.0	16.0	6.491693758915702	4.797228759778237	-1.6944649991374652	-1.397902707297308	0.5724591146291865	-2.4419258451370927	0.020941906652071702	29.0	64.0	-0.2671031590823053	0.2491086819041602	0.2879806177599634	0.10723700475284993	0.5780974374109134	context	none	
ulm	TFAP2A	123	34.0	18.0	16.0	2.453084894634904	2.3852394959850614	-0.06784539864984263	0.008543900454411946	0.3382261175997202	0.025260912773517327	0.9800198775654243	29.0	64.0	0.16816782382551387	0.1291985888717617	0.19810488970476334	0.9866640801251899	0.46328466332531265	junction	none	
ulm	TP63	86	34.0	18.0	16.0	0.2126700067269665	0.33694688766135206	0.12427688093438555	0.1487158640031211	0.4683123484927612	0.3175569990450931	0.7530962393269189	29.0	64.0	0.14469055734689412	0.17814078418815701	0.4199271721250945	0.9065852163842446	0.7046235600065145	context	none	
mlm	ELF3	52	34.0	18.0	16.0	-0.3862257148636138	-0.19504512220192122	0.19118059266169257	0.2023916039771936	0.28302761623855005	0.7150948966287717	0.48026822866666147	29.0	64.0	0.15233685532893237	0.10981025631821059	0.17057665242686543	0.7096500692238729	0.400602200759779	junction	none	
mlm	GRHL2	74	34.0	18.0	16.0	1.5560107569878874	1.7879851923064773	0.23197443531858997	0.21156872257279086	0.41707494297665176	0.5072678810739168	0.6158029389138558	29.0	64.0	0.31042616293336145	0.12859427209850674	0.018900248723285426	0.7973301032164709	0.1059127145436938	junction	none	
mlm	IRF1	74	34.0	18.0	16.0	0.34974019481867125	-0.18333614373580714	-0.5330763385544783	-0.5489831618729812	0.28441956607622054	-1.9301877484963932	0.06341574148863444	29.0	64.0	-0.20408045364780575	0.10832664554671347	0.06450407844918492	0.23543094027655537	0.21286345888231023	IFN	down	
