class	program	name	method	coef	se	p	fdr	delta	n_targets	vs_kd	expected	n_genes
TF activity	IFN	STAT1	ulm	-2.132404842695616	0.7165422942244289	0.005838549815132905	0.05798504181516234	-2.4019409699800534	1062.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	STAT1	mlm	-0.8492445985813217	0.3106229868340571	0.010553689812436626	0.07289409009985298	-0.9271632939921004	1062.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	STAT1	viper	-0.4099942573278272	0.2009615921094582	0.050533650814828246	0.2227906929405017	-0.4441982589808644	1062.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	STAT1	wmean	-0.11995550913534268	0.07019946883546203	0.0981748298562472	0.3276171288461283	-0.1418771644650887	1062.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	STAT2	ulm	-2.168630951275553	0.7026772779142543	0.004429360635524318	0.05798504181516234	-2.1199427010962144	102.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	STAT2	mlm	-1.720747997582677	0.5492396798622295	0.003935770425185772	0.049965800233598444	-1.6369417297742492	102.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	STAT2	viper	-0.8664414194897457	0.29452976856788904	0.006355588571830302	0.07260037714744615	-0.8396938712741315	102.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	STAT2	wmean	-0.5078767625010474	0.18824313146240162	0.011505385560193123	0.11162079248081314	-0.49556545293122234	102.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF1	ulm	-1.4074081489568142	0.4845084726910131	0.006963238274203372	0.061061427181166354	-1.504460744530515	74.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF1	mlm	-0.5489831618729812	0.28441956607622054	0.06341574148863444	0.23543094027655537	-0.5330763385544783	74.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF1	viper	-1.062986158329305	0.3479870415860526	0.004795674598721364	0.07196217343479738	-1.1160192390064452	74.0	matches KD (lower in CLDN4-high)	down	
TF activity	IFN	IRF1	wmean	-0.3985651591664646	0.15779807515600414	0.017262715151602832	0.11923317209362887	-0.4287823182556427	74.0	matches KD (lower in CLDN4-high)	down	
