cohort	tf	n_q1	n_q4	coef	se	p	note
GSE123902	STAT1	4	3	-1.9571815553080973	1.795079484423901	0.32531312967023557	
GSE123902	STAT2	4	3	-1.9701641029254648	1.1081206885910766	0.13555536348134847	
GSE123902	IRF1	4	3	-1.4068274408689345	1.049354258546081	0.23771545608712225	
GSE123902	IRF2	4	3	-0.49339206611275555	0.6579960563195695	0.48711222301845564	
GSE123902	IRF3	4	3	-0.21657776875965717	0.6477787543570054	0.7516918459446881	
GSE123902	IRF7	4	3				not scored
GSE123902	IRF8	4	3	-0.3786767910929941	0.2551718812244227	0.19792630314242893	
GSE123902	IRF9	4	3	-0.20792654684212397	0.7116441302618858	0.7818860760052588	
GSE123902	RFX5	4	3	-0.5905820213600124	1.055855077092822	0.6000567027887063	
GSE123902	GRHL2	4	3	2.007214879711299	0.8692098579037518	0.06897254343047944	
GSE123902	ELF3	4	3	1.2074411047299578	0.6329128961225851	0.11471654071913526	
GSE123902	KLF4	4	3	0.36835463025113047	0.5723579979798055	0.5482036552237524	
GSE123902	TFAP2A	4	3	-0.05785583744394662	0.7548891161051936	0.9418810057205247	
GSE123902	STAT3	4	3	-1.4995092115747881	1.1107109101340087	0.23489547830624755	
GSE123902	TP63	4	3	-0.27042523240576954	0.7935166955429964	0.7471120030671777	
GSE131907	STAT1	6	5	-0.10858901621656902	1.0939703886130854	0.9231065139161443	
GSE131907	STAT2	6	5	-0.18533020044296666	1.2817495202493627	0.888219468272195	
GSE131907	IRF1	6	5	-0.16906974183482903	0.8451518065748475	0.8458912708935856	
GSE131907	IRF2	6	5	0.047472713118070775	0.7074990704907508	0.9479696138438267	
GSE131907	IRF3	6	5	-0.21727127303148352	0.36785726940620816	0.5692943257115561	
GSE131907	IRF7	6	5				not scored
GSE131907	IRF8	6	5	0.015037559536674405	0.17398567336653098	0.9330170357536754	
GSE131907	IRF9	6	5	0.38485410194433745	0.6082130583484566	0.5426296230952651	
GSE131907	RFX5	6	5	-0.8053058178944617	1.37171110132427	0.5715806024301431	
GSE131907	GRHL2	6	5	1.5422980700744517	1.295998620331018	0.264472220714788	
GSE131907	ELF3	6	5	1.1620858058649057	0.8441025587663428	0.20187799821221478	
GSE131907	KLF4	6	5	-0.2806874532973969	0.6958471160546732	0.6960874031734322	
GSE131907	TFAP2A	6	5	0.6349054405570959	0.6830414337248747	0.37687384880631547	
GSE131907	STAT3	6	5	-0.06550039894114201	1.1802768228662304	0.9569559377909729	
GSE131907	TP63	6	5	1.5422851842545184	0.9387731362847272	0.13482379057632615	
GSE205335	STAT1	5	6	-4.582267562043274	1.2582919087767526	0.005386979816947093	
GSE205335	STAT2	5	6	-4.9552393294084895	1.169507348759806	0.0021838332082665733	
GSE205335	IRF1	5	6	-3.107037878517527	0.7948278227899834	0.003569798288269885	
GSE205335	IRF2	5	6	-1.4409720660245697	0.33341480183284644	0.0019279203636706397	
GSE205335	IRF3	5	6	-0.5131976864800931	0.28897859159603295	0.10948221449777883	
GSE205335	IRF7	5	6				not scored
GSE205335	IRF8	5	6	0.06247733817565676	0.2839832342755244	0.8307775218682683	
GSE205335	IRF9	5	6	-1.7805158496353635	0.5056588050856224	0.006503374745553691	
GSE205335	RFX5	5	6	-3.288858075164153	1.6032769884255762	0.07046140547119593	
GSE205335	GRHL2	5	6	-1.4467327218996526	1.0266322347443833	0.19237758312750566	
GSE205335	ELF3	5	6	-0.855436848169248	0.9573623121700812	0.3948358215626367	
GSE205335	KLF4	5	6	-0.21723695439279755	0.4432446700511107	0.6357843981899625	
GSE205335	TFAP2A	5	6	-0.5897015015253424	0.5968525061144455	0.34895983183962587	
GSE205335	STAT3	5	6	-2.9754074411015443	0.9400958191558387	0.011457633920577182	
GSE205335	TP63	5	6	-1.0471829541910331	0.8049988078481293	0.22562738757713519	
GSE189357	STAT1	3	2				tail n<3; skipped
GSE189357	STAT2	3	2				tail n<3; skipped
GSE189357	IRF1	3	2				tail n<3; skipped
GSE189357	IRF2	3	2				tail n<3; skipped
GSE189357	IRF3	3	2				tail n<3; skipped
GSE189357	IRF7	3	2				not scored
GSE189357	IRF8	3	2				tail n<3; skipped
GSE189357	IRF9	3	2				tail n<3; skipped
GSE189357	RFX5	3	2				tail n<3; skipped
GSE189357	GRHL2	3	2				tail n<3; skipped
GSE189357	ELF3	3	2				tail n<3; skipped
GSE189357	KLF4	3	2				tail n<3; skipped
GSE189357	TFAP2A	3	2				tail n<3; skipped
GSE189357	STAT3	3	2				tail n<3; skipped
GSE189357	TP63	3	2				tail n<3; skipped
