network	method	feature	n_targets	cutoff	scope	n_low	n_high	n	coef	se	p	note	fdr_within_spec	ifn_vs_thesis	tj_vs_thesis
dorothea_A	ulm	STAT1	280	quartile_locked	stacked	18	16	34	-1.6299598819312928	0.4398198867650896	0.0008832833007660345		0.004416416503830172	match	
dorothea_A	ulm	STAT1	280	quartile_locked	GSE123902	4	3	7	-1.9801889567561421	1.1097386940320637	0.1344354566389449		0.24825717961830363	match	
dorothea_A	ulm	STAT1	280	quartile_locked	GSE131907	6	5	11	-0.5492892959346461	0.7399258411052826	0.4767978898025078		0.7946631496708463	match	
dorothea_A	ulm	STAT1	280	quartile_locked	GSE205335	5	6	11	-3.0523284631599568	0.6931183908478372	0.0017110084548667165		0.008555042274333582	match	
dorothea_A	ulm	STAT1	280	quartile_locked	GSE189357	3	2	5				tail n<3			
dorothea_A	ulm	STAT1	280	quartile_locked	meta_ivw	15	14	3	-1.8992877912067507	0.4602842307169436	3.685872445152782e-05	cohorts=3	0.00018429362225763908	match	
dorothea_A	ulm	STAT1	280	quartile_equal	stacked	15	15	30	-1.4453708987654463	0.4720021838084854	0.005197269709783087		0.025986348548915437	match	
dorothea_A	ulm	STAT1	280	quartile_equal	GSE123902	3	3	6	-1.9708727782663054	1.3263260003147657	0.21147865854411832		0.35246443090686386	match	
dorothea_A	ulm	STAT1	280	quartile_equal	GSE131907	5	5	10	-0.1922281883639333	0.6933115467629754	0.7886094663295192		0.9004555116235974	match	
dorothea_A	ulm	STAT1	280	quartile_equal	GSE205335	5	5	10	-2.8565878176273234	0.729469875706879	0.004443483158637512		0.020915593855726333	match	
dorothea_A	ulm	STAT1	280	quartile_equal	GSE189357	2	2	4				tail n<3			
dorothea_A	ulm	STAT1	280	quartile_equal	meta_ivw	13	13	3	-1.5212846004291807	0.4699398235623759	0.0012071291930893819	cohorts=3	0.003745042670335162	match	
dorothea_A	ulm	STAT1	280	tertile	stacked	21	21	42	-1.203076169746751	0.4331797864267646	0.00855393161199038		0.04276965805995189	match	
dorothea_A	ulm	STAT1	280	tertile	GSE123902	4	4	8	-1.702800964791709	0.9780599259877671	0.13232754946971675		0.33081887367429186	match	
dorothea_A	ulm	STAT1	280	tertile	GSE131907	7	7	14	-0.44212647763341867	0.7601626091737894	0.5715863627512277		0.9526439379187127	match	
dorothea_A	ulm	STAT1	280	tertile	GSE205335	7	7	14	-2.1484716188783683	0.8314664419649945	0.02392286051019652		0.03987143418366087	match	
