contrast	term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	fdr
S1_published_log2_ratio	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.47825614376305114	1.4454494777695956	0.02097902097902098	21	0.06285714285714285	PSMB10,TAPBPL,PSMB9,IRF1,CALR,HLA-B,PSMB8,HLA-C,HLA-A,HLA-F,B2M	11	0.02097902097902098
S1_published_log2_ratio	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.506170348718705	2.0885957871910463	0.000999000999000999	97	0.06618556701030928	BST2,ISG20,IFITM2,RTP4,NCOA7,IL15,IRF7,IFITM3,ISG15,IFI30,CD47,CASP1,BATF2,CD74,IFI35,PSMB9,OAS1,IRF1,TXNIP,OGFR,CSF1,PSME2,USP18,HERC6,CXCL11	48	0.001332001332001332
S1_published_log2_ratio	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.34644738345647447	1.5747525914479836	0.000999000999000999	200	0.029050000000000003	IDO1,TNFSF10,SECTM1,SOCS3,IL6,TNFAIP2,IL15RA,VAMP8,BST2,BPGM,PSMB10,ISG20,IFITM2,RTP4,IL15,IRF7,IFITM3,NFKBIA,SRI,ISG15,IFI30,CASP1,BATF2,IRF5,CD74	82	0.001332001332001332
S1_published_log2_ratio	KEGG_TIGHT_JUNCTION	0.3453108326484112	1.5346087232187882	0.000999000999000999	167	0.022994011976047914	CLDN22,CLDN4,CLDN3,CLDN9,CLDN16,CRB3,CLDN10,TJP3,CLDN7,TUBA4A,JUN,CLDN8,MICALL2,MARVELD3,MYH14,CGN,CLDN6,CLDN1,CLDN23,ARPC1B,MYL12A,LLGL2,CD1A,MYL12B,CCND1	39	0.001332001332001332
Xena_TCGA_OV_Welch_t	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.6012010841658727	2.02617988117234	0.001998001998001998	21	0.9396908665256889	PSMB10,CALR,TAPBPL,IRF1,PSMB9,PSMB8,HLA-B,HLA-C,HLA-A,B2M,HLA-F,TAPBP,TAP2,HLA-E	14	0.001998001998001998
Xena_TCGA_OV_Welch_t	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5697227287673485	2.6941355420340547	0.000999000999000999	92	0.7909175701215936	OGFR,IFITM3,CD47,NCOA7,BST2,IFI35,NMI,PSME2,ISG20,IRF2,IRF1,CASP8,IFI30,IFITM2,RTP4,CASP1,CD74,IRF7,PSME1,BATF2,PSMB9,USP18,PSMB8,IL15,TRIM21	58	0.001332001332001332
Xena_TCGA_OV_Welch_t	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.40922048513715176	2.1534779233643726	0.000999000999000999	196	0.4547338966231612	BPGM,VAMP8,SRI,SOCS3,PSMB10,OGFR,IL15RA,TNFAIP2,TNFSF10,NFKBIA,MVP,SECTM1,IFITM3,IRF5,VAMP5,BST2,IDO1,IFI35,NMI,PSMA2,PSME2,RBCK1,ISG20,IRF2,IRF1	90	0.001332001332001332
Xena_TCGA_OV_Welch_t	KEGG_TIGHT_JUNCTION	0.32610008437985427	1.6846503328002544	0.000999000999000999	163	0.16150240358301574	CLDN4,CLDN3,CRB3,JUN,CLDN7,MYL12A,CGN,CLDN22,TJP3,MARVELD3,MICALL2,CLDN9,MYL12B,TUBA4A,ARPC1B,MYH14,ARPC4,RAC1,F11R,ARPC1A,ACTB,TJP2,LLGL2,CLDN23,MYL6	32	0.001332001332001332
Xena_TCGA_OV_Spearman	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.6762854498490793	2.256638383951319	0.000999000999000999	21	0.0793343806094626	PSMB10,TAPBPL,IRF1,PSMB8,CALR,HLA-A,PSMB9,HLA-C,HLA-B,HLA-F,HLA-E,B2M,TAPBP,TAP2,TAP1,HLA-G	16	0.000999000999000999
Xena_TCGA_OV_Spearman	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5593273152757763	2.6127879640118516	0.000999000999000999	92	0.04957643368306654	OGFR,IFITM3,CD74,BST2,IRF1,RTP4,CD47,IRF2,NCOA7,CASP1,PSME2,CSF1,PSMB8,PSME1,IFITM2,IFI30,LY6E,CASP8,NMI,ISG20,PSMB9,HLA-C,BATF2,IFITM1,LGALS3BP	47	0.000999000999000999
Xena_TCGA_OV_Spearman	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.4340931884039927	2.253528083537958	0.000999000999000999	196	0.03462752092817582	VAMP8,BPGM,MVP,PSMB10,SRI,SOCS3,TNFAIP2,OGFR,IFITM3,CD74,IRF5,BST2,IDO1,IRF1,RTP4,IL15RA,SECTM1,VAMP5,NFKBIA,TNFSF10,IRF2,HLA-DRB1,CASP1,PSME2,CASP4	75	0.000999000999000999
Xena_TCGA_OV_Spearman	KEGG_TIGHT_JUNCTION	0.36900431171415454	1.8841336226232492	0.000999000999000999	163	0.01727091689402657	CLDN4,CLDN3,JUN,CLDN22,CRB3,CLDN7,CLDN9,CGN,MYH14,TJP3,MICALL2,ARPC1B,ACTB,CLDN16,MYL6,MYL12A,LLGL2,MARVELD3,VASP,ARPC4,ERBB2,EZR,RAC1,TJP2,ARPC1A	30	0.000999000999000999
