set	n_in_table	n_q_lt_0.05	n_higher_in_cldn4_high	n_higher_in_cldn4_low	median_log2_high_over_low_all_in_set
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	7	4	3	0.04
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	1	0	1	0.08
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	21	1	1	0	0.09
KEGG_TIGHT_JUNCTION	167	24	18	6	-0.01
