cohort	gene	present	n	spearman_rho_vs_CLDN4	spearman_p
all30	ADAR	1	12	0.4055944055944056	0.19083587400450036
all30	APOL6	0	0		
all30	ARID5B	1	10	0.5757575757575757	0.08155281477260244
all30	ARL4A	1	3		
all30	AUTS2	0	0		
all30	B2M	1	12	0.3076923076923077	0.33058925941210965
all30	BANK1	1	7	-0.5357142857142858	0.21521745567801298
all30	BATF2	0	0		
all30	BPGM	1	11	-0.10909090909090911	0.7495085962341481
all30	BST2	1	11	-0.5363636363636364	0.08895341813596268
all30	BTG1	0	0		
all30	C1R	1	2		
all30	C1S	1	8	0.30952380952380953	0.4556448907375822
all30	CALR	1	12	0.1258741258741259	0.696683109395766
all30	CANX	1	12	-0.2657342657342658	0.4038330883147116
all30	CASP1	1	11	-0.06363636363636364	0.8525390725425217
all30	CASP3	1	12	-0.5524475524475525	0.06251148327961523
all30	CASP4	1	12	-0.22377622377622378	0.4844516614553987
all30	CASP7	1	12	-0.08391608391608392	0.7954145018538978
all30	CASP8	1	12	0.5034965034965035	0.09515736659412467
all30	CCL2	0	0		
all30	CCL5	0	0		
all30	CCL7	0	0		
all30	CD274	1	2		
all30	CD38	1	0		
all30	CD40	1	8	0.4285714285714286	0.2894032248467901
all30	CD69	0	0		
all30	CD74	1	5	0.39999999999999997	0.5046315754686912
all30	CD86	0	0		
all30	CDKN1A	1	6	0.2571428571428572	0.6227871720116619
all30	CFB	1	10	-0.006060606060606061	0.9867429111949892
all30	CFH	1	7	-0.07142857142857144	0.879048193148154
all30	CIITA	0	0		
all30	CLDN3	1	12	-0.04895104895104895	0.8799185788786748
all30	CLDN4	1	12	1.0	0.0
all30	CLDN7	1	6	-0.2	0.7040000000000001
all30	CMKLR1	0	0		
all30	CMPK2	1	7	-0.1785714285714286	0.7016579425162727
all30	CMTR1	0	0		
all30	CSF2RB	0	0		
all30	CXCL10	1	1		
all30	CXCL11	1	0		
all30	CXCL9	0	0		
all30	DDX58	1	12	-0.04195804195804196	0.8969858708195542
all30	DDX60	1	12	-0.16783216783216784	0.6020994277865379
all30	DHX58	1	1		
all30	EIF2AK2	1	12	0.2027972027972028	0.5273023541661079
all30	EIF4E3	1	1		
all30	EPSTI1	1	3		
all30	ERAP1	1	12	-0.02097902097902098	0.9484022252365222
all30	ERAP2	1	10	0.43030303030303024	0.21449233253280775
all30	FAS	1	12	-0.32867132867132864	0.2969041156887641
all30	FCGR1A	1	0		
all30	FGL2	1	6	-0.2571428571428572	0.6227871720116619
all30	FPR1	1	0		
all30	GBP4	1	9	0.11666666666666665	0.765007942926146
all30	GBP6	1	12	0.1328671328671329	0.6805975082860817
all30	GCH1	1	2		
all30	GPR18	0	0		
all30	GZMA	0	0		
all30	HELZ2	1	12	0.1258741258741259	0.696683109395766
all30	HERC6	1	0		
all30	HIF1A	0	0		
all30	HLA-A	1	12	0.4545454545454546	0.13765791634772948
all30	HLA-B	1	12	-0.4265734265734266	0.16669998762494498
all30	HLA-C	1	12	0.08391608391608392	0.7954145018538978
all30	HLA-DMA	1	2		
all30	HLA-DQA1	1	3		
all30	HLA-DRB1	1	6	-0.08571428571428573	0.8717434402332361
all30	HLA-E	1	8	-0.11904761904761905	0.7788857260523796
all30	HLA-F	1	4		
all30	HLA-G	1	10	0.22424242424242422	0.5334005612725947
all30	ICAM1	1	12	-0.006993006993006993	0.9827917689028476
all30	IDO1	1	3		
all30	IFI27	1	2		
all30	IFI30	1	12	-0.1398601398601399	0.6646331617926677
all30	IFI35	1	12	0.055944055944055944	0.8628980736949713
all30	IFI44	1	6	-0.08571428571428573	0.8717434402332361
all30	IFI44L	1	1		
all30	IFI6	1	1		
all30	IFIH1	1	12	0.3636363636363637	0.24526500073077723
all30	IFIT1	1	12	0.2027972027972028	0.5273023541661079
all30	IFIT2	1	12	0.04195804195804196	0.8969858708195542
all30	IFIT3	1	11	0.05454545454545456	0.8734465775233149
all30	IFITM2	1	11	0.5181818181818182	0.1024915397909638
all30	IFITM3	1	11	0.5818181818181819	0.06041989621564838
all30	IFNAR2	0	0		
all30	IL10RA	0	0		
all30	IL15	0	0		
all30	IL15RA	0	0		
all30	IL18BP	0	0		
all30	IL2RB	0	0		
all30	IL4R	0	0		
all30	IL6	1	0		
all30	IL7	0	0		
all30	IRF1	0	0		
all30	IRF2	1	6	-0.7142857142857143	0.11078717201166179
all30	IRF4	0	0		
all30	IRF5	1	4		
all30	IRF7	1	0		
all30	IRF8	0	0		
all30	IRF9	1	12	0.034965034965034975	0.9140933424107599
all30	ISG15	1	12	0.35664335664335667	0.2551377517589572
all30	ISG20	1	11	0.11818181818181818	0.7292847795197801
all30	ISOC1	1	12	0.30069930069930073	0.34225952894002437
all30	ITGB7	0	0		
all30	JAK2	0	0		
all30	KLRK1	0	0		
all30	LAP3	1	12	-0.18181818181818185	0.5717012385276553
all30	LATS2	0	0		
all30	LCP2	1	0		
all30	LGALS3BP	1	12	0.2937062937062937	0.3541476412329215
all30	LY6E	1	1		
all30	LYSMD2	1	12	0.027972027972027972	0.9312343512018807
all30	MARCHF1	0	0		
all30	METTL7B	1	10	-0.0303030303030303	0.9337729580941466
all30	MT2A	1	11	0.03636363636363637	0.9154683168905347
all30	MTHFD2	1	12	-0.18181818181818185	0.5717012385276553
all30	MVP	1	12	0.2027972027972028	0.5273023541661079
all30	MX1	1	12	0.2517482517482518	0.4299187850328841
all30	MX2	1	7	-0.03571428571428572	0.9394082054712856
all30	MYD88	1	12	0.0979020979020979	0.7621216559962992
all30	NAMPT	1	12	-0.10489510489510491	0.7456094809807079
all30	NCOA3	1	12	0.1958041958041958	0.5419358857313173
all30	NFKB1	1	12	0.1188811188811189	0.712884219214772
all30	NFKBIA	1	8	-0.261904761904762	0.530922861565801
all30	NLRC5	0	0		
all30	NMI	1	12	-0.04895104895104895	0.8799185788786748
all30	NOD1	0	0		
all30	NUP93	1	12	-0.5174825174825175	0.08486877113393476
all30	OAS2	1	10	-0.11515151515151514	0.7514196523258485
all30	OAS3	1	12	0.21678321678321683	0.49855598552418845
all30	OASL	1	11	0.43636363636363645	0.17966487658001118
all30	OGFR	1	12	0.37762237762237766	0.22620604493502647
all30	P2RY14	0	0		
all30	PARP12	1	12	0.34965034965034975	0.26523878689278996
all30	PARP14	1	12	0.4265734265734266	0.16669998762494498
all30	PDE4B	0	0		
all30	PDIA3	1	12	0.3916083916083916	0.20806346369535322
all30	PELI1	0	0		
all30	PFKP	1	12	0.1188811188811189	0.712884219214772
all30	PIM1	0	0		
all30	PLA2G4A	1	12	0.1188811188811189	0.712884219214772
all30	PLSCR1	1	12	-0.1258741258741259	0.696683109395766
all30	PML	1	12	0.43356643356643365	0.15910576941219534
all30	PNP	1	12	-0.02097902097902098	0.9484022252365222
all30	PNPT1	1	12	0.2517482517482518	0.4299187850328841
all30	PSMA2	1	12	-0.06993006993006995	0.8290236405313092
all30	PSMA3	1	12	0.006993006993006993	0.9827917689028476
all30	PSMB10	1	12	0.4685314685314686	0.12445479118883407
all30	PSMB2	1	12	-0.39860139860139865	0.19933549461780897
all30	PSMB8	1	12	0.5244755244755246	0.08001937592027474
all30	PSMB9	1	12	0.31468531468531474	0.3191387855033045
all30	PSME1	1	12	0.17482517482517487	0.5868236643627043
all30	PSME2	1	12	0.2447552447552448	0.44326193645018325
all30	PTGS2	1	6	-0.7142857142857143	0.11078717201166179
all30	PTPN1	1	12	0.25874125874125875	0.41677476889913817
all30	PTPN2	1	12	0.1398601398601399	0.6646331617926677
all30	PTPN6	1	12	0.034965034965034975	0.9140933424107599
all30	RAPGEF6	1	12	0.39860139860139865	0.19933549461780897
all30	RBCK1	1	11	-0.08181818181818183	0.8109903943000459
all30	RIPK1	1	12	0.5314685314685316	0.07536233505348361
all30	RIPK2	1	12	-0.013986013986013986	0.9655902689187796
all30	RNF213	1	12	0.5664335664335665	0.054842119775407906
all30	RNF31	1	12	0.5244755244755246	0.08001937592027474
all30	RSAD2	1	7	0.4642857142857144	0.29393410760025196
all30	RTP4	1	0		
all30	SAMD9L	1	10	-0.07878787878787878	0.8287173946974606
all30	SAMHD1	1	12	0.4055944055944056	0.19083587400450036
all30	SECTM1	1	0		
all30	SELP	0	0		
all30	SERPING1	1	7	-0.1785714285714286	0.7016579425162727
all30	SLAMF7	0	0		
all30	SLC25A28	0	0		
all30	SOCS1	0	0		
all30	SOCS3	0	0		
all30	SOD2	1	12	0.2937062937062937	0.3541476412329215
all30	SP110	1	6	-0.08571428571428573	0.8717434402332361
all30	SPPL2A	1	9	0.25	0.5164895523012261
all30	SRI	1	12	0.2027972027972028	0.5273023541661079
all30	SSPN	0	0		
all30	ST3GAL5	1	2		
all30	ST8SIA4	0	0		
all30	STAT1	1	12	0.43356643356643365	0.15910576941219534
all30	STAT2	1	12	0.16083916083916086	0.6175234895401425
all30	STAT3	1	12	-0.27272727272727276	0.39109677094189615
all30	STAT4	1	10	0.12727272727272726	0.7260570147627894
all30	TAP1	1	12	0.3846153846153847	0.21702022575997731
all30	TAP2	1	12	0.2867132867132868	0.36625146058358227
all30	TAPBP	1	12	0.34965034965034975	0.26523878689278996
all30	TAPBPL	1	7	0.6071428571428572	0.14823116148116164
all30	TDRD7	1	12	-0.055944055944055944	0.8628980736949713
all30	TNFAIP2	1	12	0.31468531468531474	0.3191387855033045
all30	TNFAIP3	1	7	0.14285714285714288	0.7599453002180927
all30	TNFAIP6	0	0		
all30	TNFSF10	1	0		
all30	TOR1B	1	11	0.20000000000000004	0.5554454421055853
all30	TP53BP1	1	12	0.49650349650349657	0.10060263183225476
all30	TRAFD1	1	12	-0.04895104895104895	0.8799185788786748
all30	TRIM14	1	0		
all30	TRIM21	1	12	0.49650349650349657	0.10060263183225476
all30	TRIM25	1	12	0.3076923076923077	0.33058925941210965
all30	TRIM26	1	12	-0.2517482517482518	0.4299187850328841
all30	TXNIP	1	10	-0.06666666666666665	0.8548130882487427
all30	UBE2L6	1	12	0.006993006993006993	0.9827917689028476
all30	UPP1	1	12	0.1958041958041958	0.5419358857313173
all30	USP18	1	3		
all30	VAMP5	1	10	0.5151515151515151	0.1275528697032343
all30	VAMP8	1	12	0.1258741258741259	0.696683109395766
all30	VCAM1	1	8	-0.04761904761904763	0.9108491685195836
all30	WARS1	0	0		
all30	XAF1	1	1		
all30	XCL1	0	0		
all30	XRCC1	1	12	-0.4825174825174825	0.11210929146889187
all30	ZBP1	1	2		
all30	ZNFX1	1	11	0.10000000000000002	0.7698749998921367
ovca26	ADAR	1	11	0.2545454545454546	0.45003657688882837
ovca26	APOL6	0	0		
ovca26	ARID5B	1	9	0.48333333333333334	0.18746985521554216
ovca26	ARL4A	1	3		
ovca26	AUTS2	0	0		
ovca26	B2M	1	11	0.21818181818181823	0.5192482475549817
ovca26	BANK1	1	6	-0.5428571428571429	0.26570262390670546
ovca26	BATF2	0	0		
ovca26	BPGM	1	10	-0.32121212121212117	0.36546831043867045
ovca26	BST2	1	10	-0.6848484848484848	0.028882797506732765
ovca26	BTG1	0	0		
ovca26	C1R	1	2		
ovca26	C1S	1	8	0.30952380952380953	0.4556448907375822
ovca26	CALR	1	11	-0.10000000000000002	0.7698749998921367
ovca26	CANX	1	11	-0.4000000000000001	0.22286835013352
ovca26	CASP1	1	10	0.17575757575757575	0.6271883447764846
ovca26	CASP3	1	11	-0.6000000000000001	0.05100326070695074
ovca26	CASP4	1	11	-0.02727272727272728	0.9365584481926121
