cell_line	CLDN4_log2_LFQ	ovca_line
ME180C13	23.69763	False
IGROV1	25.16864	True
IGROV1CP	22.78103	True
JHOS4	24.85028	True
KURAMOCHI	24.74617	True
OVCA433	25.03124	True
OVCAR5	25.51842	True
OVSAHO	25.26599	True
PEO1	24.34293	True
PEO4	25.28662	True
SKOV3IP1	25.67745	True
SNU119	24.01044	True
