group	n_cells	n_samples	n_patients	origins	mean_CLDN4_log1p_cp10k
Mal_high	8262	19	19	mBrain,mLN,tL/B	2.5993540287017822
Mal_low	8262	21	21	mBrain,mLN,tL/B	0.6204332113265991
TNK	15150	21	21	mBrain,mLN,tL/B	0.07232748717069626
