group	n_cells	n_samples	n_patients	origins	mean_CLDN4_log1p_cp10k
Mal_high	10379	30	30	mBrain,mLN,tL/B,tLung	2.566923141479492
Mal_low	10379	32	32	mBrain,mLN,tL/B,tLung	0.6353899836540222
TNK	34741	32	32	mBrain,mLN,tL/B,tLung	0.05923038721084595
