group	top_sample	top_n	top_frac	top_origin
Mal_high	LUNG_T34	672	0.31728045325779036	tLung
Mal_low	LUNG_T34	834	0.3937677053824363	tLung
TNK	LUNG_T31	3713	0.1895258026644888	tLung
