interaction_name	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	direction	partner	prob_high	prob_low	pval_high	pval_low	sig_high	sig_low	delta_prob	ligand_mean_high	ligand_mean_low	receptor_mean_partner	ligand_prop_high	ligand_prop_low	receptor_prop_partner	n_high	n_low	n_partner	ligand_class	sig_either	sig_diff
TGFB1_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB1	TGFbR1_R2	TGFB1	TGFBR2|TGFBR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.1433531790971756	0.0931311622262001	0.0	0.3271954655647278	0.24079319834709167	0.023429125547409058	2118	2118	19591	inhibitory	False	False
TGFB2_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB2	TGFbR1_R2	TGFB2	TGFBR2|TGFBR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.006320267915725708	0.0	0.0	0.12134088575839996	0.07601510733366013	0.023429125547409058	2118	2118	19591	inhibitory	False	False
TGFB3_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB3	TGFbR1_R2	TGFB3	TGFBR2|TGFBR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.0	0.0	0.0	0.01605287939310074	0.007554296404123306	0.023429125547409058	2118	2118	19591	inhibitory	False	False
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.1433531790971756	0.0931311622262001	0.0	0.3271954655647278	0.24079319834709167	0.005614823196083307	2118	2118	19591	inhibitory	False	False
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.1433531790971756	0.0931311622262001	0.0	0.3271954655647278	0.24079319834709167	0.003624113043770194	2118	2118	19591	inhibitory	False	False
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.006320267915725708	0.0	0.0	0.12134088575839996	0.07601510733366013	0.005614823196083307	2118	2118	19591	inhibitory	False	False
TGFB2_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1C_TGFbR2	TGFB2	TGFBR2|ACVR1C	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.006320267915725708	0.0	0.0	0.12134088575839996	0.07601510733366013	0.003624113043770194	2118	2118	19591	inhibitory	False	False
TGFB3_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1B_TGFbR2	TGFB3	TGFBR2|ACVR1B	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.0	0.0	0.0	0.01605287939310074	0.007554296404123306	0.005614823196083307	2118	2118	19591	inhibitory	False	False
TGFB3_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1C_TGFbR2	TGFB3	TGFBR2|ACVR1C	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.0	0.0	0.0	0.01605287939310074	0.007554296404123306	0.003624113043770194	2118	2118	19591	inhibitory	False	False
TGFB1_ACVR1_TGFBR1	TGFb	Secreted Signaling	TGFB1	ACVR1_TGFbR	TGFB1	TGFBR2|ACVR1|TGFBR1	outgoing	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.1433531790971756	0.0931311622262001	0.0	0.3271954655647278	0.24079319834709167	0.012301567010581493	2118	2118	19591	inhibitory	False	False
