group	top_sample	top_n	top_frac	top_origin
Mal_high	EBUS_28	2847	0.27430388284035073	tL/B
Mal_low	NS_07	1354	0.13045572791213025	mBrain
TNK	LUNG_T31	3713	0.10687660113410667	tLung
