group	top_sample	top_n	top_frac	top_origin
Mal_high	EBUS_28	2777	0.3361171629145485	tL/B
Mal_low	NS_07	1373	0.16618252239167272	mBrain
TNK	NS_13	1780	0.11749174917491749	mBrain
