group	n_cells	n_samples	n_patients	origins	mean_CLDN4_log1p_cp10k
Mal_high	2118	11	11	tLung	2.4314653873443604
Mal_low	2118	11	11	tLung	0.6949806809425354
TNK	19591	11	11	tLung	0.049102213233709335
