interaction_name	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	direction	partner	prob_high	prob_low	pval_high	pval_low	sig_high	sig_low	delta_prob	ligand_mean_high	ligand_mean_low	receptor_mean_partner	ligand_prop_high	ligand_prop_low	receptor_prop_partner	n_high	n_low	n_partner	ligand_class	sig_either	sig_diff
TGFB1_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB1	TGFbR1_R2	TGFB1	TGFBR2|TGFBR1	incoming	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.14606527984142303	0.14606527984142303	0.0	0.1971617192029953	0.1971617192029953	0.09210845082998276	8262	8262	15150	inhibitory	False	False
TGFB2_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB2	TGFbR1_R2	TGFB2	TGFBR2|TGFBR1	incoming	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.0	0.0	0.0	0.0005940594128333032	0.0005940594128333032	0.09210845082998276	8262	8262	15150	inhibitory	False	False
TGFB3_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB3	TGFbR1_R2	TGFB3	TGFBR2|TGFBR1	incoming	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.0	0.0	0.0	0.0019801980815827847	0.0019801980815827847	0.09210845082998276	8262	8262	15150	inhibitory	False	False
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	incoming	TNK	0.0033668041238563732	0.011002224777741085	1.0	0.009900990099009901	False	True	-0.0076354206538847115	0.14606527984142303	0.14606527984142303	0.011563931518932844	0.1971617192029953	0.1971617192029953	0.11014281958341599	8262	8262	15150	inhibitory	True	True
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	incoming	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.14606527984142303	0.14606527984142303	0.0	0.1971617192029953	0.1971617192029953	0.0119825704023242	8262	8262	15150	inhibitory	False	False
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	incoming	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.0	0.0	0.011563931518932844	0.0005940594128333032	0.0005940594128333032	0.11014281958341599	8262	8262	15150	inhibitory	False	False
TGFB2_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1C_TGFbR2	TGFB2	TGFBR2|ACVR1C	incoming	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.0	0.0	0.0	0.0005940594128333032	0.0005940594128333032	0.0119825704023242	8262	8262	15150	inhibitory	False	False
TGFB3_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1B_TGFbR2	TGFB3	TGFBR2|ACVR1B	incoming	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.0	0.0	0.011563931518932844	0.0019801980815827847	0.0019801980815827847	0.11014281958341599	8262	8262	15150	inhibitory	False	False
TGFB3_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1C_TGFbR2	TGFB3	TGFBR2|ACVR1C	incoming	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.0	0.0	0.0	0.0019801980815827847	0.0019801980815827847	0.0119825704023242	8262	8262	15150	inhibitory	False	False
TGFB1_ACVR1_TGFBR1	TGFb	Secreted Signaling	TGFB1	ACVR1_TGFbR	TGFB1	TGFBR2|ACVR1|TGFBR1	incoming	TNK	0.0	0.0	1.0	1.0	False	False	0.0	0.14606527984142303	0.14606527984142303	0.0	0.1971617192029953	0.1971617192029953	0.09210845082998276	8262	8262	15150	inhibitory	False	False
