sample	response	n_epithelial	n_TNK	n_total	mean_CLDN4_epithelial	frac_CLDN4_pos_epithelial
BD_immune02	NMPR	107	2899	5345	1.9163539409637451	0.8504672897196262
BD_immune03	MPR	804	5060	9259	1.0828747749328613	0.7960199004975125
BD_immune04	NMPR	145	5616	8398	1.4964123964309692	0.7931034482758621
BD_immune06	MPR	64	2924	4649	1.5623774528503418	0.9375
BD_immune07	NMPR	5121	1087	9131	1.6801241636276245	0.942979886740871
BD_immune09	NMPR	271	3283	4849	1.7184779644012451	0.8597785977859779
BD_immune10	NMPR	208	4080	6643	1.049410343170166	0.625
BD_immune11	MPR	439	1690	3759	1.8974274396896362	0.9772209567198178
BD_immune12	NMPR	482	1386	6233	0.8651391863822937	0.6016597510373444
BD_immune13	NMPR	35	1347	6753	1.657923698425293	0.9428571428571428
BD_immune14	MPR	186	2863	5546	1.4671915769577026	0.8494623655913979
BD_immune15	NMPR	545	1525	8086	1.4553238153457642	0.8660550458715597
