group	n_cells	n_samples	n_MPR_samples	n_NMPR_samples	mean_CLDN4_log1p_cp10k
Mal_high	2305	8	0	8	2.5248758792877197
Mal_low	2305	8	0	8	0.6164723038673401
TNK	21223	8	0	8	0.025412095710635185
