group	n_cells	n_samples	n_MPR_samples	n_NMPR_samples	mean_CLDN4_log1p_cp10k
Mal_high	2803	12	4	8	2.4747889041900635
Mal_low	2803	12	4	8	0.5878692269325256
TNK	33760	12	4	8	0.02194030210375786
