group	n_cells	n_samples	n_MPR_samples	n_NMPR_samples	mean_CLDN4_log1p_cp10k
Mal_high_MPR	395	4	4	0	2.3168609142303467
Mal_high_NMPR	2408	8	0	8	2.50069522857666
Mal_low_MPR	575	4	4	0	0.5603335499763489
Mal_low_NMPR	2228	8	0	8	0.5949755311012268
TNK_MPR	12537	4	4	0	0.016063151881098747
TNK_NMPR	21223	8	0	8	0.025412095710635185
