interaction_name	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	direction	partner	prob_high	prob_low	pval_high	pval_low	sig_high	sig_low	delta_prob	ligand_class	sig_either	sig_diff	contrast
TGFB1_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB1	TGFbR1_R2	TGFB1	TGFBR2|TGFBR1	outgoing	TNK_NMPR	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	out_NMPR
TGFB2_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB2	TGFbR1_R2	TGFB2	TGFBR2|TGFBR1	outgoing	TNK_NMPR	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	out_NMPR
TGFB3_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB3	TGFbR1_R2	TGFB3	TGFBR2|TGFBR1	outgoing	TNK_NMPR	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	out_NMPR
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	outgoing	TNK_NMPR	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	out_NMPR
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	outgoing	TNK_NMPR	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	out_NMPR
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	outgoing	TNK_NMPR	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	out_NMPR
TGFB2_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1C_TGFbR2	TGFB2	TGFBR2|ACVR1C	outgoing	TNK_NMPR	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	out_NMPR
TGFB3_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1B_TGFbR2	TGFB3	TGFBR2|ACVR1B	outgoing	TNK_NMPR	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	out_NMPR
TGFB3_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1C_TGFbR2	TGFB3	TGFBR2|ACVR1C	outgoing	TNK_NMPR	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	out_NMPR
TGFB1_ACVR1_TGFBR1	TGFb	Secreted Signaling	TGFB1	ACVR1_TGFbR	TGFB1	TGFBR2|ACVR1|TGFBR1	outgoing	TNK_NMPR	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	out_NMPR
