interaction_name	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	direction	partner	prob_high	prob_low	pval_high	pval_low	sig_high	sig_low	delta_prob	ligand_class	sig_either	sig_diff	contrast
TGFB1_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB1	TGFbR1_R2	TGFB1	TGFBR2|TGFBR1	incoming	TNK	0.0	0.002550155467772358	1.0	0.009900990099009901	False	True	-0.002550155467772358	inhibitory	True	True	incoming
TGFB2_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB2	TGFbR1_R2	TGFB2	TGFBR2|TGFBR1	incoming	TNK	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	incoming
TGFB3_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB3	TGFbR1_R2	TGFB3	TGFBR2|TGFBR1	incoming	TNK	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	incoming
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	incoming	TNK	0.0	0.0050084773073743	1.0	0.019801980198019802	False	True	-0.0050084773073743	inhibitory	True	True	incoming
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	incoming	TNK	0.0	0.0010665881051896684	1.0	0.039603960396039604	False	True	-0.0010665881051896684	inhibitory	True	True	incoming
TGFB2_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1B_TGFbR2	TGFB2	TGFBR2|ACVR1B	incoming	TNK	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	incoming
TGFB2_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB2	ACVR1C_TGFbR2	TGFB2	TGFBR2|ACVR1C	incoming	TNK	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	incoming
TGFB3_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1B_TGFbR2	TGFB3	TGFBR2|ACVR1B	incoming	TNK	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	incoming
TGFB3_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB3	ACVR1C_TGFbR2	TGFB3	TGFBR2|ACVR1C	incoming	TNK	0.0	0.0	1.0	1.0	False	False	0.0	inhibitory	False	False	incoming
TGFB1_ACVR1_TGFBR1	TGFb	Secreted Signaling	TGFB1	ACVR1_TGFbR	TGFB1	TGFBR2|ACVR1|TGFBR1	incoming	TNK	0.0	0.004626242982712588	1.0	0.009900990099009901	False	True	-0.004626242982712588	inhibitory	True	True	incoming
