group	n_cells	n_samples	n_MPR_samples	n_NMPR_samples	mean_CLDN4_log1p_cp10k
Mal_high	498	4	4	0	2.2272799015045166
Mal_low	498	4	4	0	0.4656430184841156
TNK	12537	4	4	0	0.016063151881098747
