group	n_cells	n_samples	n_MPR_samples	n_NMPR_samples	mean_CLDN4_log1p_cp10k
Mal_high	4203	12	4	8	2.2399988174438477
Mal_low	4204	12	4	8	0.865814208984375
TNK	33760	12	4	8	0.02194030210375786
