interaction_name	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	source	target	n_source	n_target	ligand_mean	receptor_mean	ligand_prop	receptor_prop	detected	prob	pval	significant
TGFB3_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB3	TGFbR1_R2	TGFB3	TGFBR2|TGFBR1	TNK_NMPR	Mal_low_NMPR	21223	2228	0.0	0.013516214504327701	0.005748480558395386	0.12028725445270538	False	0.0	1.0	False
TGFB3_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB3	TGFbR1_R2	TGFB3	TGFBR2|TGFBR1	Mal_high_MPR	TNK_MPR	395	12537	0.0	0.0	0.05569620430469513	0.08024248480796814	False	0.0	1.0	False
TGFB3_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB3	TGFbR1_R2	TGFB3	TGFBR2|TGFBR1	Mal_low_MPR	TNK_MPR	575	12537	0.0	0.0	0.029565216973423958	0.08024248480796814	False	0.0	1.0	False
TGFB3_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB3	TGFbR1_R2	TGFB3	TGFBR2|TGFBR1	TNK_MPR	Mal_high_MPR	12537	395	0.0	0.07217260103685309	0.003988194745033979	0.18987341225147247	False	0.0	1.0	False
TGFB3_TGFBR1_TGFBR2	TGFb	Secreted Signaling	TGFB3	TGFbR1_R2	TGFB3	TGFBR2|TGFBR1	TNK_MPR	Mal_low_MPR	12537	575	0.0	0.011864301211757144	0.003988194745033979	0.10782608389854431	False	0.0	1.0	False
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	Mal_high_NMPR	TNK_NMPR	2408	21223	0.03130152449011803	0.0	0.16445182263851166	0.022522734478116035	False	0.0	1.0	False
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	Mal_low_NMPR	TNK_NMPR	2228	21223	0.016254963353276253	0.0	0.14003591239452362	0.022522734478116035	False	0.0	1.0	False
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	TNK_NMPR	Mal_high_NMPR	21223	2408	0.08835003525018692	0.0	0.1561042219400406	0.09925249218940735	False	0.0	1.0	False
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	TNK_NMPR	Mal_low_NMPR	21223	2228	0.08835003525018692	0.026391256335838876	0.1561042219400406	0.12028725445270538	True	0.004641691086024552	0.900990099009901	False
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	Mal_high_MPR	TNK_MPR	395	12537	0.0	0.0	0.06835442781448364	0.0218553077429533	False	0.0	1.0	False
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	Mal_low_MPR	TNK_MPR	575	12537	0.01073108334094286	0.0	0.14260870218276978	0.0218553077429533	False	0.0	1.0	False
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	TNK_MPR	Mal_high_MPR	12537	395	0.060345254838466644	0.19851313885714159	0.1352795660495758	0.29113924503326416	True	0.023398065792631376	0.009900990099009901	True
TGFB1_ACVR1B_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1B_TGFbR2	TGFB1	TGFBR2|ACVR1B	TNK_MPR	Mal_low_MPR	12537	575	0.060345254838466644	0.01608175787650136	0.1352795660495758	0.10782608389854431	True	0.0019371556989881064	0.8712871287128713	False
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	Mal_high_NMPR	TNK_NMPR	2408	21223	0.03130152449011803	0.0	0.16445182263851166	0.005984073970466852	False	0.0	1.0	False
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	Mal_low_NMPR	TNK_NMPR	2228	21223	0.016254963353276253	0.0	0.14003591239452362	0.005984073970466852	False	0.0	1.0	False
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	TNK_NMPR	Mal_high_NMPR	21223	2408	0.08835003525018692	0.0	0.1561042219400406	0.09925249218940735	False	0.0	1.0	False
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	TNK_NMPR	Mal_low_NMPR	21223	2228	0.08835003525018692	0.0052461176782752856	0.1561042219400406	0.1126570925116539	True	0.0009261308501570987	0.15841584158415842	False
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	Mal_high_MPR	TNK_MPR	395	12537	0.0	0.0	0.06835442781448364	0.005025125574320555	False	0.0	1.0	False
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	Mal_low_MPR	TNK_MPR	575	12537	0.01073108334094286	0.0	0.14260870218276978	0.005025125574320555	False	0.0	1.0	False
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	TNK_MPR	Mal_high_MPR	12537	395	0.060345254838466644	0.0	0.1352795660495758	0.03291139379143715	False	0.0	1.0	False
TGFB1_ACVR1C_TGFBR2	TGFb	Secreted Signaling	TGFB1	ACVR1C_TGFbR2	TGFB1	TGFBR2|ACVR1C	TNK_MPR	Mal_low_MPR	12537	575	0.060345254838466644	0.0024225912518507377	0.1352795660495758	0.10782608389854431	True	0.00029229830964215266	0.49504950495049505	False
