sample	CLDN4_log2_MAS5p1	quartile
GSM773540	8.994613664258194	Q1
GSM773541	9.52036311724831	Q2Q3
GSM773542	9.511498282231692	Q2Q3
GSM773543	10.092206116443691	Q2Q3
GSM773544	9.809836444128292	Q2Q3
GSM773545	10.383597058236173	Q2Q3
GSM773546	10.57000025024062	Q4
GSM773547	9.349027504520473	Q2Q3
GSM773548	10.051329681686504	Q2Q3
GSM773549	9.058490489620935	Q1
GSM773550	10.086381342909606	Q2Q3
GSM773551	10.982613462867203	Q4
GSM773552	10.43179896128199	Q4
GSM773553	10.469902048627997	Q4
GSM773554	11.07724460145124	Q4
GSM773555	11.196025732486728	Q4
GSM773556	9.762458282754828	Q2Q3
GSM773557	10.828968055787648	Q4
GSM773558	9.497460280684964	Q2Q3
GSM773559	10.03145860835186	Q2Q3
GSM773560	9.105238324510081	Q1
GSM773561	8.308146961421851	Q1
GSM773562	8.67055888604511	Q1
GSM773563	10.674867280891565	Q4
GSM773564	10.195566112271893	Q2Q3
GSM773565	11.773158373826481	Q4
GSM773566	10.620925327001334	Q4
GSM773567	8.308142864891082	Q1
GSM773568	11.02177014993284	Q4
GSM773569	9.980095724757078	Q2Q3
GSM773570	7.620551222338828	Q1
GSM773571	10.154010606645523	Q2Q3
GSM773572	8.740614600750463	Q1
GSM773573	7.461155264916394	Q1
GSM773574	10.109711578063699	Q2Q3
GSM773575	9.947490396522179	Q2Q3
GSM773576	7.090899995560688	Q1
GSM773577	8.565963057963435	Q1
GSM773578	9.201791157318615	Q2Q3
GSM773579	10.59788727884971	Q4
GSM773580	7.836740284451212	Q1
GSM773581	10.70960012568673	Q4
GSM773582	10.972783393911941	Q4
GSM773583	8.378745695406467	Q1
GSM773584	9.672910225245637	Q2Q3
GSM773585	10.594445352259894	Q4
GSM773586	10.369174289995883	Q2Q3
GSM773587	10.434971660756386	Q4
GSM773588	7.767825591780214	Q1
GSM773589	11.071571566147535	Q4
GSM773590	8.847496510175793	Q1
GSM773591	10.057323137205096	Q2Q3
GSM773592	10.768822973026168	Q4
GSM773593	10.769364304147818	Q4
GSM773594	8.566029295167976	Q1
GSM773595	10.00698604644679	Q2Q3
GSM773596	10.1455488193417	Q2Q3
GSM773597	8.952671367227765	Q1
GSM773598	10.550522669346762	Q4
GSM773599	7.652986188909316	Q1
GSM773600	9.458104507720725	Q2Q3
GSM773601	10.216964912987565	Q2Q3
GSM773602	7.988552907033517	Q1
GSM773603	10.529745316255179	Q4
GSM773604	9.174427392427368	Q2Q3
GSM773605	8.124812502239859	Q1
GSM773606	8.814845827835239	Q1
GSM773607	6.897738989046852	Q1
GSM773608	8.187686601084403	Q1
GSM773609	9.551749206281997	Q2Q3
GSM773610	9.362576184526587	Q2Q3
GSM773611	9.048560709752756	Q1
GSM773612	8.040639871172985	Q1
GSM773613	9.224020009336295	Q2Q3
GSM773614	10.490656365478346	Q4
GSM773615	9.830709296218803	Q2Q3
GSM773616	9.201728681929367	Q2Q3
GSM773617	10.824460550935822	Q4
GSM773618	9.61717999964323	Q2Q3
GSM773619	8.826734055510986	Q1
GSM773620	9.2066944995356	Q2Q3
GSM773621	10.385619019672072	Q2Q3
GSM773622	8.395142937492809	Q1
GSM773623	9.177690858743988	Q2Q3
GSM773624	8.689498356127915	Q1
GSM773625	8.505201802088727	Q1
GSM773626	10.416541788036074	Q2Q3
GSM773627	9.578073176030061	Q2Q3
GSM773628	10.277314951738724	Q2Q3
GSM773629	7.443015628797464	Q1
GSM773630	9.99561156881223	Q2Q3
GSM773631	10.162469881740954	Q2Q3
GSM773632	9.22461046918773	Q2Q3
GSM773633	10.15402149618672	Q2Q3
GSM773634	8.909513314055584	Q1
GSM773635	9.108898150026237	Q2Q3
GSM773636	9.267831413522048	Q2Q3
GSM773637	10.994495153469849	Q4
GSM773638	8.049205998778378	Q1
GSM773639	11.145175710491403	Q4
GSM773640	10.252394014697751	Q2Q3
GSM773641	10.332687349135231	Q2Q3
GSM773642	9.71058570857634	Q2Q3
GSM773643	9.506188153343295	Q2Q3
GSM773644	11.432368703952502	Q4
GSM773645	10.86543712459527	Q4
GSM773646	9.905589329186032	Q2Q3
GSM773647	8.791983330506296	Q1
GSM773648	9.931967390518578	Q2Q3
GSM773649	10.501931006777264	Q4
