score	outcome	rho	p	I2	ci_lo	ci_hi	N
pct_pos	all_cells	-0.5311678045689988	1.64622329445741e-05	0.0	-0.6967711225150761	-0.3118052568209759	65
pct_pos	compartment	-0.5357184503843819	1.3339471899314794e-05	0.0	-0.7000292716754105	-0.3175360914552899	65
mean_log1p	all_cells	-0.3936479270059006	0.0024510197999868546	0.0	-0.5949776045406042	-0.14583561925356242	65
mean_log1p	compartment	-0.3757221348754828	0.004025615022210108	0.0	-0.5812152482813833	-0.12518242819383874	65
scvi_mean_seed	all_cells	-0.5162446853735598	3.204212368014008e-05	0.0	-0.6860383752687803	-0.2931232231415887	65
scvi_mean_seed	compartment	-0.5486187089906918	7.206974667906105e-06	0.0	-0.7092285020149641	-0.3338690695878706	65
seed_k01	all_cells	-0.46517396804946554	0.03447927455487451	0.6389625940349101	-0.7491377352369888	-0.03678404982180445	65
seed_k01	compartment	-0.6606456871734607	0.0005870655716860303	0.6158154161969471	-0.8473434071502364	-0.32860229716664896	65
seed_k02	all_cells	-0.5409463607440236	0.006786215381484801	0.5906175765567364	-0.7794129280426891	-0.16557340052911773	65
seed_k02	compartment	-0.695564114912234	1.4419258764174768e-05	0.4806138810237518	-0.8473470190360773	-0.43871706085423384	65
seed_k03	all_cells	-0.619329255096575	0.0005731172759697756	0.5375713225156948	-0.8130281390336469	-0.30219612953125574	65
seed_k03	compartment	-0.7304548746553179	5.385319322819019e-10	0.1341309114000237	-0.8406117692592154	-0.5622714700412508	65
seed_k04	all_cells	-0.6522795763098657	4.041773695497018e-07	0.172828078884542	-0.7934536051885801	-0.44450060842338923	65
seed_k04	compartment	-0.7020740661643221	2.242610943644542e-10	0.0	-0.8146179376613364	-0.5385792908605155	65
seed_k05	all_cells	-0.6161025940888383	8.837778345615853e-06	0.243111708864227	-0.77618027031654	-0.3814091386623931	65
seed_k05	compartment	-0.6632783327462832	6.091714909951562e-09	0.0	-0.788657876242103	-0.4849359841619726	65
seed_k06	all_cells	-0.6144240668018905	1.7852317220716628e-06	0.13544990969565138	-0.7656843712521169	-0.39876799279629643	65
seed_k06	compartment	-0.6519047082163077	1.4420219869456531e-08	0.0	-0.7809615504453546	-0.4694598753550866	65
seed_k07	all_cells	-0.6123642332148423	7.894768908642463e-07	0.07813935176066181	-0.7597326684487786	-0.4051610028255209	65
seed_k07	compartment	-0.6412486231732356	3.1121840752933524e-08	0.0	-0.7737150327453535	-0.45506113075465116	65
seed_k08	all_cells	-0.6247442685199781	9.581182365546727e-08	0.0	-0.7624226464706136	-0.4329506103085648	65
