spec	score	outcome	coding	estimate	se	wald_z	wald_p	lr_chi2	lr_p	n_units	re_sd	singular	note
pct_pos|all_cells|global_z	pct_pos	all_cells	global_z	-0.618788734216803	0.143115982903423	-4.32368713586919	1.53442862466343e-05	16.4416927383347	5.01695483690407e-05	65	1.03573976541724	FALSE	ok
pct_pos|all_cells|within_z	pct_pos	all_cells	within_z	-0.57322254269101	0.132903758057513	-4.31306496572468	1.61006781671141e-05	16.3666552592649	5.21954523372603e-05	65	1.03620761686028	FALSE	ok
pct_pos|all_cells|within_rank	pct_pos	all_cells	within_rank	-0.620543532680504	0.129561777824102	-4.78955709856791	1.67149832180807e-06	19.6493099085776	9.30369060863149e-06	65	1.00995058377807	FALSE	ok
pct_pos|compartment|global_z	pct_pos	compartment	global_z	-1.02950401749246	0.209924199061816	-4.90417027714518	9.38230759001335e-07	20.4726738688591	6.0488700275831e-06	65	1.5193917191694	FALSE	ok
pct_pos|compartment|within_z	pct_pos	compartment	within_z	-0.946289833002441	0.195546402810778	-4.83920859397308	1.30357172979168e-06	20.0082218746139	7.71098996678653e-06	65	1.52483390736328	FALSE	ok
pct_pos|compartment|within_rank	pct_pos	compartment	within_rank	-1.01100404113996	0.190456267371017	-5.30832644730182	1.10636360436104e-07	23.4165154328388	1.30453729763402e-06	65	1.485080484194	FALSE	ok
mean_log1p|all_cells|global_z	mean_log1p	all_cells	global_z	-0.379429372664933	0.165286692864035	-2.29558330492493	0.0216997182507216	5.06855284898211	0.0243637152538174	65	1.13100320142472	FALSE	ok
mean_log1p|all_cells|within_z	mean_log1p	all_cells	within_z	-0.349997685553675	0.144362662052584	-2.4244335798282	0.0153322877263921	5.62865673062265	0.0176691662604671	65	1.12608238158739	FALSE	ok
mean_log1p|all_cells|within_rank	mean_log1p	all_cells	within_rank	-0.440870547269795	0.140486806773353	-3.13816334355901	0.00170010106652574	9.17266910498904	0.00245656036156107	65	1.09559678857444	FALSE	ok
mean_log1p|compartment|global_z	mean_log1p	compartment	global_z	-0.675631053291276	0.246174866454783	-2.74451678606018	0.00606000551567008	7.12978704192676	0.00758137313299113	65	1.68446107666676	FALSE	ok
mean_log1p|compartment|within_z	mean_log1p	compartment	within_z	-0.614867646073621	0.214978039884293	-2.86014165169874	0.00423451818895846	7.70810709387331	0.00549733671580785	65	1.67694086015038	FALSE	ok
mean_log1p|compartment|within_rank	mean_log1p	compartment	within_rank	-0.722364238242318	0.209794579415692	-3.44319781881022	0.00057487864313732	10.8961702349874	0.000963632898513823	65	1.63627013912186	FALSE	ok
scvi_mean_seed|all_cells|global_z	scvi_mean_seed	all_cells	global_z	-0.635299198815945	0.152672199813274	-4.16119764824867	3.16582938294893e-05	15.3658143032887	8.85764218354094e-05	65	1.04459408531801	FALSE	ok
scvi_mean_seed|all_cells|within_z	scvi_mean_seed	all_cells	within_z	-0.550252402390513	0.134406811374539	-4.09393241877583	4.24117976757716e-05	14.9226101524334	0.000112012438587834	65	1.04807798746884	FALSE	ok
scvi_mean_seed|all_cells|within_rank	scvi_mean_seed	all_cells	within_rank	-0.62965198312157	0.129017632715391	-4.88035604025198	1.05894489627028e-06	20.3217902027492	6.54509411505583e-06	65	1.0054706681671	FALSE	ok
scvi_mean_seed|compartment|global_z	scvi_mean_seed	compartment	global_z	-1.1338055586388	0.218754971490593	-5.18299333227981	2.18352847688589e-07	22.5079554335522	2.09275099414968e-06	65	1.49618022179024	FALSE	ok
scvi_mean_seed|compartment|within_z	scvi_mean_seed	compartment	within_z	-0.986864597174937	0.19257427972534	-5.1245919163372	2.98182858916345e-07	22.0787804690411	2.61686520399731e-06	65	1.50109868504294	FALSE	ok
scvi_mean_seed|compartment|within_rank	scvi_mean_seed	compartment	within_rank	-1.06257941851861	0.18626192725743	-5.70475906785842	1.16507767181909e-08	26.4184293198399	2.74905029930921e-07	65	1.45180261915499	FALSE	ok
seed_k01|all_cells|global_z	seed_k01	all_cells	global_z	-0.436732839622754	0.147231364890963	-2.96630300171565	0.00301403383228135	8.25363708974692	0.00406704310591584	65	1.10334154334001	FALSE	ok
seed_k01|all_cells|within_z	seed_k01	all_cells	within_z	-0.439189943257748	0.140465613515073	-3.12667230268866	0.00176796870909465	9.10781084840642	0.00254520296891053	65	1.09599686916612	FALSE	ok
seed_k01|all_cells|within_rank	seed_k01	all_cells	within_rank	-0.527719040076958	0.135720844410513	-3.88826817552633	0.000100962038844631	13.5930218645549	0.000227027873084313	65	1.05849510187584	FALSE	ok
seed_k01|compartment|global_z	seed_k01	compartment	global_z	-0.830435756852905	0.213958462996959	-3.88129427189196	0.000103902025476803	13.5547836688896	0.000231700135774162	65	1.60287820200436	FALSE	ok
seed_k01|compartment|within_z	seed_k01	compartment	within_z	-0.849536631890077	0.20227861208657	-4.19983419466264	2.67110509895697e-05	15.6126966565438	7.77308989551146e-05	65	1.57757913555318	FALSE	ok
seed_k01|compartment|within_rank	seed_k01	compartment	within_rank	-1.02474688496722	0.189320746150491	-5.41275536782773	6.20622527950868e-08	24.1884853272572	8.73529876678065e-07	65	1.4760625980667	FALSE	ok
seed_k02|all_cells|global_z	seed_k02	all_cells	global_z	-0.488455443509117	0.148051779405575	-3.29922035027378	0.000969537743594282	10.0662604070685	0.00151009223840053	65	1.08797940326346	FALSE	ok
seed_k02|all_cells|within_z	seed_k02	all_cells	within_z	-0.465754733766147	0.13914373600843	-3.34729213924463	0.000816051614528701	10.3379229020906	0.00130324584225784	65	1.08560329722501	FALSE	ok
seed_k02|all_cells|within_rank	seed_k02	all_cells	within_rank	-0.597333389326347	0.131173172193919	-4.55377711261936	5.26911831215783e-06	17.9988949213678	2.21033245366482e-05	65	1.02293282603834	FALSE	ok
seed_k02|compartment|global_z	seed_k02	compartment	global_z	-0.905881768142227	0.214507733833943	-4.22307276269814	2.40993973763879e-05	15.7686196627884	7.15799532376158e-05	65	1.57579762031698	FALSE	ok
seed_k02|compartment|within_z	seed_k02	compartment	within_z	-0.888564273309027	0.199709247003403	-4.44928958794724	8.61547871014005e-06	17.2908749857538	3.20723313788182e-05	65	1.55734911338803	FALSE	ok
seed_k02|compartment|within_rank	seed_k02	compartment	within_rank	-1.10906332294094	0.181822961020097	-6.09968794215357	1.06275736831572e-09	29.4273655753287	5.80520924955398e-08	65	1.41749405726096	FALSE	ok
