score	outcome	dataset	n	rho
pct_pos	all_cells	GSE123902	13	-0.6593406593406593
pct_pos	all_cells	GSE131907	21	-0.522077922077922
pct_pos	all_cells	GSE205335	22	-0.435347261434218
pct_pos	all_cells	GSE189357	9	-0.6
pct_pos	compartment	GSE123902	13	-0.6208791208791209
pct_pos	compartment	GSE131907	21	-0.5558441558441558
pct_pos	compartment	GSE205335	22	-0.4342179559570864
pct_pos	compartment	GSE189357	9	-0.6166666666666667
mean_log1p	all_cells	GSE123902	13	-0.6538461538461539
mean_log1p	all_cells	GSE131907	21	-0.3961038961038961
mean_log1p	all_cells	GSE205335	22	-0.16996047430830039
mean_log1p	all_cells	GSE189357	9	-0.5166666666666667
mean_log1p	compartment	GSE123902	13	-0.6373626373626373
mean_log1p	compartment	GSE131907	21	-0.34935064935064936
mean_log1p	compartment	GSE205335	22	-0.21626199887069453
mean_log1p	compartment	GSE189357	9	-0.4166666666666667
scvi_mean_seed	all_cells	GSE123902	13	-0.5439560439560439
scvi_mean_seed	all_cells	GSE131907	21	-0.6532467532467533
scvi_mean_seed	all_cells	GSE205335	22	-0.409373235460192
scvi_mean_seed	all_cells	GSE189357	9	-0.3
scvi_mean_seed	compartment	GSE123902	13	-0.42857142857142855
scvi_mean_seed	compartment	GSE131907	21	-0.6337662337662338
scvi_mean_seed	compartment	GSE205335	22	-0.46696781479390176
scvi_mean_seed	compartment	GSE189357	9	-0.6833333333333333
seed_k01	all_cells	GSE123902	13	-0.7362637362637363
seed_k01	all_cells	GSE131907	21	-0.05606119105813881
seed_k01	all_cells	GSE205335	22	-0.6778968024746905
seed_k01	all_cells	GSE189357	9	-0.1338923854009157
seed_k01	compartment	GSE123902	13	-0.6813186813186813
seed_k01	compartment	GSE131907	21	-0.23443770806130776
seed_k01	compartment	GSE205335	22	-0.7526392704398488
seed_k01	compartment	GSE189357	9	-0.8703005051059519
seed_k02	all_cells	GSE123902	13	-0.7912087912087912
seed_k02	all_cells	GSE131907	21	-0.1706245692995167
seed_k02	all_cells	GSE205335	22	-0.6923440216578804
seed_k02	all_cells	GSE189357	9	-0.2833333333333333
seed_k02	compartment	GSE123902	13	-0.7362637362637363
seed_k02	compartment	GSE131907	21	-0.3679092275520829
seed_k02	compartment	GSE205335	22	-0.7687565725431983
seed_k02	compartment	GSE189357	9	-0.8666666666666667
seed_k03	all_cells	GSE123902	13	-0.8241758241758241
seed_k03	all_cells	GSE131907	21	-0.34287071218212306
seed_k03	all_cells	GSE205335	22	-0.7482551144946378
seed_k03	all_cells	GSE189357	9	-0.31666666666666665
seed_k03	compartment	GSE123902	13	-0.7802197802197802
seed_k03	compartment	GSE131907	21	-0.5163421176329359
seed_k03	compartment	GSE205335	22	-0.809849285504867
seed_k03	compartment	GSE189357	9	-0.8166666666666667
seed_k04	all_cells	GSE123902	13	-0.8131868131868132
seed_k04	all_cells	GSE131907	21	-0.5226376889550879
seed_k04	all_cells	GSE205335	22	-0.7298552180248341
seed_k04	all_cells	GSE189357	9	-0.31799441532717476
seed_k04	compartment	GSE123902	13	-0.7472527472527473
seed_k04	compartment	GSE131907	21	-0.5478337207917656
seed_k04	compartment	GSE205335	22	-0.7869197385897155
seed_k04	compartment	GSE189357	9	-0.7029350233548073
seed_k05	all_cells	GSE123902	13	-0.8131868131868132
seed_k05	all_cells	GSE131907	21	-0.45622610235234823
seed_k05	all_cells	GSE205335	22	-0.6874292807079344
seed_k05	all_cells	GSE189357	9	-0.3
seed_k05	compartment	GSE123902	13	-0.7472527472527473
seed_k05	compartment	GSE131907	21	-0.48357088451226815
seed_k05	compartment	GSE205335	22	-0.742195430872218
seed_k05	compartment	GSE189357	9	-0.6833333333333333
seed_k06	all_cells	GSE123902	13	-0.8131868131868132
seed_k06	all_cells	GSE131907	21	-0.4643128076132038
seed_k06	all_cells	GSE205335	22	-0.6663214936654501
seed_k06	all_cells	GSE189357	9	-0.35
seed_k06	compartment	GSE123902	13	-0.7472527472527473
seed_k06	compartment	GSE131907	21	-0.48675693124405356
seed_k06	compartment	GSE205335	22	-0.7188057209062219
seed_k06	compartment	GSE189357	9	-0.6666666666666666
seed_k07	all_cells	GSE123902	13	-0.8131868131868132
seed_k07	all_cells	GSE131907	21	-0.4601045344324195
seed_k07	all_cells	GSE205335	22	-0.654911879047891
seed_k07	all_cells	GSE189357	9	-0.39330888211518983
seed_k07	compartment	GSE123902	13	-0.7472527472527473
seed_k07	compartment	GSE131907	21	-0.4643128076132038
seed_k07	compartment	GSE205335	22	-0.7039732219033951
seed_k07	compartment	GSE189357	9	-0.6778302010921357
seed_k08	all_cells	GSE123902	13	-0.7472527472527473
seed_k08	all_cells	GSE131907	21	-0.5419402491313616
seed_k08	all_cells	GSE205335	22	-0.6832390450949513
seed_k08	all_cells	GSE189357	9	-0.37657233394007533
seed_k08	compartment	GSE123902	13	-0.6648351648351648
seed_k08	compartment	GSE131907	21	-0.560230732539545
seed_k08	compartment	GSE205335	22	-0.7277237241578947
seed_k08	compartment	GSE189357	9	-0.5272012675161055
seed_k09	all_cells	GSE123902	13	-0.6685013201750863
seed_k09	all_cells	GSE131907	21	-0.5775192092737359
seed_k09	all_cells	GSE205335	22	-0.6710787618430062
seed_k09	all_cells	GSE189357	9	-0.3333333333333333
seed_k09	compartment	GSE123902	13	-0.569464087556555
seed_k09	compartment	GSE131907	21	-0.5661428169705454
seed_k09	compartment	GSE205335	22	-0.7138771522666673
seed_k09	compartment	GSE189357	9	-0.5166666666666667
seed_k10	all_cells	GSE123902	13	-0.6538461538461539
seed_k10	all_cells	GSE131907	21	-0.5940036748978688
seed_k10	all_cells	GSE205335	22	-0.6413064929560266
seed_k10	all_cells	GSE189357	9	-0.3333333333333333
seed_k10	compartment	GSE123902	13	-0.554945054945055
seed_k10	compartment	GSE131907	21	-0.6137818216758223
seed_k10	compartment	GSE205335	22	-0.6759563566144124
seed_k10	compartment	GSE189357	9	-0.5166666666666667
seed_k11	all_cells	GSE123902	13	-0.6538461538461539
seed_k11	all_cells	GSE131907	21	-0.5889360767811098
seed_k11	all_cells	GSE205335	22	-0.6413064929560266
seed_k11	all_cells	GSE189357	9	-0.26666666666666666
seed_k11	compartment	GSE123902	13	-0.554945054945055
