dataset	compartment	gene	contrast	metric	genes_in_matrix	n_responder	n_nonresponder	median_responder	median_nonresponder	p	note
GSE111414	PBMC_CD8	TACSTD2	baseline_N1 responder vs nonresponder	log2CPM	True	5	5	0.0	0.0	0.7971696931337416	epithelial genes expected near-zero in sorted CD8 T cells
GSE111414	PBMC_CD8	CLDN4	baseline_N1 responder vs nonresponder	log2CPM	True	5	5	0.0	0.0		epithelial genes expected near-zero in sorted CD8 T cells
GSE111414	PBMC_CD8	EPCAM	baseline_N1 responder vs nonresponder	log2CPM	True	5	5	0.0	0.0	0.4237107971667934	epithelial genes expected near-zero in sorted CD8 T cells
GSE111414	PBMC_CD8	KRT8	baseline_N1 responder vs nonresponder	log2CPM	True	5	5	0.3760452690071033	0.5485247275253936	1.0	epithelial genes expected near-zero in sorted CD8 T cells
GSE111414	PBMC_CD8	KRT18	baseline_N1 responder vs nonresponder	log2CPM	True	5	5	1.2122333050343277	2.454614517234633	0.3095238095238095	epithelial genes expected near-zero in sorted CD8 T cells
GSE111414	PBMC_CD8	PTPRC	baseline_N1 responder vs nonresponder	log2CPM	True	5	5	10.02407057490754	10.343409997205615	0.3095238095238095	epithelial genes expected near-zero in sorted CD8 T cells
GSE111414	PBMC_CD8	CD3D	baseline_N1 responder vs nonresponder	log2CPM	True	5	5	6.841547265600896	6.79506555720861	1.0	epithelial genes expected near-zero in sorted CD8 T cells
GSE111414	PBMC_CD8	CD8A	baseline_N1 responder vs nonresponder	log2CPM	True	5	5	10.546704853116427	10.497842102515534	0.6904761904761905	epithelial genes expected near-zero in sorted CD8 T cells
GSE111414	PBMC_CD8	GZMB	baseline_N1 responder vs nonresponder	log2CPM	True	5	5	7.274562140188416	7.326436640494698	0.8412698412698413	epithelial genes expected near-zero in sorted CD8 T cells
GSE111414	PBMC_CD8	PRF1	baseline_N1 responder vs nonresponder	log2CPM	True	5	5	9.237492257476472	9.571490161059678	0.4206349206349206	epithelial genes expected near-zero in sorted CD8 T cells
GSE202417	PBMC_CD8	TACSTD2	pre-treatment R vs NR (bezafibrate+nivolumab trial)	array_intensity	True	6	8	7.635284066500001	9.0189123145	0.4908424908424909	sorted CD8; probe TC0100014340.hg.1
GSE202417	PBMC_CD8	CLDN4	pre-treatment R vs NR (bezafibrate+nivolumab trial)	array_intensity	True	6	8	9.2491153575	8.4184065285	0.1811521811521811	sorted CD8; probe TC0700007993.hg.1
