accession	title	taxon	n_samples	gdstype	pdat	is_human	is_lung	is_ici	is_blood_compartment	mentions_tumor	mentions_response	looks_gene_expression	looks_non_gene_assay	suppl_n	suppl_error
GSE100860	Monitoring Nivolumab binding as a method to clarify the residual therapeutic effects and to characterize the immune profile in antibody bound T cells in previously treated non-small cell lung cancer patients	Homo sapiens	14	Expression profiling by high throughput sequencing	2018/10/05	False	True	True	False	False	True	True	False	3	
GSE110390	Interferon Gamma mRNA Signature in Tumor Biopsies Predicts Outcomes in Patients with Non–Small-Cell Lung Carcinoma or Urothelial Cancer Treated with Durvalumab	Homo sapiens	159	Expression profiling by high throughput sequencing	2018/02/14	False	True	True	False	True	True	True	False	3	
GSE111414	KIR Polymorphism is Associated with Primary Resistance to PD-1 Blockade in Lung Cancer	Homo sapiens	20	Expression profiling by high throughput sequencing	2021/03/01	False	True	True	True	True	True	True	False	2	
GSE115821	Robust prediction of response to immune checkpoint blockade therapy in metastatic melanoma	Homo sapiens	37	Expression profiling by high throughput sequencing	2018/08/20	False	False	True	False	True	True	True	False	2	
GSE117570	Reprogramming of Tumor-infiltrating Immune Cells in Early Stage of NSCLC	Homo sapiens	8	Expression profiling by high throughput sequencing	2019/04/30	False	True	True	False	True	True	True	False	3	
GSE124199	Wnt1 silences CC/CXC motif chemokine genes in dendritic cells and induces adaptive immune resistance in lung adenocarcinoma	Homo sapiens	14	Expression profiling by high throughput sequencing	2018/12/21	True	True	False	False	True	False	True	False	2	
GSE127471	High-throughput tissue dissection and cell purification with digital cytometry [scRNA-Seq]	Homo sapiens	1	Expression profiling by high throughput sequencing	2019/05/06	False	False	True	False	True	True	True	False	3	
GSE128822	High-dimensional single cell analysis reveals an effector Treg molecular program that correlates with lung cancer progression	Homo sapiens	10	Expression profiling by high throughput sequencing	2020/03/03	False	True	True	False	True	True	True	False	2	
GSE129968	EIF5B drives integrated stress response-dependent translation of PD-L1 in lung cancer	Homo sapiens	12	Other	2020/02/01	True	True	True	False	True	True	False	False	2	
GSE135164	Genome-wide profiling of non-small cell lung cancer derived cells	Homo sapiens	15	Expression profiling by high throughput sequencing	2019/12/31	False	True	False	False	False	False	True	False	3	
GSE136961	Immune gene signatures for predicting durable clinical benefit of anti-PD-1 immunotherapy in patients with non-small cell lung cancer	Homo sapiens	21	Expression profiling by high throughput sequencing	2020/02/03	False	True	True	False	True	True	True	False	3	
GSE138571	In vivo epigenetic CRISPR screen identifies Asf1a as an immunotherapeutic target in Kras-mutant lung adenocarcinoma	Homo sapiens; Mus musculus	10	Genome binding/occupancy profiling by high throughput sequencing	2019/11/26	False	True	True	False	True	True	False	False	3	
GSE139327	Contrasting inflammatory signatures in peripheral blood and bronchoalveolar cells reveal compartment-specific effects of HIV infection	Homo sapiens	28	Expression profiling by high throughput sequencing	2020/05/26	False	False	True	True	False	True	True	False	6	
GSE144945	Dysregulation of TFH-B-TRM lymphocyte cooperation is associated with unfavorable anti-PD-1 responses in EGFR-mutant lung cancer	Homo sapiens	10	Expression profiling by high throughput sequencing	2021/08/24	False	True	True	False	True	True	True	False	3	
GSE145996	Pre- Treatment Mutational and Transcriptomic Landscape of Responding Metastatic Melanoma Patients to Anti-PD1 Immunotherapy	Homo sapiens	14	Expression profiling by high throughput sequencing	2020/08/07	False	False	True	False	True	True	True	False	2	
GSE146100	Distinct Immune-microenvironment Construction Diversely Responded to Induction Immunotherapy among Multiple Primary Lung Adenocarcinoma	Homo sapiens	3	Expression profiling by high throughput sequencing	2021/04/28	False	True	True	False	True	False	True	False	2	
GSE150255	IFN-γ induces ZEB1 expression through STAT1-dependent upregulation of JMJD3 to promote lung adenocarcinoma cell aggressiveness	Homo sapiens	8	Expression profiling by high throughput sequencing	2023/05/01	False	True	True	False	True	True	True	False	2	
GSE150972	Identification of clonal neoantigens derived from driver mutations in an EGFR mutated lung cancer patient benefitting from anti-PD-1	Homo sapiens	1	Expression profiling by high throughput sequencing	2020/06/30	False	True	True	False	False	True	True	False	3	
GSE152590	RNA seq data of CD8+ T cells in peripheral blood lymphocytes from melanoma and lung cancer patients	Homo sapiens	8	Expression profiling by high throughput sequencing	2021/11/17	False	True	True	True	False	False	True	False	2	
GSE154826	CITEseq analysis of non-small-cell lung cancer lesions	Homo sapiens	166	Expression profiling by high throughput sequencing; Other	2020/07/22	False	True	True	False	False	False	True	False	79	
GSE161537	Immunologically hot phenotype is associated with response to second-line PD-1/PD-L1 inhibition in patients with advanced non-small cell lung cancer	Homo sapiens	82	Expression profiling by high throughput sequencing	2022/07/07	False	True	True	False	True	True	True	False	2	
GSE162353	Distinct population of immune suppressive macrophages differentiate from monocytic myeloid-derived suppressor cells in cancer	Homo sapiens	14	Expression profiling by high throughput sequencing	2020/12/14	False	False	True	False	True	True	True	False	2	
GSE165383	T-cell CX3CR1 expression as a dynamic blood-based biomarker of response to immune checkpoint inhibitors	Mus musculus	12	Other	2021/01/26	False	True	True	True	True	True	False	False	3	
GSE168844	Identification of a novel antitumor CD4+ T cell cluster orchestrating antitumor immunity	Homo sapiens	16	Expression profiling by high throughput sequencing; Other	2022/12/21	False	False	True	True	False	False	True	False	3	
