accession	title	taxon	n_samples	gdstype	pdat	is_human	is_lung	is_ici	is_blood_compartment	mentions_tumor	mentions_response	looks_gene_expression	looks_non_gene_assay	suppl_n	suppl_error
GSE171650	PD-L1 alteration in lung cancer affects tumorigenicity lung tumors	Homo sapiens	30	Expression profiling by high throughput sequencing	2021/04/08	False	True	True	False	False	True	True	False	3	
GSE176022	Distinct transcriptional programs characterize neoantigen-specific T cells in   lung cancers treated with neoadjuvant PD-1 blockade [bulk TCR-seq]	Homo sapiens	102	Expression profiling by high throughput sequencing; Other	2021/07/21	False	True	True	False	True	True	True	False	3	
GSE178521	PRMT5 inhibition increases PD-L1 expression and immunoresistance in lung cancer	Homo sapiens	6	Expression profiling by high throughput sequencing	2022/02/08	False	True	True	False	False	True	True	False	3	
GSE179351	Radiation Therapy Inhances Immunotherapy Response in  Microsatellite-stable Colorectal and Pancreatic Adenocarcinoma in a Phase II Trial	Homo sapiens	54	Expression profiling by high throughput sequencing	2021/07/06	True	False	True	False	True	True	True	False	3	
GSE179879	Targeting the tumor mutanome for personalized vaccination in lung cancer	Homo sapiens	20	Expression profiling by high throughput sequencing	2022/04/27	False	True	True	True	True	False	True	False	3	
GSE179994	Temporal single cell tracing reveals clonal revival and expansion of precursor exhausted T cells during anti-PD-1 therapy in lung cancer	Homo sapiens	47	Expression profiling by high throughput sequencing	2021/10/06	False	True	True	False	True	True	True	False	7	
GSE181820	Highly Immunogenic Cancer Cells Require Activation of the WNT Pathway for Immunological Escape	Homo sapiens	22	Expression profiling by high throughput sequencing	2021/09/17	False	True	True	True	True	True	True	False	2	
GSE183996	Coordinated repression of pro-differentiation genes via P-bodies and transcription maintains Drosophila intestinal stem cell identity	Drosophila melanogaster	6	Expression profiling by high throughput sequencing	2021/12/06	False	False	False	False	False	False	True	False	5	
GSE184053	CD8+ TILs in NSCLC differentiate into TEMRA via a bifurcated trajectory, deciphering immunogenicity of tumor-antigens	Homo sapiens	9	Expression profiling by high throughput sequencing	2021/09/14	False	True	True	True	True	True	True	False	7	
GSE186143	T cell characteristics associated with toxicity to immune checkpoint blockade in patients with melanoma [bulk RNA-seq]	Homo sapiens	66	Expression profiling by high throughput sequencing	2022/01/13	False	False	True	True	False	True	True	False	2	
GSE190731	Expression data from durvalumab, oleclumab and combo-treated xenograft NSCLC tumors	Homo sapiens	23	Expression profiling by array	2022/02/23	False	True	True	False	True	True	True	False	3	
GSE190905	Single-cell RNA and TCR sequencing reveals distinct systematic immune response induced by SABR with or without prior anti-PD-1 therapy	Homo sapiens	16	Expression profiling by high throughput sequencing; Other	2025/02/05	False	True	True	True	False	True	True	False	5	
GSE192591	PD-L1+CD8+ T cells enrichment in lung cancer exerted regulatory function and tumor-promoting tolerance	Homo sapiens	6	Expression profiling by high throughput sequencing	2022/02/18	False	True	True	False	True	True	True	False	2	
GSE193049	Bronchoalveolar lavage fluid reveals factors contributing to the efficacy of PD-1 blockade in lung cancer	Homo sapiens	7	Expression profiling by high throughput sequencing	2022/04/07	False	True	True	True	True	True	True	False	3	
GSE193707	Genome-wide expression profiling of mediastinal lymph nodal metastasis of stage IIIA NSCLC patients before neoadjuvant chemotherapy	Homo sapiens	4	Expression profiling by array	2022/12/31	False	True	True	False	False	True	True	False	3	
GSE193719	Genome-wide expression profiling of NSCLC cancer cell lines upon miR-455-5p overexpression	Homo sapiens	10	Expression profiling by array	2022/12/31	False	True	True	False	False	True	True	False	3	
GSE194070	Tumor-intrinsic CD74 expression mediates immune evasion in lung cancer with COPD	Homo sapiens	16	Expression profiling by high throughput sequencing	2024/08/15	False	True	True	False	True	True	True	False	2	
GSE201322	Epigenetic DNA Methylation Signatures Associated with the Severity of  Paget’s disease of bone	Homo sapiens	232	Methylation profiling by genome tiling array	2022/05/18	False	False	False	False	False	True	False	True	4	
GSE202417	Potential of Bezafibrate for Combination with Nivolumab in Treatment of Advanced Non-Small Cell Lung Cancer	Homo sapiens	28	Expression profiling by array	2025/05/06	False	True	True	True	False	True	True	False	3	
GSE206127	Machine Learning-based Exceptional Response Prediction of Nivolumab Monotherapy with Circulating MicroRNAs in Non-Small Cell Lung Cancer	Homo sapiens	213	Non-coding RNA profiling by high throughput sequencing	2025/06/14	False	True	True	True	False	True	False	True	2	
GSE207715	 Extracellular vesicles miR-574-5p and miR-181a-5p as prognostic markers in NSCLC patients treated with nivolumab	Homo sapiens	282	Non-coding RNA profiling by array	2024/07/28	False	True	True	True	False	True	True	False	3	
GSE209973	Prediction of prognosis, immunogenicity and efficacy of immunotherapy based on glutamine metabolism in lung adenocarcinoma	Homo sapiens	6	Expression profiling by high throughput sequencing	2022/07/31	False	True	True	False	True	True	True	False	3	
GSE210516	RNAseq in lung cancer pneumospheres treated with PD-L1s	Homo sapiens	8	Expression profiling by high throughput sequencing	2022/09/14	False	True	True	False	False	True	True	False	3	
GSE211044	Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [bulk RNA-seq]	Homo sapiens	51	Expression profiling by high throughput sequencing	2022/08/22	True	True	True	False	True	False	True	False	2	
GSE211068	Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [scRNA-seq]	Homo sapiens	9	Expression profiling by high throughput sequencing	2022/08/22	True	True	True	False	True	False	True	False	3	
GSE211087	Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [scATAC-seq]	Homo sapiens	8	Genome binding/occupancy profiling by high throughput sequencing	2022/08/22	True	True	True	False	True	False	False	True	3	
GSE211153	Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [bulk ATAC-seq]	Homo sapiens	46	Genome binding/occupancy profiling by high throughput sequencing	2022/08/22	True	True	True	False	True	False	False	True	19	
GSE213590	FOS deficiency activates NRF2 signaling and CAF-mediated metabolic symbiosis to induce ferroptosis resistance in lung cancer initiation and brain metastasis	Homo sapiens	6	Expression profiling by high throughput sequencing	2023/09/20	False	True	True	False	False	True	True	False	2	
GSE213902	The utility of circulating CX3CR1+ CD8+ T cells as a predictive correlate of response to chemo-immunotherapy in patients with non-small cell lung cancer	Homo sapiens	6	Expression profiling by high throughput sequencing; Other	2023/04/05	False	True	True	True	True	True	True	False	9	
GSE216297	Blood platelet RNA profiles do not enable for nivolumab response prediction at baseline in patients with non-small-cell lung cancer	Homo sapiens	286	Expression profiling by high throughput sequencing	2023/07/10	False	True	True	True	False	False	True	False	2	
GSE217451	Tumoral and stromal hMENA isoforms influence tertiary lymphoid structure localization and predict response to immunocheckpoint blockade in lung cancer patients	Homo sapiens	9	Expression profiling by high throughput sequencing	2023/08/30	False	True	True	False	True	True	True	False	2	
GSE218402	Norepinephrine inhibits CD8+ T cell infiltration and function, inducing anti-PD-1 mAb resistance in lung adenocarcinoma	Homo sapiens	8	Expression profiling by high throughput sequencing	2023/04/04	False	True	True	True	True	True	True	False	3	
GSE224216	hMENA isoforms regulate cancer intrinsic Type I IFN signaling and extrinsic mechanisms of resistance to immune checkpoint blockade in NSCLC [RNA-seq]	Homo sapiens	9	Expression profiling by high throughput sequencing	2023/08/30	False	True	True	False	True	True	True	False	2	
GSE224246	hMENA isoforms regulate cancer intrinsic Type I IFN signaling and extrinsic mechanisms of resistance to immune checkpoint blockade in NSCLC [ATAC-seq]	Homo sapiens	8	Genome binding/occupancy profiling by high throughput sequencing	2023/08/30	False	True	True	False	True	True	True	False	3	
GSE225620	Blood-based Genomic and Cellular Determinants of Response to Neoadjuvant PD-1 Blockade in Patients with Non-Small-Cell Lung Cancer	Homo sapiens	43	Expression profiling by high throughput sequencing	2024/07/05	False	True	True	True	False	True	True	False	2	
GSE227427	Tumor lineage-specific immune response in brain metastatic disease: opportunities for targeted immunotherapy regimen?	Homo sapiens	22	Other	2024/02/27	False	True	True	False	True	False	False	False	2	
GSE229353	PD-1 blockade potentiates neoadjuvant chemotherapy in NSCLC via increasing CD127+ and KLRG1+ CD8 T cells	Homo sapiens	7	Expression profiling by high throughput sequencing	2023/05/16	False	True	True	False	True	True	True	False	3	
GSE230489	RNA-sequencing of cutaneous melanoma and non-small cell lung cancer biopsies	Homo sapiens	38	Expression profiling by high throughput sequencing	2025/02/07	False	True	True	True	True	False	True	False	3	
GSE233820	PARP inhibitor radiosensitization enhances anti-PD-L1 immunotherapy through depression of chemokine translation in small cell lung cancer	Homo sapiens	12	Expression profiling by high throughput sequencing	2025/02/04	False	True	True	False	True	True	True	False	2	
GSE235048	Multicolor spectral flow cytometry evaluation of peripheral blood mononuclear cells from NSCLC patients	Homo sapiens	15	Expression profiling by high throughput sequencing	2023/08/03	True	True	True	True	False	False	True	False	2	
GSE237087	Cell-free DNA 5-hydroxymethylcytosine for immunotherapy response prediction in lung cancer	Homo sapiens	68	Methylation profiling by high throughput sequencing	2024/02/28	False	True	True	True	True	True	False	True	2	
GSE240361	Neoantigen-targeted DC vaccine generates durable T cell responses exhibiting the full spectrum of differentiation states in NSCLC patients	Homo sapiens	5	Expression profiling by high throughput sequencing; Other	2024/03/18	False	True	False	False	True	True	True	False	4	
GSE241934	Neoadjuvant sintilimab plus chemotherapy in early-stage EGFR-mutant NSCLC: phase 2 trial interim results (NEOTIDE/CTONG2104)	Homo sapiens	88	Expression profiling by high throughput sequencing; Other	2024/05/17	False	True	True	False	True	True	True	False	11	
GSE241977	IFN    -induced treatment of a Human Lung Adenocarcinoma Cell Line is Mediated by an Environmental Chemical Receptor (AhR) through PD-L1 and IDO Control (a549 bulk RNA)	Homo sapiens	6	Expression profiling by high throughput sequencing	2024/06/08	True	True	True	False	True	True	True	False	2	
GSE242780	Single-cell RNA sequencing analysis of peripheral blood mononuclear cells in PD-1-induced renal toxicity in patients with lung cancer	Homo sapiens	6	Expression profiling by high throughput sequencing	2024/08/31	False	True	True	True	False	True	True	False	3	
GSE243934	Effect of carboplatin-paclitaxel or -gemcitabine combinations on lung cancer cells spheroids	Homo sapiens	23	Expression profiling by high throughput sequencing	2024/04/10	True	True	True	False	True	True	True	False	2	
GSE244416	Small RNA Landscape of Platelet Dust: Platelet-Derived Extracellular Vesicles from Patients with Non-Small-Cell Lung Cancer	Homo sapiens	25	Non-coding RNA profiling by high throughput sequencing	2025/05/07	False	True	False	True	False	True	True	False	7	
GSE247754	Homeostatic Dysregulation of Systemic CD8+ T Cell Compartment in Lung Cancer Patients	Homo sapiens	2	Expression profiling by high throughput sequencing	2025/06/16	False	True	True	True	True	True	True	False	5	
GSE249262	Circulating tumor cell analysis from stage III lung cancer patients	Homo sapiens	76	Expression profiling by array	2024/01/18	False	True	True	True	True	True	True	False	3	
GSE250254	Single-cell immunophenotyping revealed the association of CD4+ central and CD4+ effector memory T cells linking exacerbating chronic obstructive pulmonary disease and NSCLC	Homo sapiens	8	Expression profiling by high throughput sequencing	2023/12/17	False	True	True	True	False	True	True	False	3	
GSE253013	Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma	Homo sapiens	89	Expression profiling by high throughput sequencing	2024/01/31	False	True	True	False	True	False	True	False	2	
GSE259407	Anti-EGFR aptamer exhibits direct anti-cancer effects in NSCLC cells harboring EGFR L858R mutations	Homo sapiens	36	Expression profiling by high throughput sequencing	2024/11/21	True	True	True	False	True	True	True	False	3	
GSE260575	Bojungikki-Tang Enhances the Efficacy of Pembrolizumab Treatment in Human PBMC-Injected H460 Tumor-Bearing Mice	Homo sapiens	12	Expression profiling by high throughput sequencing	2024/03/05	True	True	True	True	True	True	True	False	3	
GSE260597	Anti-tumor activity of a novelLAIR1antagonist in combination with anti-PD-1to treat collagen-rich solid tumors (human)	Homo sapiens	6	Expression profiling by high throughput sequencing	2024/03/04	True	True	True	False	True	True	True	False	2	
GSE260598	Anti-tumor activity of a novelLAIR1antagonist in combination with anti-PD-1to treat collagen-rich solid tumors (GeoMx)	Homo sapiens	48	Expression profiling by high throughput sequencing	2024/03/04	True	True	True	False	True	True	True	False	4	
GSE260599	Anti-tumor activity of a novelLAIR1antagonist in combination with anti-PD-1to treat collagen-rich solid tumors	Homo sapiens; Mus musculus	61	Expression profiling by high throughput sequencing	2024/03/04	False	False	True	False	True	True	True	False	3	
GSE260770	The activity and safety of sintilimab on high-risk ground glass opacity lesions in multiple primary lung cancer patients	Homo sapiens	50	Expression profiling by high throughput sequencing	2024/05/01	False	True	True	False	False	True	True	False	3	
GSE266035	Divergent gene expression and kinetics of circulating tumor-infiltrating lymphocytes with highly homologous T-cell receptor sequences during immunotherapy	Homo sapiens	9	Expression profiling by high throughput sequencing; Other	2025/02/20	False	True	True	True	True	True	True	False	3	
GSE266219	Clinical and Immunological Responses to Combined JAK Inhibition and PD-1 immunotherapy for Lung Cancer Patients	Homo sapiens	79	Expression profiling by high throughput sequencing	2024/05/07	False	True	True	False	True	True	True	False	11	
GSE266364	Immunogenic cell death inducer cEmsy boosted cancer immunotherapy in lung adenocarcinoma	Homo sapiens; Mus musculus	33	Expression profiling by high throughput sequencing	2024/10/30	False	True	True	False	True	True	True	False	4	
GSE267026	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[S1-S3]	Homo sapiens	24	Expression profiling by high throughput sequencing; Other	2026/02/05	False	True	True	True	True	True	True	False	3	
GSE267027	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[P5]	Homo sapiens	9	Expression profiling by high throughput sequencing; Other	2026/02/05	False	True	True	True	True	True	True	False	13	
GSE269551	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner	Homo sapiens	8	Expression profiling by high throughput sequencing	2025/02/26	False	True	True	False	True	True	True	False	3	
GSE269618	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner [H1975 and HCC44]	Homo sapiens	8	Expression profiling by high throughput sequencing	2025/02/26	False	True	True	False	True	True	True	False	3	
GSE269686	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner II	Homo sapiens	8	Genome binding/occupancy profiling by high throughput sequencing	2025/02/26	False	True	True	False	True	True	False	False	3	
GSE269930	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner [H1792_RNA-seq]	Homo sapiens	4	Expression profiling by high throughput sequencing	2025/02/26	False	True	True	False	True	True	True	False	3	
GSE270148	Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumours	Homo sapiens; Mus musculus	85	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2025/07/07	False	True	True	True	True	True	True	False	3	
GSE270711	Identification of a novel signature based on immune microenvironment to predict prognosis，immunotherapeutic efficacy and immunogenicity in lung adenocarcinoma	Homo sapiens	6	Expression profiling by high throughput sequencing	2024/09/30	False	True	True	False	True	True	True	False	5	
GSE271689	Enhancing Immunotherapy Outcomes: Spatial Multi-Omics Predictive Models for Non-Small Cell Lung Cancer	Homo sapiens	586	Expression profiling by high throughput sequencing	2024/08/22	False	True	True	False	True	True	True	False	3	
GSE272174	Characteristics of a CCL21-gene modified dendritic cell vaccine utilized for a clinical trial in non-small cell lung cancer	Homo sapiens	9	Expression profiling by high throughput sequencing	2024/11/14	False	True	True	True	False	False	True	False	3	
GSE273406	Uncovering the rewired IAP-JAK regulatory axis as an immune-dependent vulnerability of LKB1-mutant lung cancer	Homo sapiens	6	Expression profiling by high throughput sequencing	2024/11/06	False	True	True	False	True	False	True	False	3	
GSE273409	DNAPKCs as a therapeutic target in small cell lung cancer	Homo sapiens	36	Expression profiling by high throughput sequencing	2025/08/27	False	True	True	False	True	True	True	False	2	
GSE274584	Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [EV RNA]	Homo sapiens	21	Expression profiling by high throughput sequencing	2025/07/09	True	True	True	True	True	False	True	False	2	
GSE274588	Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [PBMC]	Homo sapiens	57	Expression profiling by high throughput sequencing; Other	2025/07/09	True	True	True	True	True	False	True	False	4	
GSE274595	Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [tumor]	Homo sapiens	8	Expression profiling by high throughput sequencing	2025/07/09	True	True	True	True	True	False	True	False	3	
GSE274934	Single-cell multi-omics reveals tumor microenvironment factors underlying poor immunotherapy responses in ALK-positive lung cancer	Homo sapiens	23	Expression profiling by high throughput sequencing; Other; Genome binding/occupancy profiling by high throughput sequencing	2025/01/30	False	True	True	False	True	True	True	False	3	
GSE278119	Clonally expanded effector CD4+ cytotoxic T lymphocytes are associated with severe neurological adverse events after immune checkpoint inhibitor therapy	Homo sapiens	44	Expression profiling by high throughput sequencing; Other	2025/12/03	False	False	True	True	False	False	True	False	3	
GSE278868	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner [RNA-Seq]	Homo sapiens	6	Expression profiling by high throughput sequencing	2025/02/26	False	True	True	False	True	True	True	False	3	
GSE278869	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner [CUT&RUN]	Homo sapiens	12	Genome binding/occupancy profiling by high throughput sequencing	2025/02/26	False	True	True	False	True	True	False	False	3	
GSE285029	Cell-intrinsic PD-L1 signaling drives immunosuppression by myeloid-derived suppressor cells through IL-6/Jak/Stat3 in PD-L1-high lung cance	Homo sapiens	234	Expression profiling by high throughput sequencing	2025/01/06	True	True	True	True	True	True	True	False	2	
GSE285888	Single-Cell RNA Sequencing of Baseline PBMCs Predicts ICI efficacy and irAE Severity in NSCLC Patients	Homo sapiens	1	Expression profiling by high throughput sequencing	2025/05/19	False	True	True	True	False	True	True	False	3	
GSE287798	Epigenetic modulation of polyamine biosynthetic pathways rectifies T cell dysfunction to enhance anti-tumor immunity in lung cancer [ATAC-seq]	Homo sapiens	4	Genome binding/occupancy profiling by high throughput sequencing	2026/04/05	False	True	True	False	True	False	True	False	3	
GSE287799	Epigenetic modulation of polyamine biosynthetic pathways rectifies T cell dysfunction to enhance anti-tumor immunity in lung cancer [RNA-seq]	Homo sapiens	6	Expression profiling by high throughput sequencing	2026/04/05	False	True	True	False	True	False	True	False	2	
GSE287930	Epigenetic modulation of polyamine biosynthetic pathways rectifies T cell dysfunction to enhance anti-tumor immunity in lung cancer	Homo sapiens	2	Expression profiling by high throughput sequencing	2026/04/06	False	True	True	False	True	False	True	False	3	
GSE288083	TIE-2 expressing monocytic myeloid-derived suppressor cells are involved in resistance to anti-PD-1 mediates by angiopoietin 2 in melanoma patients	Homo sapiens	4	Expression profiling by high throughput sequencing	2025/04/08	False	True	True	True	True	True	True	False	2	
GSE288649	SMARCA4-mutant lung cancer disrupts anti-tumor immunity and immunotherapy response in a STING pathway-dependent manner [ChIP-seq3]	Homo sapiens	1	Genome binding/occupancy profiling by high throughput sequencing	2025/02/26	False	True	True	False	True	True	False	True	3	
GSE292098	Enhancing Immunotherapy Outcomes: Spatial Multi-Omics Predictive Models for Non-Small Cell Lung Cancer [GeoMx DSP]	Homo sapiens	315	Other	2025/12/31	False	True	True	False	True	True	True	False	7	
GSE292700	Molecular architecture of the tumor microenvironment caused by BRCA1 and BRCA2 somatic mutations in human lung adenocarcinoma	Homo sapiens	12	Expression profiling by high throughput sequencing; Other	2026/05/07	True	True	True	False	True	True	True	False	3	
GSE29391	Genome-wide gene expression profiling analysis of bone metastases of human non-small cell lung cancer (NSCLC) in mice	Homo sapiens	19	Expression profiling by array	2012/02/21	True	True	False	False	False	True	True	False	3	
GSE293914	CCL20 Released by Drug-Tolerant Persisters Impairs Immunotherapy in EGFR-Mutated Lung Adenocarcinoma	Homo sapiens	1	Expression profiling by high throughput sequencing	2026/08/12	True	True	True	True	True	True	True	False	3	
GSE295601	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment. [P6]	Homo sapiens	18	Other; Expression profiling by high throughput sequencing	2026/02/05	False	True	True	True	True	True	True	False	4	
GSE295969	Blood immunomap for prediction of responses to anti-PD-1 immunotherapy in metastatic non-small cell lung cancer	Homo sapiens	18	Expression profiling by high throughput sequencing	2025/05/31	False	True	True	True	True	True	True	False	2	
GSE295977	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[multiome]	Homo sapiens	2	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	2026/02/05	False	True	True	True	True	True	True	False	3	
GSE297846	Dasatinib Remodels the Tumor Microenvironment and Sensitizes Small Cell Lung Cancer to Immunotherapy [shYES1]	Homo sapiens	3	Expression profiling by high throughput sequencing	2025/07/17	False	True	True	True	True	True	True	False	3	
GSE298300	HE4 regulates anticancer immune evasion by upregulating PD-L1 expression on macrophages through the IFN-γR-STAT3 axis	Homo sapiens	4	Expression profiling by high throughput sequencing	2026/02/13	True	False	True	False	True	True	True	False	3	
GSE300685	Tumor-infiltrating natural killer cell profiling for therapeutic stratification in smokers with resectable non-small cell lung cancer	Homo sapiens	8	Expression profiling by high throughput sequencing	2025/06/30	False	True	True	False	True	True	True	False	3	
GSE301076	Targeting LINC01711 in FAP+ cancer-associated fibroblasts in lung adenocarcinoma	Homo sapiens	12	Expression profiling by high throughput sequencing	2025/07/01	False	True	True	False	False	False	True	False	2	
GSE302247	Dipeptidyl peptidase 4 restoration facilitates anti-tumor immunity in KRAS–LKB1–mutant lung cancer	Homo sapiens	4	Expression profiling by high throughput sequencing	2025/11/18	False	True	True	False	True	True	True	False	3	
GSE303043	UHRF1 drives subtype-independent aggressiveness and immune evasion in small cell lung cancer through GATA2-ST6GALNAC5 and PRC2 interactions	Mus musculus; Homo sapiens	30	Expression profiling by high throughput sequencing	2026/02/26	False	True	False	False	True	True	True	False	4	
GSE303680	PD1-targeted cis-delivery of an IL-2 variant induces a multifaceted anti-tumoral T cell response in human lung cancer	Homo sapiens	10	Expression profiling by high throughput sequencing	2025/07/30	True	True	True	False	True	True	True	False	4	
GSE304741	Cytotoxic CD39+ tumor-associated NK cells respond to NKG2A blockade in lung cancer (10X Multiome)	Homo sapiens	22	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	2026/06/05	False	True	True	False	True	False	True	False	4	
