dataset	gene	contrast	metric	n1	n2	median1	median2	p
GSE285888	TACSTD2	CR vs PD	patient_cp10k	7	13	0.0	0.0	0.9610399550819744
GSE285888	TACSTD2	CR+DR vs PD	patient_cp10k	15	13	0.0	0.0	0.9769595889587477
GSE285888	TACSTD2	CR vs PD	patient_frac_detected	7	13	0.0	0.0	0.9610399550819744
GSE285888	CLDN4	CR vs PD	patient_cp10k	7	13	0.002992454034277786	0.0038194973603974587	0.5355521155830754
GSE285888	CLDN4	CR+DR vs PD	patient_cp10k	15	13	0.0038366254066023635	0.0038194973603974587	0.8538084126585609
GSE285888	CLDN4	CR vs PD	patient_frac_detected	7	13	0.0013065490772497142	0.0015732265446224256	0.6426470588235295
GSE285888	IL1B	CR vs PD	patient_cp10k	7	13	1.0189509618483776	0.8752511531610073	0.6426470588235295
GSE285888	IL1B	CR+DR vs PD	patient_cp10k	15	13	0.751530380887941	0.8752511531610073	0.3333579905725643
GSE285888	IL1B	CR vs PD	patient_frac_detected	7	13	0.12390087929656275	0.1136887386695345	0.877296181630547
GSE285888	CXCL8	CR vs PD	patient_cp10k	7	13	0.9739557748034702	1.4677286674909142	0.6991744066047472
GSE285888	CXCL8	CR+DR vs PD	patient_cp10k	15	13	0.9449288224829031	1.4677286674909142	0.3333579905725643
GSE285888	CXCL8	CR vs PD	patient_frac_detected	7	13	0.07388748950461797	0.10569221967963387	0.6426470588235295
GSE285888	PTPRC	CR vs PD	patient_cp10k	7	13	22.215359764093556	23.849706071479982	0.437796697626419
GSE285888	PTPRC	CR+DR vs PD	patient_cp10k	15	13	24.41635410889035	23.849706071479982	0.5492732687760808
GSE285888	PTPRC	CR vs PD	patient_frac_detected	7	13	0.9833414992650662	0.9830577392247222	0.6426470588235295
GSE285888	EPCAM	CR vs PD	patient_cp10k	7	13	0.0009537762513401352	0.0010933226304336633	0.7203873431310193
GSE285888	EPCAM	CR+DR vs PD	patient_cp10k	15	13	0.001815290775091645	0.0010933226304336633	0.09633054112792212
GSE285888	EPCAM	CR vs PD	patient_frac_detected	7	13	0.0005037783375314861	0.0004609002919035182	0.6051379195833028
