accession	title	taxon	n_samples	gdstype	pdat	suppfile	ftp	queries	summary
GSE29391	Genome-wide gene expression profiling analysis of bone metastases of human non-small cell lung cancer (NSCLC) in mice	Homo sapiens	19	Expression profiling by array	2012/02/21	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29391/	lung_ici_blood	Using a multiorgan metastasis model of human NSCLC cells (ACC-LC319/bone2) in NK cell-depleted SCID mice, we attempted to identify genes involved in the organ-selective nature of lung cancer-metastasis process, especially bone metastasis. Genome-wide gene expression profile of 15 metastatic lesions from three organs (bone, lung and liver) in this mouse model revealed lot of genes that seemed to reflect the organ specificity of metastatic cells. Among bone-specifically-expressed genes, dozen of genes involved in cell adhesion, cytoskeleton/cell motility, extracellular matrix remodeling, and cell-cell signaling. The upregulation of 11 genes, some of them were either previously reported to be involved in metastatic characteristics, were confirmed by quantitative RT-PCR.
GSE40689	Beta arrestin1 associated genomic regions in nicotine induced Non-Small Cell Lung Carcinoma (NSCLC) cell line A549	Homo sapiens	3	Genome binding/occupancy profiling by high throughput sequencing	2013/12/16	BED, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40689/	lung_ici_blood	The multifunctional scaffolding protein β-arrestin-1 plays a vital role in mediating the proliferative effects of nicotine through nAChR signaling. β-arrestins were initially known as negative regulators of GPCR mediated signaling as they promote internalization and desensitization of GPCRs. However, new roles of β-arrestins in receptor trafficking and signaling have been discovered in recent years. They are known to regulate signaling through a number of receptors such as Notch, endothelin A receptor, frizzled, smoothened and the nicotinic cholinergic receptors.  Studies from our lab revealed that nAChR signaling induces the translocation of β-arrestin-1 to the nucleus, in a Src dependent manner, where it directly binds to the proliferative E2Fs.  Furthermore, the nuclear translocation of β-arrestin-1 results in recruitment of p300 to E2F1 regulated proliferative promoters facilitating histone acetylation and transcription of these promoters. Given the role of β-arrestin-1 in nicotine induced gene expression, we attempted to explore the global association of β-arrestin-1 to the genomic regions upon nicotine stimulation by ChIP sequencing. It was found that β-arrestin-1 is recruited on the promoters of many genes that regulate EMT as well as other regulatory pathways. In this assay, β-arrestin-1 was found to be associated with the promoter regions of genes such as ZNF768, ZNF131, CSF3R, HMGA2, TAL1, RCC1, NKX2-4 etc in response to nicotine stimulation.
GSE44617	Nicotinic acetylcholine receptors and EGF induce c-Kit ligand/Stem Cell Factor (SCF) in a β-arrestin-1 and E2F1 dependent manner in NSCLC	Homo sapiens	4	Expression profiling by array	2013/11/10	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44617/	lung_ici_blood	Lung cancer remains the leading cause of cancer-related deaths worldwide. β-arrestin-1 (ARRB1), a scaffolding protein involved in the termination or desensitization of signals arising from activated G-protein-coupled receptors (GPCRs) has been shown to play a role in invasion and proliferation of many cancers, including nicotine-induced proliferation of human non–small cell lung cancers (NSCLCs). In this study, we analyzed nicotine induced and β-arrestin-1 dependent genes from the microarray data. Our analysis show that SCF (Stem cell factor) strongly differentiated smokers from non-smokers implying an important role of this gene in NSCLCs. SCF, a major cytokine is the ligand for the c-Kit proto-oncogene. Here we elucidate the molecular mechanisms by which nicotine as well as EGF induces the expression of SCF in lung adenocarcinoma cell lines A549 and H1650. ChIP assays and transient transfection experiments showed that transcription factor E2F1 can positively regulate SCF expression at the transcriptional level; depletion of E2F1 or β-arrestin-1 prevented the nicotine-mediated induction of SCF. Given that the binding of SCF to c-Kit leads to activation of multiple downstream signaling pathways including Src, PI3K, MEK and EGFR pathways, our data suggest that the SCF plays a central role in lung carcinogenesis, and may be a potential therapeutic target for combating NSCLC. Studies presented here also provide evidence that SCF along with nicotine promotes self-renewal and proliferation of lung cancer stem cells (CSCs). Our findings reveal an important role and prognostic significance of SCF that can serve as a novel prognostic and predictive biomarker for NSCLC.
GSE84789	Single-cell profiling of non small cell lung cancer associated B-cells.	Homo sapiens	192	Expression profiling by high throughput sequencing	2016/10/11	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84789/	lung_ici_blood	Background: Immune checkpoint blockade improves survival in a subset of patients with non-small cell lung cancer (NSCLC), but robust biomarkers that predict response to PD-1 pathway inhibitors are lacking.  Furthermore, our understanding of the diversity of the NSCLC tumor immune microenvironment remains limited.    Methods: We performed comprehensive flow-cytometric immunoprofiling on both tumor and immune cells from 51 NSCLCs and integrated this analysis with clinical and histopathologic characteristics, next generation sequencing, mRNA expression, and PD-L1 immunohistochemistry (IHC).    Results:  Cytometric profiling identified an immunologically “hot” cluster with abundant CD8+ T cells expressing high levels of the PD-1 and TIM-3, and an immunologically “cold” cluster with lower relative abundance of CD8+ T cells and expression of inhibitory markers.  The “hot” cluster was highly enriched for expression of genes associated with T cell trafficking and cytotoxic function, and high PD-L1 expression by IHC.  There was no correlation between immunophenotype and KRAS or EGFR mutation, or patient smoking history, but we did observe an enrichment of squamous subtype and tumors with higher mutation burden in the “hot” cluster.  Additionally, ~20% of cases had high B cell infiltrates with a subset producing IL-10.    Conclusions: Our results support the use of immune-based metrics to study response and resistance to immunotherapy in lung cancer.   Background: Immune checkpoint blockade improves survival in a subset of patients with non-small cell lung cancer (NSCLC), but robust biomarkers that predict response to PD-1 pathway inhibitors are lacking.  Furthermore, our understanding of the diversity of the NSCLC tumor immune microenvironment remains limited.    Methods: We performed comprehensive flow-cytometric immunoprofiling on both tumor and immune cells from 51 NSCLCs and integrated this analysis with clinical and histopathologic characteristics, next generation sequencing, mRNA expression, and PD-L1 immunohistochemistry (IHC).    Results:  Cytometric profiling identified an immunologically “hot” cluster with abundant CD8+ T cells expressing high levels of the PD-1 and TIM-3, and an immunologically “cold” cluster with lower relative abundance of CD8+ T cells and expression of inhibitory markers.  The “hot” cluster was highly enriched for expression of genes associated with T cell trafficking and cytotoxic function, and high PD-L1 expression by IHC.  There was no correlation between immunophenotype and KRAS or EGFR mutation, or patient smoking history, but we did observe an enrichment of squamous subtype and tumors with higher mutation burden in the “hot” cluster.  Additionally, ~20% of cases had high B cell infiltrates with a subset producing IL-10.    Conclusions: Our results support the use of immune-based metrics to study response and resistance to immunotherapy in lung cancer.
GSE84797	Multi-parametric profiling of non-small cell lung cancers reveals distinct immunophenotypes [Nanostring]	Homo sapiens	29	Expression profiling by array	2016/10/11	RCC	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84797/	lung_ici_blood	Background: Immune checkpoint blockade improves survival in a subset of patients with non-small cell lung cancer (NSCLC), but robust biomarkers that predict response to PD-1 pathway inhibitors are lacking.  Furthermore, our understanding of the diversity of the NSCLC tumor immune microenvironment remains limited.    Methods: We performed comprehensive flow-cytometric immunoprofiling on both tumor and immune cells from 51 NSCLCs and integrated this analysis with clinical and histopathologic characteristics, next generation sequencing, mRNA expression, and PD-L1 immunohistochemistry (IHC).    Results:  Cytometric profiling identified an immunologically “hot” cluster with abundant CD8+ T cells expressing high levels of the PD-1 and TIM-3, and an immunologically “cold” cluster with lower relative abundance of CD8+ T cells and expression of inhibitory markers.  The “hot” cluster was highly enriched for expression of genes associated with T cell trafficking and cytotoxic function, and high PD-L1 expression by IHC.  There was no correlation between immunophenotype and KRAS or EGFR mutation, or patient smoking history, but we did observe an enrichment of squamous subtype and tumors with higher mutation burden in the “hot” cluster.  Additionally, ~20% of cases had high B cell infiltrates with a subset producing IL-10.    Conclusions: Our results support the use of immune-based metrics to study response and resistance to immunotherapy in lung cancer.   Background: Immune checkpoint blockade improves survival in a subset of patients with non-small cell lung cancer (NSCLC), but robust biomarkers that predict response to PD-1 pathway inhibitors are lacking.  Furthermore, our understanding of the diversity of the NSCLC tumor immune microenvironment remains limited.    Methods: We performed comprehensive flow-cytometric immunoprofiling on both tumor and immune cells from 51 NSCLCs and integrated this analysis with clinical and histopathologic characteristics, next generation sequencing, mRNA expression, and PD-L1 immunohistochemistry (IHC).    Results:  Cytometric profiling identified an immunologically “hot” cluster with abundant CD8+ T cells expressing high levels of the PD-1 and TIM-3, and an immunologically “cold” cluster with lower relative abundance of CD8+ T cells and expression of inhibitory markers.  The “hot” cluster was highly enriched for expression of genes associated with T cell trafficking and cytotoxic function, and high PD-L1 expression by IHC.  There was no correlation between immunophenotype and KRAS or EGFR mutation, or patient smoking history, but we did observe an enrichment of squamous subtype and tumors with higher mutation burden in the “hot” cluster.  Additionally, ~20% of cases had high B cell infiltrates with a subset producing IL-10.    Conclusions: Our results support the use of immune-based metrics to study response and resistance to immunotherapy in lung cancer. 29 NSCLC cases analyzed wth Nanostring human PanCancer immune module
GSE93157	Programmed death 1 receptor blockade and immune-related gene expression profiling in non-small cell lung carcinoma, head and neck squamous cell carcinoma and melanoma	Homo sapiens	65	Expression profiling by array	2017/05/15	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93157/	named_accessions	RNA from tumor samples from 65 patients with melanoma, lung cancer, head and neck treated  anti-PD1was analyzed on the nCounter system using the PanCancer 730-Immune Panel.
GSE99254	T cell landscape of non-small cell lung cancer revealed by deep single-cell RNA sequencing	Homo sapiens	14	Expression profiling by high throughput sequencing	2018/06/25	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99254/	lung_ici_blood;named_accessions	Cancer immunotherapies have shown sustained clinical responses in treating non-small cell lung cancer (NSCLC), but the clinical outcome is not uniform among patients, with complex tumour-immune interactions playing key roles. To depict and dissect the baseline landscape of the composition, lineage and functional states of tumor-infiltrating lymphocytes (TILs) in lung cancer, here we generated deep single-cell RNA sequencing data for 12346 T cells from the tumour, adjacent normal tissues and peripheral blood from 14 treatment-naïve NSCLC patients. Based on expression and TCR-based lineage tracking, we found a significant proportion of effector memory T cells with the same origin and similar functional states across peripheral blood and tumours, indicating the existence of systemic T cell immunity. We also observed tumour-infiltrating CD8+ T cells undergoing extensive clonal expansion and exhaustion in tumours, with two clusters of cells exhibiting states preceding exhaustion. Survival analysis on independent datasets suggested that high ratio of “pre-exhausted” to exhausted T cells was associated with better prognosis of lung adenocarcinoma. In addition, we observed a specific cluster of tumour-specific regulatory T cells (Tregs), characterized by a set of immunosuppressive genes, and high expression of their signature genes, including IL1R2, correlated with poor prognosis of lung adenocarcinoma. These findings and the accompanying compendium of single cell data will help the research community to gain further insight into the functional states and dynamics of T cell responses in lung cancer.
GSE99531	A transcriptionally und functionally distinct PD-1+ CD8+ T cell pool with predictive potential in non-small cell lung cancer treated with PD-1 blockade	Homo sapiens	37	Expression profiling by high throughput sequencing	2018/05/22	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99531/	lung_ici_blood	Evidence from mouse chronic viral infection models suggests that CD8+ T cell subsets characterized by distinct expression levels of the receptor PD-1 diverge in their state of exhaustion and potential for reinvigoration by PD-1 blockade. However, it remains unknown whether T cells in human cancer adopt a similar spectrum of exhausted states based on PD-1 expression levels. We compared transcriptional, metabolic, and functional signatures of intratumoral CD8+ T lymphocyte populations with high (PD-1T), intermediate (PD-1N) and no PD-1 expression (PD-1-) from non-small cell lung cancer patients. We observed that, PD-1T T cells show a markedly different transcriptional and metabolic profile as compared to PD-1N and PD-1- lymphocytes, as well as an intrinsically high capacity for tumor recognition. Furthermore, while PD-1T lymphocytes are impaired in classical effector cytokine production, they produce CXCL13 that mediates immune cell recruitment to tertiary lymphoid structures. Strikingly, the presence of PD-1T cells was strongly predictive for both response and survival in a small cohort of non-small cell lung cancer patients treated with PD-1 blockade. The characterization of a distinct state of tumor-reactive, PD-1 bright lymphocytes in human cancer, which only partially resembles that seen in chronic infection, provides novel potential avenues for therapeutic intervention.
GSE99995	Whole-transcriptome analysis of tumor tissues of lung adenocarcinoma reveals molecular changes under the influence of IFN-γ	Homo sapiens	12	Expression profiling by array	2020/01/01	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99995/	lung_ici_blood	IFN-γ is a critical cytokine which regulates both innate and adaptive immune. Ample evidences have elucidated the mechanisms of IFN-γ mediated antitumor effects, including driving T Helper Type 1 (Th1) polarization, activating cytotoxic lymphocyte (CTL) and natural killer T cells, upregulating major histocompatibility complex class I expression (MHC Class I) in tumor cells, and inhibiting tumor cells proliferation, inducing tumor cells apoptosis. Despite the multiple effects in cancer immune elimination phase (also known as cancer immune surveillance), IFN-γ also effectuates antitumor immunity and protumorigenic activities throughout the cancer immunoediting process including elimination phase and escape phase. One of the most important mechanism elucidating the dual effect of IFN-γ in immunoediting is IFN-γ induced PD-L1 expression in cancer cells. To obtain a detailed molecular appreciation of what was going on in tumor microenvironment under the influence of IFN-g, we performed global gene expression analysis using the Agilent oligonucleotide microarray system.
GSE100860	Monitoring Nivolumab binding as a method to clarify the residual therapeutic effects and to characterize the immune profile in antibody bound T cells in previously treated non-small cell lung cancer patients	Homo sapiens	14	Expression profiling by high throughput sequencing	2018/10/05	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100860/	lung_ici_blood	The goal of this study is to evaluate immune profile in anti PD-1 antibody, Nivolumab, bound CD8 T cells vs Nivolumab unbound CD8 T cells.
